param,value,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params,value_M
C_tot,0.1,0.44349454423603574,0.49157212957749513,-0.048077585341459395,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,2.140474688871362e-09,1.993628178465674e-09,1.4684651040568797e-10,1.0736579227720904,7.365792277209045,1.0736579227720904,7.365792277209045,3.0596557118175287,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.0001
C_tot,0.22758459260747887,0.4508062570346374,0.4915721295774951,-0.040765872542857684,2.2970880821263783e-09,1.9936281784656743e-09,3.03459903660704e-10,2.2970880821263783e-09,1.9936281784656743e-09,3.03459903660704e-10,1.1522148949029458,15.221489490294584,1.1522148949029458,15.221489490294584,3.288837756463579,False,C_tot=0.000227585 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.00022758459260747887
C_tot,0.5179474679231212,0.45851081888891737,0.4915721295774951,-0.033061310688577705,2.3724595927741643e-09,1.9936281784656743e-09,3.7883141430849006e-10,2.3724595927741643e-09,1.9936281784656743e-09,3.7883141430849006e-10,1.190021097414486,19.002109741448592,1.190021097414486,19.002109741448592,3.514156431064169,False,C_tot=0.000517947 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.0005179474679231212
C_tot,1.1787686347935873,0.46612120961873205,0.4915721295774951,-0.02545091995876303,2.3541705423473776e-09,1.9936281784656743e-09,3.6054236388170327e-10,2.3541705423473776e-09,1.9936281784656743e-09,3.6054236388170327e-10,1.1808473454459205,18.084734544592063,1.1808473454459205,18.084734544592063,3.7080390036231226,False,C_tot=0.00117877 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.0011787686347935872
C_tot,2.682695795279726,0.47308144506121663,0.4915721295774951,-0.018490684516278444,2.282210186917718e-09,1.9936281784656743e-09,2.885820084520439e-10,2.282210186917718e-09,1.9936281784656743e-09,2.885820084520439e-10,1.144752171728502,14.475217172850199,1.144752171728502,14.475217172850199,3.835385659270983,False,C_tot=0.0026827 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.002682695795279726
C_tot,6.105402296585329,0.47891974393935044,0.4915721295774951,-0.012652385638144636,2.199214735826312e-09,1.9936281784656743e-09,2.0558655736063778e-10,2.199214735826312e-09,1.9936281784656743e-09,2.0558655736063778e-10,1.103121815582914,10.312181558291387,1.103121815582914,10.312181558291387,3.857991626233291,False,C_tot=0.0061054 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.0061054022965853294
C_tot,13.894954943731374,0.48343489224834846,0.4915721295774951,-0.008137237329146618,2.126913787824995e-09,1.9936281784656743e-09,1.3328560935932064e-10,2.126913787824995e-09,1.9936281784656743e-09,1.3328560935932064e-10,1.0668558012968592,6.6855801296859285,1.0668558012968592,6.6855801296859285,3.746393458673623,False,C_tot=0.013895 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.013894954943731374
C_tot,31.622776601683793,0.4866473484583731,0.4915721295774951,-0.004924781119121979,2.073156674501754e-09,1.9936281784656743e-09,7.952849603607975e-11,2.073156674501754e-09,1.9936281784656743e-09,7.952849603607975e-11,1.0398913382621258,3.9891338262125715,1.0398913382621258,3.9891338262125715,3.4897239929131842,False,C_tot=0.0316228 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.03162277660168379
C_tot,71.96856730011521,0.4887431295588582,0.4915721295774951,-0.0028290000186368958,2.03802498970602e-09,1.9936281784656743e-09,4.439681124034578e-11,2.03802498970602e-09,1.9936281784656743e-09,4.439681124034578e-11,1.0222693537942036,2.22693537942036,1.0222693537942036,2.22693537942036,3.1048318735989966,False,C_tot=0.0719686 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.07196856730011521
C_tot,163.78937069540646,0.4900071539775093,0.49157212957749513,-0.0015649755999858073,2.017323794099169e-09,1.9936281784656743e-09,2.3695615633494865e-11,2.017323794099169e-09,1.9936281784656743e-09,2.3695615633494865e-11,1.0118856745151603,1.1885674515160274,1.0118856745151603,1.1885674515160274,2.638690906564574,False,C_tot=0.163789 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.00012<br>Cdl_C=1<br>Cdl_Pd=3.77e-05<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834,0.16378937069540647
