param,value,mode,E_mix,i_mix,residual,converged,method
Cdl_Pd,3.7699999999999978e-06,MEAN,0.4429459314060061,0.06861263745028787,-6.938893903907228e-17,True,closed_form(D5-6/D5-8)
Cdl_Pd,5.23839801378673e-06,MEAN,0.4429449525822467,0.06861078682603139,-3.3306690738754696e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,7.278730437889847e-06,MEAN,0.44294359270228606,0.06860821583690122,-1.5265566588595902e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,1.0113763148204565e-05,MEAN,0.44294170352434603,0.06860464431785858,3.469446951953614e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,1.4053028325587307e-05,MEAN,0.4429390792325519,0.06859968336555293,-1.6653345369377348e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,1.9526619540701658e-05,MEAN,0.44293543416576286,0.06859279334253798,1.1102230246251565e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,2.7132149872143447e-05,MEAN,0.44293037201445984,0.06858322585558367,8.326672684688674e-17,True,closed_form(D5-6/D5-8)
Cdl_Pd,3.7699999999999974e-05,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,5.23839801378673e-05,MEAN,0.44291358678512477,0.06855151130962767,-3.469446951953614e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,7.278730437889846e-05,MEAN,0.44290004917147624,0.06852594366274117,-3.885780586188048e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,0.00010113763148204565,MEAN,0.44288127533190663,0.06849050256214223,-2.498001805406602e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,0.00014053028325587322,MEAN,0.4428552596073363,0.06844142077752478,-3.608224830031759e-16,True,closed_form(D5-6/D5-8)
Cdl_Pd,0.0001952661954070166,MEAN,0.44281924621156366,0.068373535591689,-1.3877787807814457e-17,True,closed_form(D5-6/D5-8)
Cdl_Pd,0.00027132149872143447,MEAN,0.44276946528708233,0.06827981018921507,-5.551115123125783e-17,True,closed_form(D5-6/D5-8)
Cdl_Pd,0.00037700000000000016,MEAN,0.4427007912963523,0.0681507258986622,1.942890293094024e-16,True,closed_form(D5-6/D5-8)
