run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,do_ofat,do_heatmaps,do_sensitivities,ofat_n,heatmap_nx,heatmap_ny,scan_mode,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,residual,converged,method,iterations,a1,b1,a2,b2,phi2_1_meanV,phi2_2_meanV
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.13894954943731375,2.5799955981610123e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.004454324212502711,37.11936843752259,0.0013994001900946016,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4456925074206291,0.08307236578756436,-1.5265566588595902e-16,True,closed_form(D5-6/D5-8),0,0.588257364958896,-0.21258542282517928,0.28359248377663226,-0.10239975519958305,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.19306977288832497,2.1887209432008617e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.003778794312153294,31.489952601277448,0.0011871712130681598,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.44859011324636416,0.10021702217168317,-3.608224830031759e-16,True,closed_form(D5-6/D5-8),0,0.54920024186963,-0.1984777345162781,0.2439574555081877,-0.08808718494953474,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.2682695795279725,1.856785868402518e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0032057133186403405,26.71427765533617,0.0010071282676061737,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4516000353205835,0.12024856202520047,-3.7470027081099033e-16,True,closed_form(D5-6/D5-8),0,0.5076944444401473,-0.1834849768655345,0.2083139198185146,-0.07521616733687993,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.372759372031494,1.5751911050192283e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.002719544127674968,22.662867730624736,0.0008543901134445526,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.45470494826752567,0.14340134927101156,-2.7755575615628914e-16,True,closed_form(D5-6/D5-8),0,0.46399321354943135,-0.16769851120466728,0.17686578555794388,-0.06386032206687785,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.517947467923121,1.3363021873202947e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0023071059471744294,19.225882893120247,0.0007248157850706334,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4578830828943667,0.1699389284300992,-3.0531133177191805e-16,True,closed_form(D5-6/D5-8),0,0.4186712248762557,-0.15132581630425193,0.14953391732844065,-0.0539910460145375,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.7196856730011517,1.1336424705211919e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.001957216945782091,16.31014121485076,0.0006148923237998737,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.46110406930372355,0.2002116894322717,-4.718447854656915e-16,True,closed_form(D5-6/D5-8),0,0.3726248183352232,-0.13469058825730867,0.12602334119578465,-0.04550178571438556,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,1.0,9.617175390145178e-09,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0016603910962771896,13.83659246897658,0.0005216395360804171,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4643259632425076,0.23471996110737822,-1.0547118733938987e-15,True,closed_form(D5-6/D5-8),0,0.32698526793530114,-0.11820143204810707,0.10591689877276297,-0.03824186131198625,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.0412178890177225e-09,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0005250617670899844,4.37551472574987,0.0001649569051607701,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.48250925763891117,0.6867276004610532,-1.1102230246251565e-16,True,closed_form(D5-6/D5-8),0,0.09481288196000788,-0.034297944500687114,0.028224808080167797,-0.010190756289682766,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,4.225758554197105e-09,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0007295709596391302,6.079757996992751,0.00022920687648662674,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4785102151894504,0.5043597903522815,-9.992007221626409e-16,True,closed_form(D5-6/D5-8),0,0.14112721621037566,-0.05103944834320032,0.042138656190633804,-0.015214281588455806,,
ofat:lambda_D,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,5.8716724713656395e-09,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0010137355612440605,8.447796343700505,0.00031848192215750906,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.47343825082671576,0.3719493688916886,-2.7755575615628914e-16,True,closed_form(D5-6/D5-8),0,0.2039797807663693,-0.07375495747174245,0.06169221800464706,-0.022274062224202376,,
