param,value,mode,E_mix,i_mix,residual,converged,method
it0_2,3.8779999999999984e-05,MEAN,0.40033303036660944,0.017820485551810133,-3.469446951953614e-17,True,closed_form(D5-6/D5-8)
it0_2,5.38846352717903e-05,MEAN,0.4064173607848794,0.021603373300701858,-5.204170427930421e-17,True,closed_form(D5-6/D5-8)
it0_2,7.487245792609239e-05,MEAN,0.41250169120314933,0.026189282924564967,-4.85722573273506e-17,True,closed_form(D5-6/D5-8)
it0_2,0.00010403494294094767,MEAN,0.4185860216214192,0.031748677882663244,-6.245004513516506e-17,True,closed_form(D5-6/D5-8)
it0_2,0.00014455608447381323,MEAN,0.42467035203968917,0.03848820718766793,-1.3877787807814457e-17,True,closed_form(D5-6/D5-8)
it0_2,0.00020086002806058632,MEAN,0.4307546824579591,0.04665838678371414,-6.938893903907228e-17,True,closed_form(D5-6/D5-8)
it0_2,0.00027909410398984665,MEAN,0.436839012876229,0.05656291150802691,-2.3592239273284576e-16,True,closed_form(D5-6/D5-8)
it0_2,0.00038779999999999983,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
it0_2,0.0005388463527179025,MEAN,0.4490076737127689,0.08312579857681718,-1.942890293094024e-16,True,closed_form(D5-6/D5-8)
it0_2,0.0007487245792609238,MEAN,0.4550920041310388,0.10077153354508472,-2.914335439641036e-16,True,closed_form(D5-6/D5-8)
it0_2,0.0010403494294094766,MEAN,0.46117633454930873,0.12216306064890219,-1.5265566588595902e-16,True,closed_form(D5-6/D5-8)
it0_2,0.0014455608447381323,MEAN,0.4672606649675787,0.14809552719995583,-1.1102230246251565e-16,True,closed_form(D5-6/D5-8)
it0_2,0.0020086002806058633,MEAN,0.4733449953858487,0.17953287237675256,-1.3877787807814457e-16,True,closed_form(D5-6/D5-8)
it0_2,0.0027909410398984638,MEAN,0.4794293258041185,0.2176436579365975,-7.216449660063518e-16,True,closed_form(D5-6/D5-8)
it0_2,0.003877999999999998,MEAN,0.4855136562223885,0.2638445049807859,0.0,True,closed_form(D5-6/D5-8)
