param,value,mode,E_mix,i_mix,residual,converged,method
Cdl_C,0.1,MEAN,0.45628129325821226,0.06785428824201613,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8)
Cdl_C,0.13894954943731375,MEAN,0.45306116562107807,0.0680570787493954,-2.636779683484747e-16,True,closed_form(D5-6/D5-8)
Cdl_C,0.193069772888325,MEAN,0.4503351180069824,0.06821916751835908,-4.996003610813204e-16,True,closed_form(D5-6/D5-8)
Cdl_C,0.2682695795279726,MEAN,0.4480979062287242,0.06834239734670018,5.551115123125783e-17,True,closed_form(D5-6/D5-8)
Cdl_C,0.372759372031494,MEAN,0.44630401166678907,0.0684321961201712,-2.914335439641036e-16,True,closed_form(D5-6/D5-8)
Cdl_C,0.517947467923121,MEAN,0.44488848900356753,0.06849558284187957,-3.0531133177191805e-16,True,closed_form(D5-6/D5-8)
Cdl_C,0.7196856730011519,MEAN,0.443782671206001,0.06853952463583614,-2.3592239273284576e-16,True,closed_form(D5-6/D5-8)
Cdl_C,1.0,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
Cdl_C,1.3894954943731375,MEAN,0.44225663274598154,0.06859135758095082,-3.3306690738754696e-16,True,closed_form(D5-6/D5-8)
Cdl_C,1.9306977288832496,MEAN,0.44173864731327706,0.06860694603615601,2.498001805406602e-16,True,closed_form(D5-6/D5-8)
Cdl_C,2.6826957952797246,MEAN,0.44133457412740895,0.06861881186154516,-6.938893903907228e-17,True,closed_form(D5-6/D5-8)
Cdl_C,3.72759372031494,MEAN,0.44101728979069943,0.06862826933169129,-1.1102230246251565e-16,True,closed_form(D5-6/D5-8)
Cdl_C,5.17947467923121,MEAN,0.440765952977205,0.06863609002762545,-8.326672684688674e-17,True,closed_form(D5-6/D5-8)
Cdl_C,7.196856730011517,MEAN,0.440564700723868,0.06864269818529845,2.0816681711721685e-16,True,closed_form(D5-6/D5-8)
Cdl_C,10.0,MEAN,0.44040144203197756,0.06864833280841243,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8)
