param,value,mode,E_mix,i_mix,residual,converged,method
z_R1,-2.0,MEAN,0.417609877372524,0.1209653133130375,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8)
z_R1,-1.8571428571428572,MEAN,0.4202193464001509,0.11408993075214811,3.191891195797325e-16,True,closed_form(D5-6/D5-8)
z_R1,-1.7142857142857144,MEAN,0.42308275378789106,0.10699430956742456,-3.0531133177191805e-16,True,closed_form(D5-6/D5-8)
z_R1,-1.5714285714285714,MEAN,0.4262390630974947,0.09968308770639027,-4.996003610813204e-16,True,closed_form(D5-6/D5-8)
z_R1,-1.4285714285714286,MEAN,0.4297356388367167,0.092165511774285,-3.3306690738754696e-16,True,closed_form(D5-6/D5-8)
z_R1,-1.2857142857142858,MEAN,0.433630639620178,0.08445690200584458,-3.191891195797325e-16,True,closed_form(D5-6/D5-8)
z_R1,-1.1428571428571428,MEAN,0.43799627883722575,0.07658052187634692,-4.3021142204224816e-16,True,closed_form(D5-6/D5-8)
z_R1,-1.0,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
z_R1,-0.8571428571428572,MEAN,0.44852757496173035,0.0604720030941213,6.938893903907228e-18,True,closed_form(D5-6/D5-8)
z_R1,-0.7142857142857144,MEAN,0.4549588781683713,0.052350410516595204,-3.191891195797325e-16,True,closed_form(D5-6/D5-8)
z_R1,-0.5714285714285716,MEAN,0.46241492795014133,0.04429001766855536,-2.3592239273284576e-16,True,closed_form(D5-6/D5-8)
z_R1,-0.4285714285714286,MEAN,0.4711618464501295,0.036401550701586356,-3.469446951953614e-17,True,closed_form(D5-6/D5-8)
z_R1,-0.2857142857142858,MEAN,0.4815666361954778,0.028826237440445535,-9.020562075079397e-17,True,closed_form(D5-6/D5-8)
z_R1,-0.14285714285714302,MEAN,0.49414998606151916,0.021738977077991217,-5.898059818321144e-17,True,closed_form(D5-6/D5-8)
z_R1,0.0,MEAN,0.5096761254398746,0.015347248092263911,-7.112366251504909e-17,True,closed_form(D5-6/D5-8)
