param,value,mode,E_mix,i_mix,residual,converged,method
C_tot,0.01,MEAN,0.4282240833630199,0.017649309924190747,-4.85722573273506e-17,True,closed_form(D5-6/D5-8)
C_tot,0.013894954943731374,MEAN,0.42977759925486264,0.021327624864183783,-8.326672684688674e-17,True,closed_form(D5-6/D5-8)
C_tot,0.019306977288832496,MEAN,0.4315126850148861,0.025833446016538347,-6.938893903907228e-17,True,closed_form(D5-6/D5-8)
C_tot,0.02682695795279726,MEAN,0.4334343181614675,0.03135688522704207,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8)
C_tot,0.0372759372031494,MEAN,0.43554299854442624,0.03812279526424423,2.2898349882893854e-16,True,closed_form(D5-6/D5-8)
C_tot,0.0517947467923121,MEAN,0.4378342492887017,0.046389022490513666,-2.8449465006019636e-16,True,closed_form(D5-6/D5-8)
C_tot,0.07196856730011521,MEAN,0.4402987622876784,0.056439291912188695,1.5265566588595902e-16,True,closed_form(D5-6/D5-8)
C_tot,0.1,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
C_tot,0.13894954943731375,MEAN,0.4456925074206291,0.08307236578756436,-1.5265566588595902e-16,True,closed_form(D5-6/D5-8)
C_tot,0.19306977288832497,MEAN,0.44859011324636416,0.10021702217168317,-3.608224830031759e-16,True,closed_form(D5-6/D5-8)
C_tot,0.2682695795279725,MEAN,0.4516000353205835,0.12024856202520047,-3.7470027081099033e-16,True,closed_form(D5-6/D5-8)
C_tot,0.372759372031494,MEAN,0.45470494826752567,0.14340134927101156,-2.7755575615628914e-16,True,closed_form(D5-6/D5-8)
C_tot,0.517947467923121,MEAN,0.4578830828943667,0.1699389284300992,-3.0531133177191805e-16,True,closed_form(D5-6/D5-8)
C_tot,0.7196856730011517,MEAN,0.46110406930372355,0.2002116894322717,-4.718447854656915e-16,True,closed_form(D5-6/D5-8)
C_tot,1.0,MEAN,0.4643259632425076,0.23471996110737822,-1.0547118733938987e-15,True,closed_form(D5-6/D5-8)
