param,value,mode,E_mix,i_mix,residual,converged,method
Cdl_Au,1.2000000000000007e-05,MEAN,0.4428589555127232,0.06864848160993084,-4.3021142204224816e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,1.6673945932477677e-05,MEAN,0.4428617464233654,0.0686450754734014,-1.8041124150158794e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,2.316837274659901e-05,MEAN,0.4428656237219035,0.06864034375044854,1.8041124150158794e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,3.219234954335675e-05,MEAN,0.4428710099383873,0.06863377114325142,-1.3877787807814457e-17,True,closed_form(D5-6/D5-8)
Cdl_Au,4.473112464377928e-05,MEAN,0.4428784916064316,0.06862464258834677,-4.996003610813204e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,6.21536961507746e-05,MEAN,0.44288888261250275,0.06861196632173988,2.7755575615628914e-17,True,closed_form(D5-6/D5-8)
Cdl_Au,8.636228076013823e-05,MEAN,0.442903311728665,0.0685943677865827,-2.7755575615628914e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,0.00012000000000000008,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,0.00016673945932477643,MEAN,0.4429511430890789,0.06853606272335991,-3.0531133177191805e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,0.00023168372746599011,MEAN,0.44298970532758936,0.068489092978084,-4.440892098500626e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,0.00032192349543356684,MEAN,0.4430431614097916,0.06842403605000374,-4.163336342344337e-17,True,closed_form(D5-6/D5-8)
Cdl_Au,0.00044731124643779285,MEAN,0.44311719622090073,0.06833403776256146,2.220446049250313e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,0.0006215369615077453,MEAN,0.4432196024742433,0.06820974801358114,-3.608224830031759e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,0.0008636228076013822,MEAN,0.4433610055379485,0.06803850418199035,-5.967448757360216e-16,True,closed_form(D5-6/D5-8)
Cdl_Au,0.0011999999999999995,MEAN,0.4435557857724179,0.06780333129557693,-3.469446951953614e-16,True,closed_form(D5-6/D5-8)
