param,value,mode,E_mix,i_mix,residual,converged,method
L_Au,1.1000000000000008e-09,MEAN,0.4735905209441993,0.03352613708680553,-9.020562075079397e-17,True,closed_form(D5-6/D5-8)
L_Au,1.5284450438104508e-09,MEAN,0.46868396668776896,0.03744075255709642,-1.6653345369377348e-16,True,closed_form(D5-6/D5-8)
L_Au,2.1237675017715806e-09,MEAN,0.4639145781501661,0.04170499200989898,-6.245004513516506e-17,True,closed_form(D5-6/D5-8)
L_Au,2.9509653748077024e-09,MEAN,0.459302249663315,0.046330397829940896,-3.400058012914542e-16,True,closed_form(D5-6/D5-8)
L_Au,4.100353092346435e-09,MEAN,0.4548723433240939,0.05132812870319616,-1.8041124150158794e-16,True,closed_form(D5-6/D5-8)
L_Au,5.697422147154327e-09,MEAN,0.45065978528658074,0.05669510089762057,-1.8041124150158794e-16,True,closed_form(D5-6/D5-8)
L_Au,7.916542403012688e-09,MEAN,0.44667649983663826,0.062439527041131586,-1.457167719820518e-16,True,closed_form(D5-6/D5-8)
L_Au,1.1000000000000008e-08,MEAN,0.4429233432944988,0.06856994377228694,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
L_Au,1.5284450438104506e-08,MEAN,0.43932995869378644,0.07514666508597714,-1.3877787807814457e-17,True,closed_form(D5-6/D5-8)
L_Au,2.123767501771576e-08,MEAN,0.4357334040951191,0.08233728925243805,-9.71445146547012e-17,True,closed_form(D5-6/D5-8)
L_Au,2.9509653748077022e-08,MEAN,0.4318902186628543,0.09050692807676554,-2.3592239273284576e-16,True,closed_form(D5-6/D5-8)
L_Au,4.1003530923464347e-08,MEAN,0.42751994380913155,0.1002794328572745,-5.412337245047638e-16,True,closed_form(D5-6/D5-8)
L_Au,5.697422147154338e-08,MEAN,0.4224086124253915,0.11246424571608112,2.0816681711721685e-16,True,closed_form(D5-6/D5-8)
L_Au,7.916542403012671e-08,MEAN,0.4165335427968369,0.12791457257839112,-1.942890293094024e-16,True,closed_form(D5-6/D5-8)
L_Au,1.1000000000000009e-07,MEAN,0.4100341222461315,0.14742020347051443,-3.608224830031759e-16,True,closed_form(D5-6/D5-8)
