param,value,mode,E_mix,i_mix,residual,converged,method
z_O2,0.0,MEAN,0.4681110657023884,0.15213422086100664,-2.498001805406602e-16,True,closed_form(D5-6/D5-8)
z_O2,0.14285714285714285,MEAN,0.463603557907509,0.131914120167827,-5.551115123125783e-17,True,closed_form(D5-6/D5-8)
z_O2,0.2857142857142857,MEAN,0.459460382045349,0.1157075708906345,-6.800116025829084e-16,True,closed_form(D5-6/D5-8)
z_O2,0.42857142857142855,MEAN,0.4556390817221518,0.10253095768431167,-5.551115123125783e-17,True,closed_form(D5-6/D5-8)
z_O2,0.5714285714285714,MEAN,0.4521035505970595,0.09168005749988982,-1.1102230246251565e-16,True,closed_form(D5-6/D5-8)
z_O2,0.7142857142857142,MEAN,0.44882288797944325,0.08264123014672554,-1.5265566588595902e-16,True,closed_form(D5-6/D5-8)
z_O2,0.8571428571428571,MEAN,0.44577049330826096,0.07503349848601056,-3.608224830031759e-16,True,closed_form(D5-6/D5-8)
z_O2,1.0,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
z_O2,1.1428571428571428,MEAN,0.44026141013669,0.063031460706446,-6.938893903907228e-17,True,closed_form(D5-6/D5-8)
z_O2,1.2857142857142856,MEAN,0.4377671897008675,0.05824858970366286,5.551115123125783e-17,True,closed_form(D5-6/D5-8)
z_O2,1.4285714285714284,MEAN,0.4354253161567719,0.054088730431186983,-1.249000902703301e-16,True,closed_form(D5-6/D5-8)
z_O2,1.5714285714285714,MEAN,0.4332222451354346,0.050447004534840766,-4.163336342344337e-17,True,closed_form(D5-6/D5-8)
z_O2,1.7142857142857142,MEAN,0.4311459916028726,0.04723963368321503,-9.020562075079397e-17,True,closed_form(D5-6/D5-8)
z_O2,1.857142857142857,MEAN,0.42918591173444043,0.04439907771267723,4.85722573273506e-17,True,closed_form(D5-6/D5-8)
z_O2,2.0,MEAN,0.42733252040738456,0.041870421739189395,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8)
