x_nm,y_nm,phi_s_mV,c_R1_over_bulk,c_O2_over_bulk
0.0,0.0,39.0493842467945,4.57549353848083,0.21855565778637798
0.04504504504504505,0.0,39.04529172394931,4.574764369864876,0.21859049322567337
0.0900900900900901,0.0,39.034218139905974,4.572791961601988,0.21868477910149003
0.13513513513513514,0.0,39.01807384076997,4.5699178896241,0.21882231238125271
0.1801801801801802,0.0,38.996770031697814,4.5661280656998375,0.21900393191156212
0.22522522522522523,0.0,38.96832505626358,4.561072769035643,0.21924666643970953
0.2702702702702703,0.0,38.93163440640751,4.554560299772882,0.21956016260227493
0.3153153153153153,0.0,38.88799879875975,4.546827227814207,0.21993358223130224
0.3603603603603604,0.0,38.839252530972075,4.5382039737059445,0.22035148834074764
0.4054054054054055,0.0,38.785128386588326,4.528648527868799,0.22081642985674674
0.45045045045045046,0.0,38.72357701952883,4.517806277437537,0.22134636560095972
0.49549549549549554,0.0,38.65359590143198,4.505510660023215,0.2219504237051006
0.5405405405405406,0.0,38.57657947274191,4.492017620506318,0.2226171142862269
0.5855855855855857,0.0,38.494280073439974,4.477643679470821,0.22333175026517127
0.6306306306306306,0.0,38.40624952171096,4.4623196754120045,0.22409869142951314
0.6756756756756758,0.0,38.31037326800471,4.445689580329513,0.22493698265048012
0.7207207207207208,0.0,38.20575301873122,4.427613511462477,0.22585530498792153
0.7657657657657658,0.0,38.0938736109671,4.4083645358966805,0.2268414945853827
0.810810810810811,0.0,37.97639821807516,4.388242826264499,0.22788164638811753
0.8558558558558559,0.0,37.85269328821761,4.367153364701951,0.22898211179910047
0.9009009009009009,0.0,37.72058032864384,4.344742394649474,0.23016324310308808
0.945945945945946,0.0,37.579267247068394,4.320898046332151,0.23143337085883398
0.9909909909909911,0.0,37.43032553793441,4.29590812088208,0.23277965260455097
1.0360360360360361,0.0,37.275320482390754,4.270054329987325,0.23418905773102155
1.0810810810810811,0.0,37.11342662627012,4.243217639457993,0.23567021184605913
1.1261261261261264,0.0,36.942401389270216,4.215050446892827,0.23724508463170624
1.1711711711711714,0.0,36.761560476350205,4.185470008187059,0.23892179326191162
1.2162162162162162,0.0,36.57255774357007,4.1547763590767435,0.24068684173947105
1.2612612612612613,0.0,36.3768500079884,4.123231018532423,0.24252824920683896
1.3063063063063063,0.0,36.17341083787861,4.0906933429649985,0.24445733672991105
1.3513513513513515,0.0,35.95993172573718,4.056825947017715,0.24649812761504541
1.3963963963963966,0.0,35.7358372592223,4.021576089929464,0.2486587292241285
1.4414414414414416,0.0,35.502858586454,3.9852534594778297,0.25092506917515495
1.4864864864864866,0.0,35.26233115945581,3.9480980843294122,0.2532865138201983
