condition,material,x_nm,weight_m,phi_tilde,eta_V,current_density_A_per_m2
with_edl,Au,5.000350224105737,8.987619205971248e-13,-3.8590368936358495,0.6100933161816864,0.563686624464949
with_edl,Au,5.001845080045248,2.091625358686498e-12,-3.88174217188525,0.6106763494163127,0.5573234812137849
with_edl,Au,5.004533502748972,3.28500603733491e-12,-3.9220703583559224,0.6117119091987713,0.5461981021207145
with_edl,Au,5.008414482930037,4.476576861925649e-12,-3.977987581547044,0.6131477691406905,0.5311386629979857
with_edl,Au,5.013485774199574,5.665502942917305e-12,-4.044776236170552,0.6148627890983303,0.513694533211305
with_edl,Au,5.019744363016532,6.85105208182133e-12,-4.115822514004416,0.6166871376360864,0.4957668008123568
with_edl,Au,5.027186514550827,8.032509967478648e-12,-4.1871531823698955,0.6185187888428397,0.47839670847271987
with_edl,Au,5.035807783128563,9.209168513405768e-12,-4.262018570535757,0.6204412056899027,0.4608200539295189
with_edl,Au,5.045603017072186,1.0380323665353295e-11,-4.345599794831909,0.6225874305024836,0.44195895514326705
with_edl,Au,5.056566362505727,1.1545275085731675e-11,-4.433478939449749,0.6248440186570062,0.4229599288847191
with_edl,Au,5.068691267136069,1.270332632341475e-11,-4.519290183808794,0.6270475066220694,0.40519637316665835
with_edl,Au,5.081970484292601,1.3853785133796954e-11,-4.609008417719949,0.6293513194865326,0.38742128964139466
with_edl,Au,5.096396077317471,1.499596385126898e-11,-4.701601996981703,0.6317289663680034,0.3698937917191768
with_edl,Au,5.11195942433956,1.6129179780971448e-11,-4.791924943024311,0.634048307219666,0.35356043834750295
with_edl,Au,5.128651223444167,1.7252755597233307e-11,-4.885932675989183,0.6364622671821187,0.3373262542453212
with_edl,Au,5.146461498242105,1.836601974332213e-11,-4.977468174457517,0.6388127443341235,0.32223555851805236
with_edl,Au,5.165379603838079,1.9468306830014006e-11,-5.070973570897847,0.6412138051422228,0.30751692551776716
with_edl,Au,5.185394233196487,2.055895803166435e-11,-5.162102799448284,0.643553849968239,0.29381946490975386
with_edl,Au,5.206493423901684,2.1637321479005527e-11,-5.254380532322726,0.6459233864474139,0.2805709537031342
with_edl,Au,5.228664565309206,2.2702752648161117e-11,-5.344059164932672,0.6482261824172816,0.26826822808279754
with_edl,Au,5.251894406083936,2.3754614745479744e-11,-5.433765273576613,0.6505296839253418,0.2565014395117404
with_edl,Au,5.276169062120903,2.479227908790145e-11,-5.521982926365435,0.6527949643985274,0.2454333565576219
with_edl,Au,5.301474024844063,2.5815125478534794e-11,-5.608077391645757,0.6550057249989678,0.23509230345651458
with_edl,Au,5.327794169878187,2.682254257723245e-11,-5.693404762696389,0.6571967879139148,0.2252733451462073
with_edl,Au,5.355113766088712,2.7813928265903516e-11,-5.777044162015233,0.6593445065629191,0.21604675282085184
with_edl,Au,5.383416484984173,2.8788690008333274e-11,-5.858394615775156,0.6614334489521286,0.20743532526717487
with_edl,Au,5.412685410475614,2.974624520429453e-11,-5.937960828599307,0.6634765750446732,0.1993449017662722
with_edl,Au,5.442903048987176,3.068602153773016e-11,-6.015930205371957,0.6654786970817708,0.19172303620501385
with_edl,Au,5.474051339911811,3.160745731879807e-11,-6.092013802189637,0.6674323954715182,0.1845665332728719
with_edl,Au,5.506111666405877,3.251000181956986e-11,-6.165972856200613,0.6693315391867494,0.1778660049116407
with_edl,Au,5.539064866516182,3.339311560317783e-11,-6.237773846110304,0.6711752674571804,0.17159378877686746
with_edl,Au,5.572891244632825,3.4256270846222354e-11,-6.307466975087495,0.6729648694154773,0.16571731680975677
with_edl,Au,5.607570583260971,3.509895165423474e-11,-6.375088090234444,0.674701265554741,0.16020798356782762
with_edl,Au,5.643082155104562,3.5920654370017146e-11,-6.440643176918604,0.6763846095691084,0.1550418879201118
with_edl,Au,5.679404735454708,3.6720887874662245e-11,-6.5041256328899415,0.6780147319239389,0.15019795094651275
with_edl,Au,5.716516614875385,3.7499173881089176e-11,-6.565531204457599,0.6795915233916284,0.14565652932716805
with_edl,Au,5.75439561217883,3.825504721990159e-11,-6.624863689125021,0.6811150814856579,0.14139891341445263
with_edl,Au,5.793019087682903,3.898805611741309e-11,-6.682134636988835,0.6825857027930201,0.13740731196746456
with_edl,Au,5.832363956742474,3.96977624656614e-11,-6.737360016657393,0.6840037973606337,0.13366503147188713
with_edl,Au,5.872406703546764,4.0383742084259476e-11,-6.790555173157097,0.6853697592228847,0.13015672834268957
with_edl,Au,5.91312339517438,4.1045584973919855e-11,-6.8417299849035,0.6866838420408166,0.12686860201583863
with_edl,Au,5.954489695897649,4.1682895561501834e-11,-6.890888969709172,0.6879461618242332,0.12378824802696407
with_edl,Au,5.996480881727711,4.229529293644225e-11,-6.9380425204331875,0.6891569854442198,0.12090385624891836
with_edl,Au,6.039071855191656,4.288241107841658e-11,-6.983228098530979,0.6903172748477426,0.11820292658282293
with_edl,Au,6.082237160332896,4.3443899076103747e-11,-7.026521478000435,0.6914289757832134,0.11567171947131971
with_edl,Au,6.125950997925792,4.397942133692049e-11,-7.068007386144464,0.6924942639048096,0.11329706017605015
with_edl,Au,6.170187240895451,4.4488657787599077e-11,-7.107713973439337,0.6935138620692636,0.11106992154198207
with_edl,Au,6.214919449933466,4.49713040654894e-11,-7.1455892389027245,0.6944864349790905,0.10898631174951073
with_edl,Au,6.260120889300282,4.54270717004725e-11,-7.181595203876146,0.6954110074064226,0.10704178920963317
with_edl,Au,6.305764542804729,4.585568828737312e-11,-7.215826747527007,0.6962900156881882,0.10522527622596145
with_edl,Au,6.351823129951174,4.625689764877356e-11,-7.248439861891736,0.6971274654366759,0.10352332840954748
with_edl,Au,6.398269122244646,4.663045998812499e-11,-7.279437618961385,0.6979234355354329,0.1019312028681365
with_edl,Au,6.445074759644192,4.697615203307128e-11,-7.308700439662925,0.6986748553956303,0.10045066321553141
with_edl,Au,6.492212067154612,4.72937671688948e-11,-7.336280473199938,0.6993830641208246,0.09907495421135565
with_edl,Au,6.53965287154668,4.7583115562006296e-11,-7.362376503756684,0.700053166153457,0.0977906199233244
with_edl,Au,6.587368818195842,4.784402427340641e-11,-7.386970081683646,0.7006846877376584,0.09659547260461418
with_edl,Au,6.635331388029326,4.8076337362047554e-11,-7.40992347964581,0.7012740922678539,0.09549321269381211
with_edl,Au,6.68351191457155,4.827991597803809e-11,-7.431374113599672,0.7018249083539433,0.09447449054300278
with_edl,Au,6.7318816010776255,4.845463844562997e-11,-7.451475186512095,0.7023410699896149,0.09352972687525417
with_edl,Au,6.780411537744713,4.860040033594323e-11,-7.470077806914812,0.7028187538931896,0.09266381119057175
with_edl,Au,6.82907271899097,4.87171145293808e-11,-7.48717678378908,0.7032578267680647,0.09187495995053711
