condition,E_mix_V,i_mix_avg_A_per_m2,i_mix_abs_halfcell_A,i_mix_abs_full_period_A,I_Au_A,I_Pd_A,relative_balance_residual
with_edl,0.6109997601404451,0.06458046824334107,5.1664374594672866e-12,1.0332874918934573e-11,5.1664374594672866e-12,-5.1664374594672324e-12,5.2378616222506265e-15
without_edl,0.4670000000000001,0.11756035407872444,9.404828326297955e-12,1.880965665259591e-11,9.404828326297955e-12,-9.404828326297921e-12,1.803718719504805e-15
