L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
15.0,0.5,Au,0.0,-207.6793901757697,-7.316240815792116
15.0,0.5,Au,0.005,-207.6793699769294,-7.316241825734131
15.0,0.5,Au,0.01,-207.67839235978917,-7.3162907065911424
15.0,0.5,Au,0.015,-207.6773734664542,-7.316341651257891
15.0,0.5,Au,0.02,-207.6753987692806,-7.316440386116571
15.0,0.5,Au,0.025,-207.67338016314835,-7.316541316423184
15.0,0.5,Au,0.03,-207.67040897649346,-7.3166898757559276
15.0,0.5,Au,0.035,-207.6673895021912,-7.31684084947104
15.0,0.5,Au,0.04,-207.66342226834237,-7.3170392111634825
15.0,0.5,Au,0.045,-207.65940063608346,-7.317240292776428
15.0,0.5,Au,0.05,-207.65443764615898,-7.317488442272651
15.0,0.5,Au,0.055,-207.6494124343208,-7.317739702864561
15.0,0.5,Au,0.06,-207.64345382533816,-7.3180376333136925
15.0,0.5,Au,0.065,-207.6374234829614,-7.31833915043253
15.0,0.5,Au,0.07,-207.63046923488986,-7.318686862836107
15.0,0.5,Au,0.075,-207.62343208408518,-7.319038720376342
15.0,0.5,Au,0.08,-207.6154820168843,-7.319436223736386
15.0,0.5,Au,0.085,-207.60743625514218,-7.319838511823493
15.0,0.5,Au,0.09,-207.59849002579756,-7.320285823290723
15.0,0.5,Au,0.095,-207.58943372819263,-7.320738638170969
15.0,0.5,Au,0.1,-207.57949082775656,-7.321235783192773
15.0,0.5,Au,0.105,-207.56942194903675,-7.321739227128764
15.0,0.5,Au,0.11,-207.5584816996779,-7.322286239596705
15.0,0.5,Au,0.115,-207.54739807623324,-7.322840420768939
15.0,0.5,Au,0.12,-207.53545962830535,-7.323437343165333
15.0,0.5,Au,0.125,-207.52335898000706,-7.324042375580247
15.0,0.5,Au,0.13,-207.51042130914124,-7.324689259123539
15.0,0.5,Au,0.135,-207.49730124104505,-7.325345262528349
15.0,0.5,Au,0.14,-207.48336314527464,-7.326042167316869
15.0,0.5,Au,0.145,-207.46922114917896,-7.326749267121653
15.0,0.5,Au,0.15,-207.45428124609876,-7.3274962622756625
15.0,0.5,Au,0.155,-207.43911470195263,-7.3282545894829685
15.0,0.5,Au,0.16,-207.42317142592464,-7.329051753284369
15.0,0.5,Au,0.165,-207.40697760307768,-7.329861444426716
15.0,0.5,Au,0.17,-207.39002920248257,-7.330708864456473
15.0,0.5,Au,0.175,-207.37280526076927,-7.331570061542138
15.0,0.5,Au,0.18,-207.3548497953164,-7.33246783481478
15.0,0.5,Au,0.185,-207.33659278596946,-7.333380685282127
15.0,0.5,Au,0.19,-207.31762812406245,-7.334328918377478
15.0,0.5,Au,0.195,-207.29833499044648,-7.335293575058277
15.0,0.5,Au,0.2,-207.27835880661604,-7.3362923842497985
15.0,0.5,Au,0.205,-207.25802638478066,-7.3373090053415675
15.0,0.5,Au,0.21,-207.23703615718378,-7.338358516721412
15.0,0.5,Au,0.215,-207.21566117622422,-7.339427265769389
15.0,0.5,Au,0.22,-207.1936541842185,-7.340527615369676
15.0,0.5,Au,0.225,-207.1712332664392,-7.34164866125864
15.0,0.5,Au,0.23,-207.14820658823365,-7.342799995168918
15.0,0.5,Au,0.235,-207.12473624911397,-7.3439735121249035
15.0,0.5,Au,0.24,-207.10068675949745,-7.345175986605729
15.0,0.5,Au,0.245,-207.0761634074515,-7.346402154208026
15.0,0.5,Au,0.25,-207.0510877756073,-7.347655935800236
15.0,0.5,Au,0.255,-207.02550771152747,-7.348934939004227
15.0,0.5,Au,0.26,-206.9994023989324,-7.35024020463398
15.0,0.5,Au,0.265,-206.9727618155237,-7.351572233804415
15.0,0.5,Au,0.27,-206.94562307393255,-7.352929170883973
15.0,0.5,Au,0.275,-206.91791805482498,-7.3543144218393515
15.0,0.5,Au,0.28,-206.8897419243485,-7.355723228363176
15.0,0.5,Au,0.285,-206.86096844298515,-7.3571619024313435
15.0,0.5,Au,0.29,-206.83175075025426,-7.358622787067888
15.0,0.5,Au,0.295,-206.80190466855393,-7.360115091152903
15.0,0.5,Au,0.3,-206.77164102497701,-7.36162827333175
15.0,0.5,Au,0.305,-206.74071809176726,-7.363174419992238
15.0,0.5,Au,0.31,-206.7094038918788,-7.364740129986661
15.0,0.5,Au,0.315,-206.6773997410938,-7.36634033752591
15.0,0.5,Au,0.32,-206.64503016099485,-7.367958816530858
15.0,0.5,Au,0.325,-206.61194030964018,-7.369613309098592
15.0,0.5,Au,0.33,-206.5785103055274,-7.371284809304231
15.0,0.5,Au,0.335,-206.54433015140688,-7.372993817010257
15.0,0.5,Au,0.34,-206.5098344581926,-7.37471860167097
15.0,0.5,Au,0.345,-206.47455927739685,-7.376482360710758
15.0,0.5,Au,0.35,-206.43899240741476,-7.378260704209863
15.0,0.5,Au,0.355,-206.4026173515669,-7.380079457002256
15.0,0.5,Au,0.36,-206.3659735933636,-7.38191164491242
15.0,0.5,Au,0.365,-206.3284936866273,-7.383785640249236
15.0,0.5,Au,0.37,-206.29076710383694,-7.385671969388754
15.0,0.5,Au,0.375,-206.25217723968075,-7.387601462596563
15.0,0.5,Au,0.38,-206.2133616699753,-7.389542241081835
15.0,0.5,Au,0.385,-206.17365660769383,-7.39152749419591
15.0,0.5,Au,0.39,-206.1337456618128,-7.393523041489961
15.0,0.5,Au,0.395,-206.09292002280785,-7.395564323440208
15.0,0.5,Au,0.4,-206.05190708365416,-7.3976149703978935
15.0,0.5,Au,0.405,-206.00995534747452,-7.399712557206875
15.0,0.5,Au,0.41,-205.96783356927648,-7.401818646116777
15.0,0.5,Au,0.415,-205.92475006941675,-7.403972821109764
15.0,0.5,Au,0.42,-205.88151237695178,-7.406134705733012
15.0,0.5,Au,0.425,-205.83729129640997,-7.408345759760102
15.0,0.5,Au,0.43,-205.7929303842805,-7.410563805366575
15.0,0.5,Au,0.435,-205.74756575088233,-7.412832037036485
15.0,0.5,Au,0.44,-205.7020740828368,-7.415106620438762
15.0,0.5,Au,0.445,-205.6555597643219,-7.417432336364506
15.0,0.5,Au,0.45,-205.60892957261603,-7.419763845949799
15.0,0.5,Au,0.455,-205.56125927149142,-7.422147361006029
15.0,0.5,Au,0.46,-205.5134825562844,-7.424536196766381
15.0,0.5,Au,0.465,-205.4646498044457,-7.426977834358316
15.0,0.5,Au,0.47,-205.41571833321373,-7.429424407919914
