L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
6.0,0.1,Au,0.0,-201.00271927862158,-8.820246768419919
6.0,0.1,Au,0.005,-201.0029026270285,-8.820237600999574
6.0,0.1,Au,0.01,-201.00106379368387,-8.820329542666805
6.0,0.1,Au,0.015,-200.999553956385,-8.820405034531749
6.0,0.1,Au,0.02,-200.99609650907587,-8.820577906897205
6.0,0.1,Au,0.025,-200.99285731047615,-8.820739866827191
6.0,0.1,Au,0.03,-200.98781497218127,-8.820991983741935
6.0,0.1,Au,0.035,-200.98281400675364,-8.821242032013316
6.0,0.1,Au,0.04,-200.97621521556175,-8.821571971572912
6.0,0.1,Au,0.045,-200.96942584267532,-8.821911440217232
6.0,0.1,Au,0.05,-200.96129192947595,-8.8223181358772
6.0,0.1,Au,0.055,-200.9526948936846,-8.82274798766677
6.0,0.1,Au,0.06,-200.9430386881505,-8.823230797943474
6.0,0.1,Au,0.065,-200.932623263759,-8.823751569163047
6.0,0.1,Au,0.07,-200.9214482157129,-8.824310321565354
6.0,0.1,Au,0.075,-200.90921280399567,-8.824922092151215
6.0,0.1,Au,0.08,-200.89651267519187,-8.825557098591405
6.0,0.1,Au,0.085,-200.8824648166769,-8.826259491517154
6.0,0.1,Au,0.09,-200.8682239625431,-8.826971534223842
6.0,0.1,Au,0.095,-200.85237976317111,-8.827763744192444
6.0,0.1,Au,0.1,-200.83657398733024,-8.828554032984487
6.0,0.1,Au,0.105,-200.81895699377873,-8.829434882662063
6.0,0.1,Au,0.11,-200.80155492248457,-8.83030498622677
6.0,0.1,Au,0.115,-200.78219451627473,-8.83127300653726
6.0,0.1,Au,0.12,-200.76315940747105,-8.832224761977447
6.0,0.1,Au,0.125,-200.74208881749797,-8.8332782914761
6.0,0.1,Au,0.13,-200.72138069205386,-8.834313697748305
6.0,0.1,Au,0.135,-200.6986347490415,-8.835450994898924
6.0,0.1,Au,0.14,-200.67621271152882,-8.836572096774557
6.0,0.1,Au,0.145,-200.65182548411542,-8.837791458145228
6.0,0.1,Au,0.15,-200.62765008851554,-8.839000227925222
6.0,0.1,Au,0.155,-200.60165254822564,-8.840300104939717
6.0,0.1,Au,0.16,-200.5756880609646,-8.84159832930277
6.0,0.1,Au,0.165,-200.5481059217098,-8.842977436265508
6.0,0.1,Au,0.17,-200.52032234060533,-8.844366615320732
6.0,0.1,Au,0.175,-200.4911742077001,-8.845824021965994
6.0,0.1,Au,0.18,-200.4615489103691,-8.847305286832544
6.0,0.1,Au,0.185,-200.43084485497894,-8.848840489602052
6.0,0.1,Au,0.19,-200.3993637731401,-8.850414543693994
6.0,0.1,Au,0.195,-200.36710442176044,-8.852027511262976
6.0,0.1,Au,0.2,-200.33376266719324,-8.853694598991337
6.0,0.1,Au,0.205,-200.29993886384966,-8.855385789158515
6.0,0.1,Au,0.21,-200.26474076579635,-8.857145694061181
6.0,0.1,Au,0.215,-200.22933382906373,-8.858916040897812
6.0,0.1,Au,0.22,-200.19229237942903,-8.860768113379546
6.0,0.1,Au,0.225,-200.15527493937023,-8.862618985382486
6.0,0.1,Au,0.23,-200.116410678959,-8.86456219840305
6.0,0.1,Au,0.235,-200.0777480429081,-8.866495330205595
6.0,0.1,Au,0.24,-200.03708745681956,-8.868528359510021
6.0,0.1,Au,0.245,-199.99673941987277,-8.870545761357361
6.0,0.1,Au,0.25,-199.9543129409027,-8.872667085305865
6.0,0.1,Au,0.255,-199.91223592907602,-8.874770935897198
6.0,0.1,Au,0.26,-199.86807567263065,-8.876978948719467
6.0,0.1,Au,0.265,-199.82422508562397,-8.8791714780698
6.0,0.1,Au,0.27,-199.77836245667729,-8.881464609517135
6.0,0.1,Au,0.275,-199.7326950644134,-8.883747979130328
6.0,0.1,Au,0.28,-199.68515838537283,-8.886124813082358
6.0,0.1,Au,0.285,-199.63763462872257,-8.888501000914871
6.0,0.1,Au,0.29,-199.58844693616942,-8.890960385542527
6.0,0.1,Au,0.295,-199.53903298782564,-8.893431082959717
6.0,0.1,Au,0.3,-199.488210135984,-8.895972225551798
6.0,0.1,Au,0.305,-199.4368795919618,-8.89853875275291
6.0,0.1,Au,0.31,-199.38442878204,-8.901161293248999
6.0,0.1,Au,0.315,-199.3311638768986,-8.90382453850607
6.0,0.1,Au,0.32,-199.27708270527702,-8.906528597087148
6.0,0.1,Au,0.325,-199.2218749734934,-8.909288983676328
6.0,0.1,Au,0.33,-199.16615105967625,-8.912075179367186
6.0,0.1,Au,0.335,-199.10900139985364,-8.914932662358318
6.0,0.1,Au,0.34,-199.0516126191923,-8.917802101391384
6.0,0.1,Au,0.345,-198.9925307548377,-8.920756194609114
6.0,0.1,Au,0.35,-198.93344606340304,-8.923710429180847
6.0,0.1,Au,0.355,-198.87244943158763,-8.926760260771617
6.0,0.1,Au,0.36,-198.81163023363763,-8.929801220669118
6.0,0.1,Au,0.365,-198.74874236859756,-8.932945613921122
6.0,0.1,Au,0.37,-198.68614434307327,-8.936075515197334
6.0,0.1,Au,0.375,-198.62139285352856,-8.93931308967457
6.0,0.1,Au,0.38,-198.55696812709604,-8.942534325996197
6.0,0.1,Au,0.385,-198.49038239174683,-8.945863612763658
6.0,0.1,Au,0.39,-198.42408192385344,-8.949178636158326
6.0,0.1,Au,0.395,-198.35569064755336,-8.95259819997333
6.0,0.1,Au,0.4,-198.28746667922186,-8.956009398389906
6.0,0.1,Au,0.405,-198.2172954615788,-8.959517959272059
6.0,0.1,Au,0.41,-198.14710387505644,-8.963027538598176
6.0,0.1,Au,0.415,-198.0751729430635,-8.966624085197823
6.0,0.1,Au,0.42,-198.00297538436547,-8.970233963132724
6.0,0.1,Au,0.425,-197.92929763107247,-8.973917850797374
6.0,0.1,Au,0.43,-197.8550632615619,-8.977629569272903
