L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
1.0,0.5,Au,0.0,-205.77881001337136,-6.847516370831304
1.0,0.5,Au,0.005,-205.77889153574412,-6.847512294712665
1.0,0.5,Au,0.01,-205.77794093584646,-6.84755982470755
1.0,0.5,Au,0.015,-205.7771345174562,-6.847600145627061
1.0,0.5,Au,0.02,-205.77533327794106,-6.8476902076028185
1.0,0.5,Au,0.025,-205.77362080790013,-6.847775831104866
1.0,0.5,Au,0.03,-205.77098578202913,-6.847907582398416
1.0,0.5,Au,0.035,-205.76835102447444,-6.8480393202761505
1.0,0.5,Au,0.04,-205.7648964121518,-6.848212050892282
1.0,0.5,Au,0.045,-205.76132600393422,-6.848390571303161
1.0,0.5,Au,0.05,-205.75706244020654,-6.848603749489546
1.0,0.5,Au,0.055,-205.7525467013955,-6.848829536430098
1.0,0.5,Au,0.06,-205.7474805590096,-6.849082843549392
1.0,0.5,Au,0.065,-205.74201406561144,-6.8493561682193
1.0,0.5,Au,0.07,-205.73614701517437,-6.849649520741154
1.0,0.5,Au,0.075,-205.72972889825033,-6.8499704265873556
1.0,0.5,Au,0.08,-205.72305775353328,-6.850303983823208
1.0,0.5,Au,0.085,-205.71569170587918,-6.850672286205913
1.0,0.5,Au,0.09,-205.70820856408756,-6.851046443295495
1.0,0.5,Au,0.095,-205.6999025538305,-6.851461743808347
1.0,0.5,Au,0.1,-205.69159522230296,-6.8518771103847245
1.0,0.5,Au,0.105,-205.6823609309935,-6.8523388249501975
1.0,0.5,Au,0.11,-205.6732136139748,-6.852796190801132
1.0,0.5,Au,0.115,-205.6630656339074,-6.853303589804502
1.0,0.5,Au,0.12,-205.65305983682143,-6.853803879658801
1.0,0.5,Au,0.125,-205.64201467732937,-6.8543561376334035
1.0,0.5,Au,0.13,-205.63113027240266,-6.85490035787974
1.0,0.5,Au,0.135,-205.61920523681596,-6.855496609659075
1.0,0.5,Au,0.14,-205.6074216237855,-6.856085790310597
1.0,0.5,Au,0.145,-205.59463362685523,-6.8567251901571105
1.0,0.5,Au,0.15,-205.58193091649258,-6.857360325675243
1.0,0.5,Au,0.155,-205.56829531589412,-6.858042105705166
1.0,0.5,Au,0.16,-205.55465546254777,-6.858724098372483
1.0,0.5,Au,0.165,-205.5401849772937,-6.859447622635187
1.0,0.5,Au,0.17,-205.52559278970722,-6.860177232014511
1.0,0.5,Au,0.175,-205.51029657301348,-6.8609420428491985
1.0,0.5,Au,0.18,-205.49474054013356,-6.861719844493194
1.0,0.5,Au,0.185,-205.47862346478115,-6.862525698260814
1.0,0.5,Au,0.19,-205.46209634466305,-6.863352054266719
1.0,0.5,Au,0.195,-205.44515854577446,-6.864198944211148
1.0,0.5,Au,0.2,-205.42765768034238,-6.865073987482753
1.0,0.5,Au,0.205,-205.40989438455512,-6.865962152272116
1.0,0.5,Au,0.21,-205.39142171995152,-6.866885785502295
1.0,0.5,Au,0.215,-205.37282337220586,-6.86781570288958
1.0,0.5,Au,0.22,-205.3533851827441,-6.868787612362667
