L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
1.0,0.1,Au,0.0,-204.33285255245167,-7.529344215584772
1.0,0.1,Au,0.005,-204.3329439824255,-7.529339644086082
1.0,0.1,Au,0.01,-204.33163314861633,-7.5294051857765405
1.0,0.1,Au,0.015,-204.3304801532547,-7.529462835544621
1.0,0.1,Au,0.02,-204.32797435204654,-7.52958812560503
1.0,0.1,Au,0.025,-204.32555288582464,-7.529709198916125
1.0,0.1,Au,0.03,-204.3218744318682,-7.529893121613947
1.0,0.1,Au,0.035,-204.31816291341065,-7.530078697536824
1.0,0.1,Au,0.04,-204.31333058282075,-7.530320314066319
1.0,0.1,Au,0.045,-204.30831121755324,-7.530571282329694
1.0,0.1,Au,0.05,-204.30233903934845,-7.530869891239934
1.0,0.1,Au,0.055,-204.29599889422573,-7.53118689849607
1.0,0.1,Au,0.06,-204.28889522527118,-7.531542081943797
1.0,0.1,Au,0.065,-204.28122698853917,-7.531925493780397
1.0,0.1,Au,0.07,-204.27299392970338,-7.532337146722187
1.0,0.1,Au,0.075,-204.2639963081998,-7.532787027797366
1.0,0.1,Au,0.08,-204.2546294982737,-7.533255368293672
1.0,0.1,Au,0.085,-204.24430722724964,-7.533771481844875
1.0,0.1,Au,0.09,-204.2337960277149,-7.534297041821611
1.0,0.1,Au,0.095,-204.22215949221516,-7.534878868596599
1.0,0.1,Au,0.1,-204.21048755167695,-7.5354624656235085
1.0,0.1,Au,0.105,-204.1975520426578,-7.536109241074467
1.0,0.1,Au,0.11,-204.1846982061292,-7.536751932900895
1.0,0.1,Au,0.115,-204.17048285720023,-7.537462700347346
1.0,0.1,Au,0.12,-204.15642236397434,-7.538165725008639
1.0,0.1,Au,0.125,-204.1409488345578,-7.538939401479467
1.0,0.1,Au,0.13,-204.1256547303695,-7.539704106688882
1.0,0.1,Au,0.135,-204.10894571690486,-7.540539557362114
1.0,0.1,Au,0.14,-204.09239039268164,-7.541367323573274
1.0,0.1,Au,0.145,-204.07446806030083,-7.542263440192315
1.0,0.1,Au,0.15,-204.05662482178573,-7.54315560211807
1.0,0.1,Au,0.155,-204.03750925397023,-7.544111380508845
1.0,0.1,Au,0.16,-204.0183538244296,-7.545069151985877
1.0,0.1,Au,0.165,-203.99806158719042,-7.546083763847836
1.0,0.1,Au,0.17,-203.97757344939907,-7.547108170737403
1.0,0.1,Au,0.175,-203.95611635958312,-7.5481810252282
1.0,0.1,Au,0.18,-203.93427985309864,-7.549272850552424
1.0,0.1,Au,0.185,-203.91166402788826,-7.550403641812943
1.0,0.1,Au,0.19,-203.88846913265732,-7.55156338657449
1.0,0.1,Au,0.195,-203.86469438001012,-7.55275212420685
1.0,0.1,Au,0.2,-203.84013713671044,-7.553979986371835
1.0,0.1,Au,0.205,-203.81519672541484,-7.555227006936614
1.0,0.1,Au,0.21,-203.78927926539322,-7.556522879937695
1.0,0.1,Au,0.215,-203.76316008988854,-7.557828838712929
1.0,0.1,Au,0.22,-203.73589027176837,-7.559192329618939
1.0,0.1,Au,0.225,-203.70857340237123,-7.560558173088795
1.0,0.1,Au,0.23,-203.67996407685,-7.561988639364856
1.0,0.1,Au,0.235,-203.6514256620331,-7.563415560105701
1.0,0.1,Au,0.24,-203.6214936095456,-7.564912162730075
1.0,0.1,Au,0.245,-203.5917060749172,-7.566401539461497
1.0,0.1,Au,0.25,-203.5604706813278,-7.567963309140965
1.0,0.1,Au,0.255,-203.52940415136,-7.569516635639356
1.0,0.1,Au,0.26,-203.4968859033014,-7.571142548042287
1.0,0.1,Au,0.265,-203.46450975775895,-7.572761355319408
1.0,0.1,Au,0.27,-203.4307286507089,-7.574450410671912
1.0,0.1,Au,0.275,-203.39701311908416,-7.576136187253148
1.0,0.1,Au,0.28,-203.3619870769815,-7.5778874893582815
1.0,0.1,Au,0.285,-203.32690477154966,-7.579641604629874
1.0,0.1,Au,0.29,-203.29064817636993,-7.58145443438886
1.0,0.1,Au,0.295,-203.25417546794833,-7.58327806980994
1.0,0.1,Au,0.3,-203.21669789113517,-7.585151948650598
1.0,0.1,Au,0.305,-203.1788160410785,-7.587046041153431
1.0,0.1,Au,0.31,-203.1401212565213,-7.588980780381292
1.0,0.1,Au,0.315,-203.10081723330745,-7.590945981541984
1.0,0.1,Au,0.32,-203.060902574313,-7.592941714491706
1.0,0.1,Au,0.325,-203.02016950242884,-7.594978368085914
1.0,0.1,Au,0.33,-202.97902560399362,-7.597035563007676
1.0,0.1,Au,0.335,-202.93686281547292,-7.59914370243371
1.0,0.1,Au,0.34,-202.89447375933548,-7.6012631552405825
1.0,0.1,Au,0.345,-202.85088644290317,-7.603442521062198
1.0,0.1,Au,0.35,-202.80723029788777,-7.605625328312968
1.0,0.1,Au,0.355,-202.76222876565657,-7.607875404924528
1.0,0.1,Au,0.36,-202.71727849117104,-7.610122918648804
1.0,0.1,Au,0.365,-202.6708771067136,-7.6124429878716775
1.0,0.1,Au,0.37,-202.62460176454107,-7.614756754980304
1.0,0.1,Au,0.375,-202.57681759741203,-7.617145963336755
1.0,0.1,Au,0.38,-202.52918379748306,-7.619527653333204
1.0,0.1,Au,0.385,-202.48003508658314,-7.6219850888781995
1.0,0.1,Au,0.39,-202.43100857751372,-7.6244364143316705
1.0,0.1,Au,0.395,-202.38051309795628,-7.626961188309542
1.0,0.1,Au,0.4,-202.3300604036867,-7.629483823023022
1.0,0.1,Au,0.405,-202.2782338383028,-7.632075151292216
1.0,0.1,Au,0.41,-202.22632383879224,-7.6346706512677445
1.0,0.1,Au,0.415,-202.1731782556155,-7.637327930426581
1.0,0.1,Au,0.42,-202.11978361251047,-7.639997662581832
1.0,0.1,Au,0.425,-202.06532614351542,-7.642720536031586
1.0,0.1,Au,0.43,-202.0104244808144,-7.645465619166636
1.0,0.1,Au,0.435,-201.95465628516234,-7.648254028949239
1.0,0.1,Au,0.44,-201.89823104963662,-7.651075290725526
1.0,0.1,Au,0.445,-201.84114662743406,-7.653929511835654
1.0,0.1,Au,0.45,-201.78318757307537,-7.656827464553588
1.0,0.1,Au,0.455,-201.72477447420565,-7.659748119497074
1.0,0.1,Au,0.46,-201.6652777380218,-7.662722956306266
1.0,0.1,Au,0.465,-201.60551668627681,-7.665711008893515
1.0,0.1,Au,0.47,-201.54448444797939,-7.668762620808388
1.0,0.1,Au,0.475,-201.48334987500238,-7.6718193494572375
1.0,0.1,Au,0.48,-201.42078961897448,-7.674947362258633
1.0,0.1,Au,0.485,-201.358250576972,-7.6780743143587555
1.0,0.1,Au,0.49,-201.29417399973772,-7.68127814322047
1.0,0.1,Au,0.495,-201.23019539815763,-7.684477073299474
1.0,0.1,Au,0.5,-201.16461702690245,-7.687755991862234
1.0,0.1,Au,0.505,-201.09916111775976,-7.691028787319368
1.0,0.1,Au,0.51,-201.03209672383653,-7.6943820070155295
1.0,0.1,Au,0.515,-200.9651247443891,-7.697730605987902
1.0,0.1,Au,0.52,-200.8965896490443,-7.701157360755142
1.0,0.1,Au,0.525,-200.82806352011895,-7.704583667201409
1.0,0.1,Au,0.53,-200.75807089702576,-7.708083298356068
1.0,0.1,Au,0.535,-200.68795487111484,-7.711589099651614
1.0,0.1,Au,0.54,-200.61651415121173,-7.7151611356467695
1.0,0.1,Au,0.545,-200.54477630683908,-7.718748027865402
1.0,0.1,Au,0.55,-200.47189178534157,-7.722392253940277
1.0,0.1,Au,0.555,-200.39850527301175,-7.726061579556768
1.0,0.1,Au,0.56,-200.32417500659298,-7.729778092877708
1.0,0.1,Au,0.565,-200.24911896637454,-7.733530894888629
1.0,0.1,Au,0.57,-200.1733340311045,-7.737320141652132
1.0,0.1,Au,0.575,-200.09659412173104,-7.741157137120805
1.0,0.1,Au,0.58,-200.0193382804309,-7.745019929185812
1.0,0.1,Au,0.585,-199.9409067834912,-7.748941504032797
1.0,0.1,Au,0.59,-199.8621565860562,-7.752879013904547
1.0,0.1,Au,0.595,-199.78203207497998,-7.756885239458357
1.0,0.1,Au,0.6,-199.70175738846132,-7.76089897378429
1.0,0.1,Au,0.605,-199.6199439789916,-7.764989644257776
1.0,0.1,Au,0.61,-199.53810891744786,-7.769081397334963
1.0,0.1,Au,0.615,-199.45461514243073,-7.773256086085819
1.0,0.1,Au,0.62,-199.3711793414451,-7.777427876135102
1.0,0.1,Au,0.625,-199.2860167164946,-7.781686007382627
1.0,0.1,Au,0.63,-199.20093687531698,-7.785939999441507
1.0,0.1,Au,0.635,-199.11411824166817,-7.790280931123948
1.0,0.1,Au,0.64,-199.02734983864488,-7.794619351275113
1.0,0.1,Au,0.645,-198.93888758410185,-7.799042464002263
1.0,0.1,Au,0.65,-198.85038665943333,-7.80346751023569
1.0,0.1,Au,0.655,-198.7602909267634,-7.8079722968691865
1.0,0.1,Au,0.66,-198.6700158214841,-7.812486052133151
1.0,0.1,Au,0.665,-198.5782928153546,-7.817072202439627
1.0,0.1,Au,0.67,-198.48620575713989,-7.821676555350362
1.0,0.1,Au,0.675,-198.39285625554103,-7.826344030430304
1.0,0.1,Au,0.68,-198.29892469045203,-7.831040608684756
1.0,0.1,Au,0.685,-198.2039428548189,-7.835789700466411
1.0,0.1,Au,0.69,-198.10814043892327,-7.840579821261192
1.0,0.1,Au,0.695,-198.01151299943618,-7.845411193235548
1.0,0.1,Au,0.7,-197.91382018456798,-7.850295833978957
1.0,0.1,Au,0.705,-197.8155260545115,-7.855210540481782
1.0,0.1,Au,0.71,-197.715930227004,-7.860190331857156
1.0,0.1,Au,0.715,-197.61594057388675,-7.86518981451302
1.0,0.1,Au,0.72,-197.51443573248378,-7.870265056583167
1.0,0.1,Au,0.725,-197.41271450546603,-7.875351117934056
1.0,0.1,Au,0.73,-197.30930049311644,-7.880521818551535
1.0,0.1,Au,0.735,-197.20580537790278,-7.885696574312218
1.0,0.1,Au,0.74,-197.10048670999095,-7.890962507707809
1.0,0.1,Au,0.745,-196.99517045544022,-7.896228320435346
1.0,0.1,Au,0.75,-196.88795481253348,-7.901589102580682
1.0,0.1,Au,0.755,-196.78076684952143,-7.906948500731286
1.0,0.1,Au,0.76,-196.6716633242501,-7.912403676994852
1.0,0.1,Au,0.765,-196.56255157828193,-7.91785926429326
1.0,0.1,Au,0.77,-196.45156878219876,-7.923408404097418
1.0,0.1,Au,0.775,-196.34048156811699,-7.928962764801508
1.0,0.1,Au,0.78,-196.22762571421757,-7.934605557496479
1.0,0.1,Au,0.785,-196.11451359500302,-7.940261163457206
1.0,0.1,Au,0.79,-195.99978667435553,-7.9459975094895805
1.0,0.1,Au,0.795,-195.88460416688173,-7.95175663486327
1.0,0.1,Au,0.8,-195.76800233328706,-7.957586726543004
1.0,0.1,Au,0.805,-195.65070935203826,-7.963451375605443
1.0,0.1,Au,0.81,-195.5322216169857,-7.96937576235807
1.0,0.1,Au,0.815,-195.41278456173632,-7.97534761512054
1.0,0.1,Au,0.82,-195.2923918838063,-7.981367249017042
1.0,0.1,Au,0.825,-195.1707842982354,-7.987447628295587
1.0,0.1,Au,0.83,-195.04845912756537,-7.993563886829088
1.0,0.1,Au,0.835,-194.92466188153062,-7.999753749130825
1.0,0.1,Au,0.84,-194.8003681923746,-8.005968433588626
1.0,0.1,Au,0.845,-194.6743691695496,-8.012268384729875
1.0,0.1,Au,0.85,-194.5480629840215,-8.018583694006281
1.0,0.1,Au,0.855,-194.4198562870648,-8.024994028854117
1.0,0.1,Au,0.86,-194.29148666263643,-8.031412510075535
1.0,0.1,Au,0.865,-194.16107137813975,-8.037933274300368
1.0,0.1,Au,0.87,-194.03058180227472,-8.04445775309362
