material,y_nm,phi_tilde,phi_s_mV,c_Red1_over_c_bulk,c_Ox2_over_c_bulk
Au,0.0,-5.9826611151919336,-153.62464284073494,0.0025221057402127632,396.49408193156904
Au,0.06335870602120251,-5.859311693162265,-150.45723781159165,0.0028532068887690484,350.48282125500805
Au,0.12671741204240503,-5.738505467148902,-147.3551377649898,0.003219576444191189,310.5998622285288
Au,0.19007611806360752,-5.620190001997539,-144.3169962546411,0.003623952485336695,275.94180774892027
Au,0.25343482408481005,-5.504313943652377,-141.34149459504283,0.004069179309766962,245.74979962170036
Au,0.3167935301060126,-5.390826996866226,-138.42734128911073,0.004558202157673789,219.3847410467497
Au,0.38015223612721505,-5.279679903370183,-135.5732714676133,0.005094061123551297,196.3070280756379
Au,0.4435109421484176,-5.1708244204934015,-132.7780463401635,0.005679884275471141,176.05992507955648
Au,0.5068696481696201,-5.064213300223673,-130.04045265752984,0.0063188800094406495,158.25589321303167
Au,0.5702283541908226,-4.959800268699739,-127.35930218503344,0.007014328673671309,142.5653182967542
Au,0.6335870602120252,-4.857540006126422,-124.73343118680263,0.007769573504565353,128.70719344020702
Au,0.6969457662332277,-4.7573881271038605,-122.1616999206609,0.008588010922755586,116.44139824628165
Au,0.7603044722544301,-4.659301161362322,-119.64299214342924,0.009473080243531216,105.5622853699418
Au,0.8236631782756326,-4.563236534894212,-117.17621462642819,0.01042825286138351,95.8933402644142
Au,0.8870218842968352,-4.469152551475103,-114.76029668096879,0.011457020973152356,87.28272404696958
Au,0.9503805903180377,-4.377008374565764,-112.39418969362751,0.012562885908303047,79.59954482584939
Au,1.0137392963392402,-4.286764009587324,-110.07686667110208,0.013749346138177935,72.73073133443712
Au,1.0770980023604426,-4.198380286561886,-107.80732179445205,0.015019885038625566,66.57840572203924
Au,1.1404567083816453,-4.111818843111058,-105.5845699825294,0.016377958482200673,61.057670959832116
Au,1.2038154144028477,-4.027042107805004,-103.40764646441063,0.017826982337149227,56.09474341129086
Au,1.2671741204240503,-3.94401328385482,-101.27560636064419,0.019370319950654368,51.62537338296356
Au,1.3305328264452527,-3.8626963331411215,-99.18752427313173,0.0210112696933401,47.593506465578706
Au,1.3938915324664554,-3.7830559605719336,-97.14249388346506,0.022753052640837733,43.95014663681548
Au,1.4572502384876578,-3.7050575987630907,-95.13962755954468,0.024598800466352436,40.65238877675575
Au,1.5206089445088602,-3.6286673930344833,-93.17805597030866,0.026551543615666324,37.66259372618794
Au,1.5839676505300628,-3.5538521867156563,-91.25692770840527,0.02861419983292878,34.947683522123704
Au,1.6473263565512652,-3.4805795067543777,-89.37540892064526,0.030789563101970414,32.47853815554804
Au,1.7106850625724679,-3.4088175496219146,-87.53268294607314,0.033080293063790685,30.229478259809877
