condition,E_mix_V,I_Au_A,I_Pd_A,i_mix_avg_A_per_m2,phi_RP_Au_V,phi_RP_Pd_V,max_abs_phi_tilde
with EDL,0.6008249905513605,3.997571292264299e-11,-3.9975712922642845e-11,0.07995142584528597,-0.15362464284073493,-0.11402533826198591,5.9826611151919336
w/o EDL,0.46699999999999997,5.878017703936212e-11,-5.878017703936212e-11,0.11756035407872424,0.0,0.0,0.0
