run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,out_of_plane_width,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,pH,pH_ref,E1_eq_pH_slope_V_per_pH,E2_eq_pH_slope_V_per_pH,it0_1_pH_order,it0_2_pH_order,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,dh_warn_threshold,dh_violation_action,do_ofat,do_heatmaps,do_sensitivities,ofat_n,ofat_L_gap_n,heatmap_nx,heatmap_ny,scan_mode,heatmap_mode,sensitivity_mode,ofat_pH_min,ofat_pH_max,ofat_C_tot_min,ofat_C_tot_max,heatmap_C_tot_min,heatmap_C_tot_max,heatmap_L_min,heatmap_L_max,heatmap_Cdl_C_min,heatmap_Cdl_C_max,heatmap_pzc_C_offsets,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,i_mix_norm_A_per_m2,i_mix_phys_A_per_m,i_mix_abs_A,i_mix_avg_A_per_m2,residual,residual_norm_A_per_m2,residual_phys_A_per_m,residual_abs_A,residual_avg_A_per_m2,converged,method,iterations,out_of_plane_width_m,reactive_length_m,reactive_area_m2,a1,b1,a2,b2,max_abs_phi_tilde,debye_huckel_ok,delta_pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,use_edl_case,C_tot_M,phi2_1_meanV,phi2_2_meanV,scan_param,scan_value,scan_value_M,Cdl_Au_uF_per_cm2,Cdl_Pd_uF_per_cm2,L_Au_nm,L_Pd_len_nm,pzc_Au_V,pzc_Pd_V
ofat_compare:T:with_edl_FULL,8.314,96485.0,302.2857142857143,8.8541878128e-12,78.5,,10.0,3.0630085991895033e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0135791434830772,0.44068658412307704,1.6613884221440003,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4635303353590153,0.22557674770897937,0.22557674770897937,6.909435180098049e-10,6.909435180098049e-10,0.014394656625204267,2.887048655697555e-10,2.887048655697555e-10,8.843054858680106e-19,8.843054858680106e-19,1.8423030955583556e-11,True,brentq,17,1.0,4.8e-08,4.8e-08,0.492728256582725,-0.2501705363603748,0.6201361199305447,-0.23004391644246955,2.2188579779131086,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,T,302.2857142857143,,,,,,,
ofat_compare:T:without_edl,8.314,96485.0,302.2857142857143,8.8541878128e-12,78.5,,10.0,3.0630085991895033e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0135791434830772,0.44068658412307704,1.6613884221440003,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.49271418916635473,0.5971316254858489,0.5971316254858489,1.829019303711161e-09,1.829019303711161e-09,0.03810456882731585,7.645839517067543e-11,7.645839517067543e-11,2.3419272188800805e-19,2.3419272188800805e-19,4.879015039333501e-12,True,brentq,12,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,T,302.2857142857143,,,,,,,
ofat_compare:T:with_edl_FULL,8.314,96485.0,306.57142857142856,8.8541878128e-12,78.5,,10.0,3.0846453781490483e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.02073896271811,0.44379954900787394,1.6731242997596847,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4641460632128332,0.20770216388267107,0.20770216388267107,6.406875198522375e-10,6.406875198522375e-10,0.013347656663588283,-2.729958203939731e-10,-2.729958203939731e-10,-8.420952956322767e-19,-8.420952956322767e-19,-1.75436519923391e-11,True,brentq,17,1.0,4.8e-08,4.8e-08,0.49443101267136985,-0.251018726715703,0.6217689360558896,-0.23064976927561348,2.2082007056414845,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,T,306.57142857142856,,,,,,,
ofat_compare:T:without_edl,8.314,96485.0,306.57142857142856,8.8541878128e-12,78.5,,10.0,3.0846453781490483e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.02073896271811,0.44379954900787394,1.6731242997596847,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4938562487555206,0.5452975687216072,0.5452975687216072,1.6820496250730186e-09,1.6820496250730186e-09,0.03504270052235455,8.58729753971943e-11,8.58729753971943e-11,2.6488767666686234e-19,2.6488767666686234e-19,5.518493263892965e-12,True,brentq,12,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,T,306.57142857142856,,,,,,,
ofat_compare:T:with_edl_FULL,8.314,96485.0,310.85714285714283,8.8541878128e-12,78.5,,10.0,3.106131442673302e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0278489090901435,0.44689083003919283,1.684778429247757,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.46476091710398026,0.19166781712835781,0.19166781712835781,5.953454333309486e-10,5.953454333309486e-10,0.01240302986106143,6.922235007422728e-11,6.922235007422728e-11,2.1501371810129593e-19,2.1501371810129593e-19,4.479452460443665e-12,True,brentq,17,1.0,4.8e-08,4.8e-08,0.4961101373400724,-0.25185494396762526,0.6233762926498656,-0.23124618441398745,2.1978032159835568,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,T,310.85714285714283,,,,,,,
ofat_compare:T:without_edl,8.314,96485.0,310.85714285714283,8.8541878128e-12,78.5,,10.0,3.106131442673302e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0278489090901435,0.44689083003919283,1.684778429247757,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4949983083451377,0.499163246730766,0.499163246730766,1.5504666556973236e-09,1.5504666556973236e-09,0.03230138866036091,1.0021061758180849e-10,1.0021061758180849e-10,3.1126735016056537e-19,3.1126735016056537e-19,6.484736461678445e-12,True,brentq,12,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,T,310.85714285714283,,,,,,,
ofat_compare:T:with_edl_FULL,8.314,96485.0,315.1428571428571,8.8541878128e-12,78.5,,10.0,3.1274698990383853e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0349100104959625,0.44996087412867936,1.696352495465121,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.46537491551851506,0.1772473762250945,0.1772473762250945,5.54335833827515e-10,5.54335833827515e-10,0.011548663204739898,4.6074255521944e-15,4.6074255521944e-15,1.4409584726548296e-23,1.4409584726548296e-23,3.001996818030895e-16,True,brentq,18,1.0,4.8e-08,4.8e-08,0.4977662430752375,-0.2526794999813123,0.6249588954650575,-0.23183342355982003,2.1876550745981955,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,T,315.1428571428571,,,,,,,
ofat_compare:T:without_edl,8.314,96485.0,315.1428571428571,8.8541878128e-12,78.5,,10.0,3.1274698990383853e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0349100104959625,0.44996087412867936,1.696352495465121,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4961403679354345,0.4579890604928381,0.4579890604928381,1.4323470007802214e-09,1.4323470007802214e-09,0.029840562516254613,1.21200327551918e-10,1.21200327551918e-10,3.7905037617221623e-19,3.7905037617221623e-19,7.896882836921171e-12,True,brentq,12,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,T,315.1428571428571,,,,,,,
ofat_compare:T:with_edl_FULL,8.314,96485.0,319.42857142857144,8.8541878128e-12,78.5,,10.0,3.1486637482618893e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0419232600012862,0.45301011304403754,1.7078481261760214,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4659880764587677,0.16424642669689113,0.16424642669689113,5.171567695220548e-10,5.171567695220548e-10,0.010774099365042809,3.642189327912604e-11,3.642189327912604e-11,1.146802950110475e-19,1.146802950110475e-19,2.3891728127301566e-12,True,brentq,15,1.0,4.8e-08,4.8e-08,0.4993999189713862,-0.25349269468857255,0.6265174220485421,-0.2324117379535139,2.1777471953346694,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,T,319.42857142857144,,,,,,,
ofat_compare:T:without_edl,8.314,96485.0,319.42857142857144,8.8541878128e-12,78.5,,10.0,3.1486637482618893e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0419232600012862,0.45301011304403754,1.7078481261760214,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4972824275267743,0.42114459272067234,0.42114459272067234,1.326042711876099e-09,1.326042711876099e-09,0.02762588983075206,1.515142455943419e-10,1.515142455943419e-10,4.7706741244815305e-19,4.7706741244815305e-19,9.93890442600319e-12,True,brentq,12,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,T,319.42857142857144,,,,,,,
ofat_compare:T:with_edl_FULL,8.314,96485.0,323.7142857142857,8.8541878128e-12,78.5,,10.0,3.169715891029676e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0488896174710967,0.4560389641178681,1.7192668947243626,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4666004172485643,0.15249743897829052,0.15249743897829052,4.833735556708157e-10,4.833735556708157e-10,0.01007028240980866,-2.874819826637065e-11,-2.874819826637065e-11,-9.112362088338683e-20,-9.112362088338683e-20,-1.8984087684038924e-12,True,brentq,14,1.0,4.8e-08,4.8e-08,0.5010117319100931,-0.25429481668987103,0.6280525232120059,-0.23298136891901627,2.168070934102518,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,T,323.7142857142857,,,,,,,
ofat_compare:T:without_edl,8.314,96485.0,323.7142857142857,8.8541878128e-12,78.5,,10.0,3.169715891029676e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0488896174710967,0.4560389641178681,1.7192668947243626,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.49842448711973686,0.38809069124009155,0.38809069124009155,1.2301372311844096e-09,1.2301372311844096e-09,0.025627858983008536,1.9520685068386e-10,1.9520685068386e-10,6.187502566504883e-19,6.187502566504883e-19,1.2890630346885173e-11,True,brentq,12,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,T,323.7142857142857,,,,,,,
ofat_compare:T:with_edl_FULL,8.314,96485.0,328.0,8.8541878128e-12,78.5,,10.0,3.1906291323300944e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0558100111031425,0.4590478309144098,1.7306103225473248,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4672119546743969,0.14185560930734603,0.14185560930734603,4.526086396404543e-10,4.526086396404543e-10,0.009429346659176132,-6.38378239159465e-16,-6.38378239159465e-16,-2.0368282073077773e-24,-2.0368282073077773e-24,-4.2433920985578696e-17,True,brentq,16,1.0,4.8e-08,4.8e-08,0.5026022276653032,-0.25508614381873007,0.6295648244076145,-0.23354254837422506,2.158618064422779,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,T,328.0,,,,,,,
ofat_compare:T:without_edl,8.314,96485.0,328.0,8.8541878128e-12,78.5,,10.0,3.1906291323300944e-09,1.1e-08,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0558100111031425,0.4590478309144098,1.7306103225473248,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4995665467152543,0.3583647682088327,0.3583647682088327,1.1434090694478231e-09,1.1434090694478231e-09,0.02382102228016298,2.584232827729238e-10,2.584232827729238e-10,8.245328544876685e-19,8.245328544876685e-19,1.7177767801826427e-11,True,brentq,12,1.0,4.8e-08,4.8e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,T,328.0,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1000000000000008e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.49649836028472283,0.09095110887693007,0.09095110887693007,2.766021393425182e-10,2.766021393425182e-10,0.007259898670407302,-2.286129618944699e-12,-2.286129618944699e-12,-6.952618293747884e-21,-6.952618293747884e-21,-1.8248341978340902e-13,True,brentq,19,1.0,3.8100000000000004e-08,3.8100000000000004e-08,0.42385242457340694,-0.19864476120928776,0.6184747350652898,-0.22942261120547316,3.043158382998266,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,1.1000000000000008e-09,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1000000000000008e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5595336238452788,0.2462120310194775,0.2462120310194775,7.48784433227821e-10,7.48784433227821e-10,0.019653134730389002,6.411537967210279e-15,6.411537967210279e-15,1.9498883961996217e-23,1.9498883961996217e-23,5.117817312859899e-16,True,brentq,16,1.0,3.8100000000000004e-08,3.8100000000000004e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,1.1000000000000008e-09,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.5284450438104508e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4920506131051643,0.1037361934730802,0.1037361934730802,3.154843673289349e-10,3.154843673289349e-10,0.008188349334373594,-4.163336342344337e-16,-4.163336342344337e-16,-1.2661612962335205e-24,-1.2661612962335205e-24,-3.286302613027275e-17,True,brentq,20,1.0,3.852844504381045e-08,3.852844504381045e-08,0.43850145727437473,-0.20969581884896368,0.6184768546467304,-0.22942450734027986,2.9355967997153396,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,1.5284450438104508e-09,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.5284450438104508e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5498248389494304,0.28318132357759074,0.28318132357759074,8.612161070998848e-10,8.612161070998848e-10,0.022352734612585624,5.540012892879531e-14,5.540012892879531e-14,1.6848386315214047e-22,1.6848386315214047e-22,4.372973343734961e-15,True,brentq,17,1.0,3.852844504381045e-08,3.852844504381045e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,1.5284450438104508e-09,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.1237675017715806e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.48754514168765356,0.11852144915821737,0.11852144915821737,3.60449551412275e-10,3.60449551412275e-10,0.00921305831285173,-8.326672684688674e-16,-8.326672684688674e-16,-2.532322592467041e-24,-2.532322592467041e-24,-6.472593909449988e-17,True,brentq,19,1.0,3.912376750177158e-08,3.912376750177158e-08,0.45210578971447285,-0.21994697553256704,0.6184801862360587,-0.22942704609653977,2.827046264337925,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,2.1237675017715806e-09,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.1237675017715806e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5401160540710273,0.32570163902369587,0.32570163902369587,9.905296510812562e-10,9.905296510812562e-10,0.02531784933637599,1.9263041162176364e-10,1.9263041162176364e-10,5.858310537929547e-19,5.858310537929547e-19,1.4973789366436333e-11,True,brentq,16,1.0,3.912376750177158e-08,3.912376750177158e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,2.1237675017715806e-09,,,,,,,
ofat_compare:L_Au:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.9509653748077024e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.48292542240162956,0.13587243462113463,0.13587243462113463,4.132176787941854e-10,4.132176787941854e-10,0.010343121246695891,6.750155989720952e-14,6.750155989720952e-14,2.052869514959948e-22,2.052869514959948e-22,5.138472864674373e-15,True,brentq,17,1.0,3.99509653748077e-08,3.99509653748077e-08,0.463977204756051,-0.22889880234943696,0.6184821799340707,-0.22942886700602294,2.714721060722159,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,,,L_Au,2.9509653748077024e-09,,,,,,,
ofat_compare:L_Au:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.9509653748077024e-09,1e-08,3.7e-08,1.0,0.23,0.1,0.377,1.0063683869224698,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,2e-09,1e-06,0.01,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5304072691578149,0.3746064756341673,0.3746064756341673,1.1392599150405107e-09,1.1392599150405107e-09,0.028516455218348887,1.2370104940373494e-12,1.2370104940373494e-12,3.762018443369036e-21,3.762018443369036e-21,9.416589581941094e-14,True,brentq,16,1.0,3.99509653748077e-08,3.99509653748077e-08,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,L_Au,2.9509653748077024e-09,,,,,,,
