group,scan,side,case,parameter_value_display,distance_nm,distance_over_lambda_D,phi_profile_mV
CH,Cdl_Au,Au,low,5.0,2.888307492363199,0.9497206703910615,-23.40073124047115
CH,Cdl_Au,Au,low,5.0,2.9732577127268223,0.9776536312849161,-22.740218522938633
CH,Cdl_Au,Au,low,5.0,3.058207933090446,1.005586592178771,-22.09855142860318
CH,Cdl_Au,Au,low,5.0,3.1431581534540687,1.0335195530726256,-21.475181994583824
CH,Cdl_Au,Au,low,5.0,3.2281083738176926,1.0614525139664803,-20.869578835663177
CH,Cdl_Au,Au,low,5.0,3.313058594181316,1.089385474860335,-20.28122659192491
CH,Cdl_Au,Au,low,5.0,3.3980088145449394,1.1173184357541899,-19.709625399621984
CH,Cdl_Au,Au,low,5.0,3.4829590349085633,1.1452513966480447,-19.154290383787547
CH,Cdl_Au,Au,low,5.0,3.5679092552721867,1.1731843575418994,-18.61475117124943
CH,Cdl_Au,Au,low,5.0,3.65285947563581,1.2011173184357542,-18.090551422837812
CH,Cdl_Au,Au,low,5.0,3.7378096959994336,1.2290502793296088,-17.581248383688767
CH,Cdl_Au,Au,low,5.0,3.822759916363057,1.2569832402234635,-17.08641245064331
