segment_id,material,x_nm,phi_RP_V,sigma_C_per_m2
Au,Au,0.0,-0.1932995365703698,-0.06954999741104101
Au,Au,0.005,-0.193298733017468,-0.06955039918749191
Au,Au,0.01,-0.19329690625755197,-0.06955131256744992
Au,Au,0.015,-0.19329519530103662,-0.0695521680457076
Au,Au,0.02,-0.19329409906052916,-0.06955271616596133
Au,Au,0.025,-0.19329295270343938,-0.06955328934450622
Au,Au,0.03,-0.19329062509762138,-0.06955445314741522
Au,Au,0.035,-0.19328670566303383,-0.069556412864709
Au,Au,0.04,-0.19328193529257012,-0.06955879804994085
Au,Au,0.045,-0.19327742898969846,-0.06956105120137668
Au,Au,0.05,-0.19327350567992843,-0.0695630128562617
Au,Au,0.055,-0.19326935309027854,-0.06956508915108664
Au,Au,0.06,-0.19326387965129188,-0.06956782587057997
Au,Au,0.065,-0.19325685982148738,-0.06957133578548222
Au,Au,0.07,-0.1932491709676955,-0.06957518021237816
Au,Au,0.075,-0.19324187280111718,-0.06957882929566732
Au,Au,0.08,-0.19323509496179866,-0.06958221821532658
Au,Au,0.085,-0.193227900168315,-0.0695858156120684
Au,Au,0.09,-0.19321926710120635,-0.06959013214562274
Au,Au,0.095,-0.193209162071261,-0.06959518466059542
Au,Au,0.1,-0.19319857471199275,-0.06960047834022953
Au,Au,0.105,-0.19318847954449636,-0.06960552592397773
Au,Au,0.11,-0.1931788126383004,-0.06961035937707571
Au,Au,0.115,-0.1931685375338123,-0.06961549692931976
Au,Au,0.12,-0.19315673207721035,-0.06962139965762074
Au,Au,0.125,-0.19314355615269904,-0.06962798761987639
Au,Au,0.13,-0.1931300843627854,-0.06963472351483321
Au,Au,0.135,-0.19311717828533903,-0.0696411765535564
Au,Au,0.14,-0.19310458127485036,-0.06964747505880073
Au,Au,0.145,-0.1930911862860481,-0.06965417255320186
Au,Au,0.15,-0.19307619673895646,-0.06966166732674768
Au,Au,0.155,-0.19305996265260214,-0.06966978436992484
Au,Au,0.16,-0.19304361388251892,-0.06967795875496645
Au,Au,0.165,-0.1930278741651489,-0.06968582861365145
Au,Au,0.17,-0.19301230014251727,-0.06969361562496727
Au,Au,0.175,-0.19299574483372803,-0.0697018932793619
Au,Au,0.18,-0.19297756045273076,-0.06971098546986053
Au,Au,0.185,-0.19295827860928966,-0.06972062639158108
Au,Au,0.19,-0.19293905301107478,-0.06973023919068852
Au,Au,0.195,-0.19292044815712198,-0.06973954161766492
Au,Au,0.2,-0.19290184501165666,-0.06974884319039758
Au,Au,0.205,-0.19288208860757206,-0.06975872139243988
Au,Au,0.21,-0.1928606993744216,-0.06976941600901511
Au,Au,0.215,-0.19283837703845952,-0.06978057717699615
Au,Au,0.22,-0.1928162668526177,-0.06979163226991705
Au,Au,0.225,-0.19279475675446558,-0.06980238731899312
Au,Au,0.23,-0.19277306786214843,-0.0698132317651517
Au,Au,0.235,-0.19275006967559283,-0.0698247308584295
Au,Au,0.24,-0.19272546593738243,-0.06983703272753469
Au,Au,0.245,-0.19270010637954105,-0.06984971250645539
Au,Au,0.25,-0.19267509539519082,-0.0698622179986305
Au,Au,0.255,-0.19265063158709891,-0.06987444990267645
Au,Au,0.26,-0.1926257965050096,-0.0698868674437211
Au,Au,0.265,-0.1925995162572203,-0.06990000756761576
Au,Au,0.27,-0.1925716882435937,-0.06991392157442906
Au,Au,0.275,-0.1925432898615689,-0.06992812076544146
Au,Au,0.28,-0.19251535296035435,-0.06994208921604873
Au,Au,0.285,-0.1924878789616081,-0.06995582621542186
Au,Au,0.29,-0.19245983410953757,-0.06996984864145712
Au,Au,0.295,-0.19243023213206487,-0.06998464963019348
Au,Au,0.3,-0.192399169356069,-0.07000018101819142
Au,Au,0.305,-0.19236772478686226,-0.07001590330279478
Au,Au,0.31,-0.1923368275791812,-0.07003135190663531
Au,Au,0.315,-0.1923062793184139,-0.07004662603701896
Au,Au,0.32,-0.19227495862953087,-0.07006228638146048
Au,Au,0.325,-0.19224199593871147,-0.07007876772687018
Au,Au,0.33,-0.19220768648996406,-0.07009592245124388
Au,Au,0.335,-0.1921731817299736,-0.0701131748312391
Au,Au,0.34,-0.19213928028987307,-0.07013012555128938
Au,Au,0.345,-0.19210558659916324,-0.07014697239664429
Au,Au,0.35,-0.19207092212149654,-0.07016430463547764
Au,Au,0.355,-0.19203456035846916,-0.07018248551699133
Au,Au,0.36,-0.19199699009922855,-0.07020127064661164
Au,Au,0.365,-0.19195940364841513,-0.07022006387201835
Au,Au,0.37,-0.1919224443511325,-0.07023854352065965
Au,Au,0.375,-0.1918855275163683,-0.07025700193804175
Au,Au,0.38,-0.19184744994708136,-0.07027604072268523
Au,Au,0.385,-0.19180765117849563,-0.0702959401069781
Au,Au,0.39,-0.19176680285494307,-0.07031636426875437
Au,Au,0.395,-0.19172610490063904,-0.07033671324590639
Au,Au,0.4,-0.19168602436422033,-0.07035675351411574
Au,Au,0.405,-0.19164580071629486,-0.07037686533807848
Au,Au,0.41,-0.19160423985125427,-0.07039764577059877
Au,Au,0.415,-0.1915609662281044,-0.07041928258217371
Au,Au,0.42,-0.19151681851065974,-0.07044135644089604
Au,Au,0.425,-0.19147297016555911,-0.07046328061344635
Au,Au,0.43,-0.19142969529532097,-0.07048491804856542
Au,Au,0.435,-0.1913860758250031,-0.07050672778372435
Au,Au,0.44,-0.19134096090699113,-0.07052928524273035
Au,Au,0.445,-0.1912941741813598,-0.07055267860554601
Au,Au,0.45,-0.19124670064906962,-0.0705764153716911
Au,Au,0.455,-0.19119965325658098,-0.07059993906793542
Au,Au,0.46,-0.1911531013884329,-0.07062321500200947
Au,Au,0.465,-0.1911059923662831,-0.07064676951308436
Au,Au,0.47,-0.1910572523163484,-0.07067113953805171
Au,Au,0.475,-0.19100691321823074,-0.07069630908711054
Au,Au,0.48,-0.19095608130321423,-0.0707217250446188
Au,Au,0.485,-0.1909057758216307,-0.07074687778541056
Au,Au,0.49,-0.19085585495747276,-0.07077183821748953
Au,Au,0.495,-0.1908051585389802,-0.07079718642673581
Au,Au,0.5,-0.19075272205685645,-0.07082340466779768
Au,Au,0.505,-0.19069878953558048,-0.07085037092843567
Au,Au,0.51,-0.1906445594440958,-0.070877485974178
Au,Au,0.515,-0.19059092591901244,-0.07090430273671969
Au,Au,0.52,-0.19053753504462337,-0.07093099817391423
Au,Au,0.525,-0.19048314983983924,-0.07095819077630629
Au,Au,0.53,-0.1904269453610589,-0.07098629301569646
Au,Au,0.535,-0.19036937569810955,-0.07101507784717113
Au,Au,0.54,-0.19031169932502046,-0.07104391603371568
Au,Au,0.545,-0.19025465645706635,-0.07107243746769273
Au,Au,0.55,-0.19019768593013464,-0.07110092273115859
Au,Au,0.555,-0.19013950751650838,-0.07113001193797172
Au,Au,0.56,-0.1900794630157774,-0.0711600341883372
Au,Au,0.565,-0.1900182088179519,-0.07119066128724996
Au,Au,0.57,-0.18995702867120232,-0.07122125136062475
Au,Au,0.575,-0.18989648348351493,-0.07125152395446845
Au,Au,0.58,-0.1898358154767926,-0.07128185795782961
Au,Au,0.585,-0.18977373683367543,-0.0713128972793882
Au,Au,0.59,-0.1897097794661984,-0.0713448759631267
Au,Au,0.595,-0.1896447885500014,-0.07137737142122522
Au,Au,0.6,-0.18958003670107904,-0.07140974734568639
Au,Au,0.605,-0.18951588430804767,-0.07144182354220208
Au,Au,0.61,-0.18945139329006697,-0.07147406905119243
Au,Au,0.615,-0.18938530513344967,-0.07150711312950107
Au,Au,0.62,-0.18931736070818336,-0.07154108534213423
Au,Au,0.625,-0.18924857488805116,-0.07157547825220033
Au,Au,0.63,-0.18918017196338896,-0.07160967971453143
Au,Au,0.635,-0.18911229543906427,-0.07164361797669377
Au,Au,0.64,-0.18904384867248247,-0.07167784135998467
Au,Au,0.645,-0.1889736396689889,-0.07171294586173146
Au,Au,0.65,-0.18890163195017834,-0.07174894972113674
Au,Au,0.655,-0.18882898574453325,-0.07178527282395929
Au,Au,0.66,-0.18875683997127782,-0.071821345710587
Au,Au,0.665,-0.1886851103125233,-0.07185721053996426
Au,Au,0.67,-0.1886125683480221,-0.07189348152221486
Au,Au,0.675,-0.18853812518795648,-0.07193070310224767
Au,Au,0.68,-0.18846197502372392,-0.07196877818436395
Au,Au,0.685,-0.1883853942938789,-0.07200706854928646
Au,Au,0.69,-0.18830940061149626,-0.07204506539047778
Au,Au,0.695,-0.18823367678750094,-0.07208292730247544
Au,Au,0.7,-0.18815689392925014,-0.07212131873160084
Au,Au,0.705,-0.18807810123959287,-0.07216071507642947
Au,Au,0.71,-0.1879977255187436,-0.0722009029368541
Au,Au,0.715,-0.18791712605628194,-0.07224120266808494
Au,Au,0.72,-0.1878371653030391,-0.07228118304470636
Au,Au,0.725,-0.18775729437923977,-0.07232111850660602
Au,Au,0.73,-0.1876761190963277,-0.07236170614806206
Au,Au,0.735,-0.1875928591759419,-0.07240333610825496
Au,Au,0.74,-0.187508169616426,-0.07244568088801291
Au,Au,0.745,-0.18742345569481045,-0.07248803784882069
Au,Au,0.75,-0.18733939387528772,-0.07253006875858205
Au,Au,0.755,-0.18725521119613317,-0.07257216009815932
Au,Au,0.76,-0.18716948645303713,-0.07261502246970734
Au,Au,0.765,-0.18708163881397244,-0.07265894628923969
Au,Au,0.77,-0.18699254058854042,-0.0727034954019557
Au,Au,0.775,-0.18690360349428806,-0.07274796394908188
Au,Au,0.78,-0.1868152911307522,-0.0727921201308498
Au,Au,0.785,-0.1867266205421111,-0.07283645542517037
Au,Au,0.79,-0.1866361840202753,-0.07288167368608826
Au,Au,0.795,-0.18654362472083005,-0.07292795333581088
Au,Au,0.8,-0.18645001492724483,-0.07297475823260349
Au,Au,0.805,-0.1863567314850195,-0.07302139995371616
Au,Au,0.81,-0.18626400305173332,-0.07306776417035925
Au,Au,0.815,-0.18617065714014727,-0.07311443712615227
Au,Au,0.82,-0.18607534132203626,-0.07316209503520778
Au,Au,0.825,-0.18597794207915772,-0.07321079465664705
Au,Au,0.83,-0.18587970806377477,-0.07325991166433853
Au,Au,0.835,-0.18578193916812158,-0.07330879611216512
Au,Au,0.84,-0.18568461260351415,-0.07335745939446883
Au,Au,0.845,-0.18558639292596876,-0.07340656923324153
Au,Au,0.85,-0.1854860250125501,-0.07345675318995086
Au,Au,0.855,-0.18538365208306465,-0.07350793965469359
Au,Au,0.86,-0.18528066962758857,-0.07355943088243162
Au,Au,0.865,-0.1851782587917525,-0.07361063630034965
