L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
15.0,0.9,Au,0.0,-201.45552795800828,-5.367664434827484
15.0,0.9,Au,0.005,-201.45552857581234,-5.3676644039372805
15.0,0.9,Au,0.01,-201.4552316239809,-5.367679251528854
15.0,0.9,Au,0.015,-201.45493561729324,-5.367694051863235
15.0,0.9,Au,0.02,-201.4543425795326,-5.367723703751268
15.0,0.9,Au,0.025,-201.45374961647846,-5.367753351903974
15.0,0.9,Au,0.03,-201.45286069754675,-5.36779779785056
15.0,0.9,Au,0.035,-201.45197040578032,-5.367842312438882
15.0,0.9,Au,0.04,-201.45078576611428,-5.367901544422184
15.0,0.9,Au,0.045,-201.44959773373793,-5.367960946041
15.0,0.9,Au,0.05,-201.44811748846033,-5.3680349583048805
15.0,0.9,Au,0.055,-201.44663126491892,-5.368109269481952
15.0,0.9,Au,0.06,-201.4448554828391,-5.368198058585942
15.0,0.9,Au,0.065,-201.44307057978907,-5.368287303738445
15.0,0.9,Au,0.07,-201.4409992824023,-5.368390868607784
15.0,0.9,Au,0.075,-201.4389151745517,-5.368495074000313
15.0,0.9,Au,0.08,-201.43654833503732,-5.368613415976031
15.0,0.9,Au,0.085,-201.43416446095003,-5.3687326096803965
15.0,0.9,Au,0.09,-201.43150200317353,-5.368865732569221
15.0,0.9,Au,0.095,-201.428817766043,-5.368999944425747
15.0,0.9,Au,0.1,-201.42585956356166,-5.369147854549815
15.0,0.9,Au,0.105,-201.42287433194065,-5.369297116130865
15.0,0.9,Au,0.11,-201.41962020701732,-5.369459822377031
15.0,0.9,Au,0.115,-201.41633331551506,-5.3696241669521445
15.0,0.9,Au,0.12,-201.41278303814133,-5.369801680820831
15.0,0.9,Au,0.125,-201.40919378806797,-5.3699811433245
15.0,0.9,Au,0.13,-201.4053470750045,-5.370173478977673
15.0,0.9,Au,0.135,-201.40145473497407,-5.370368095979194
15.0,0.9,Au,0.14,-201.39731124879995,-5.3705752702879
15.0,0.9,Au,0.145,-201.39311505528553,-5.37078507996362
15.0,0.9,Au,0.15,-201.3886744034697,-5.371007112554412
15.0,0.9,Au,0.155,-201.38417356130168,-5.371232154662814
15.0,0.9,Au,0.16,-201.37943529529312,-5.3714690679632415
15.0,0.9,Au,0.165,-201.3746289781104,-5.3717093838223775
15.0,0.9,Au,0.17,-201.36959259244765,-5.371961203105516
15.0,0.9,Au,0.175,-201.36447994308682,-5.372216835573557
15.0,0.9,Au,0.18,-201.35914487453522,-5.372483589001137
15.0,0.9,Au,0.185,-201.35372500536357,-5.372754582459718
15.0,0.9,Au,0.19,-201.34809063207393,-5.373036301124201
15.0,0.9,Au,0.195,-201.34236262526318,-5.373322701464739
15.0,0.9,Au,0.2,-201.33642826596,-5.3736194194298985
15.0,0.9,Au,0.205,-201.330391173693,-5.373921274043248
15.0,0.9,Au,0.21,-201.324156086892,-5.374233028383298
15.0,0.9,Au,0.215,-201.31780893150855,-5.37455038615247
15.0,0.9,Au,0.22,-201.31127231476248,-5.374877216989773
15.0,0.9,Au,0.225,-201.30461408883588,-5.375210128286104
15.0,0.9,Au,0.23,-201.29777507801205,-5.375552078827295
15.0,0.9,Au,0.235,-201.2908047443609,-5.375900595509851
15.0,0.9,Au,0.24,-201.28366241295214,-5.376257712080291
15.0,0.9,Au,0.245,-201.27637890457655,-5.37662188749907
15.0,0.9,Au,0.25,-201.26893226304534,-5.37699421957563
15.0,0.9,Au,0.255,-201.26133448299615,-5.377374108578089
15.0,0.9,Au,0.26,-201.25358247815328,-5.377761708820233
15.0,0.9,Au,0.265,-201.24566929932845,-5.3781573677614745
15.0,0.9,Au,0.27,-201.23761081374408,-5.378560292040693
15.0,0.9,Au,0.275,-201.22938107860787,-5.378971778797503
15.0,0.9,Au,0.28,-201.22101493006159,-5.379390086224818
15.0,0.9,Au,0.285,-201.21246745029177,-5.379817460213308
15.0,0.9,Au,0.29,-201.20379239125583,-5.380251213165106
15.0,0.9,Au,0.295,-201.1949259473143,-5.380694535362183
15.0,0.9,Au,0.3,-201.18594066447173,-5.3811437995043105
15.0,0.9,Au,0.305,-201.17675400509606,-5.381603132473095
15.0,0.9,Au,0.31,-201.16745711889803,-5.382067976782996
15.0,0.9,Au,0.315,-201.15794896051892,-5.382543384701951
15.0,0.9,Au,0.32,-201.14833902477247,-5.383023881489274
15.0,0.9,Au,0.325,-201.1385080508526,-5.383515430185268
15.0,0.9,Au,0.33,-201.12858355234738,-5.384011655110528
15.0,0.9,Au,0.335,-201.1184284126371,-5.384519412096044
15.0,0.9,Au,0.34,-201.10818777080397,-5.385031444187699
15.0,0.9,Au,0.345,-201.09770708052778,-5.385555478701508
15.0,0.9,Au,0.35,-201.08714864713005,-5.386083400371396
15.0,0.9,Au,0.355,-201.07634098608622,-5.386623783423586
