L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
3.0,0.1,Au,0.0,-189.5572506709735,-7.922069312324287
3.0,0.1,Au,0.005,-189.5567359362103,-7.922095049062448
3.0,0.1,Au,0.01,-189.55563318097737,-7.922150186824093
3.0,0.1,Au,0.015,-189.5538849294634,-7.922237599399792
3.0,0.1,Au,0.02,-189.5511142636029,-7.922376132692817
3.0,0.1,Au,0.025,-189.54780474678304,-7.922541608533811
3.0,0.1,Au,0.03,-189.5437866720255,-7.922742512271687
3.0,0.1,Au,0.035,-189.53876702546967,-7.922993494599479
3.0,0.1,Au,0.04,-189.53324703101984,-7.92326949432197
3.0,0.1,Au,0.045,-189.52695279465382,-7.923584206140272
3.0,0.1,Au,0.05,-189.51969066089399,-7.923947312828263
3.0,0.1,Au,0.055,-189.51195411827214,-7.924334139959354
3.0,0.1,Au,0.06,-189.50337810657015,-7.924762940544455
3.0,0.1,Au,0.065,-189.49387915552467,-7.92523788809673
3.0,0.1,Au,0.07,-189.48391781870686,-7.92573595493762
3.0,0.1,Au,0.075,-189.4730553046508,-7.926279080640422
3.0,0.1,Au,0.08,-189.46132401668123,-7.926865645038901
3.0,0.1,Au,0.085,-189.44912770443733,-7.927475460651095
3.0,0.1,Au,0.09,-189.4359749387772,-7.928133098934103
3.0,0.1,Au,0.095,-189.4220142545671,-7.928831133144608
3.0,0.1,Au,0.1,-189.40757114213008,-7.929553288766458
3.0,0.1,Au,0.105,-189.39212536919857,-7.930325577413035
3.0,0.1,Au,0.11,-189.37593637007328,-7.931135027369299
3.0,0.1,Au,0.115,-189.35923332018643,-7.931970179863641
3.0,0.1,Au,0.12,-189.341492717243,-7.932857210010813
3.0,0.1,Au,0.125,-189.3230743493071,-7.933778128407607
3.0,0.1,Au,0.13,-189.30409726894814,-7.9347269824255555
3.0,0.1,Au,0.135,-189.28406081089682,-7.935728805328121
3.0,0.1,Au,0.14,-189.26340966464565,-7.936761362640681
3.0,0.1,Au,0.145,-189.24214387258002,-7.937824652243962
3.0,0.1,Au,0.15,-189.2198111269045,-7.9389412895277385
3.0,0.1,Au,0.155,-189.19692128175953,-7.940085781784986
3.0,0.1,Au,0.16,-189.17335187150186,-7.941264252297869
3.0,0.1,Au,0.165,-189.14872273109987,-7.942495709317969
3.0,0.1,Au,0.17,-189.1235856717417,-7.943752562285877
3.0,0.1,Au,0.175,-189.09769785454048,-7.945046953145939
3.0,0.1,Au,0.18,-189.0707722186864,-7.946393234938644
3.0,0.1,Au,0.185,-189.04337682717338,-7.947763004514294
3.0,0.1,Au,0.19,-189.01515624027908,-7.949174033859007
3.0,0.1,Au,0.195,-188.98593365610182,-7.95063516306787
3.0,0.1,Au,0.2,-188.95626628071778,-7.952118531837073
3.0,0.1,Au,0.205,-188.9256992474214,-7.953646883501893
3.0,0.1,Au,0.21,-188.89417852597904,-7.955222919574011
3.0,0.1,Au,0.215,-188.86222312462755,-7.956820689641584
3.0,0.1,Au,0.22,-188.8292968543287,-7.958467003156527
3.0,0.1,Au,0.225,-188.79547567651315,-7.960158062047305
3.0,0.1,Au,0.23,-188.76121402941519,-7.9618711444022034
3.0,0.1,Au,0.235,-188.7259167482319,-7.963636008461368
3.0,0.1,Au,0.24,-188.68979127629248,-7.965442282058338
3.0,0.1,Au,0.245,-188.65320325985516,-7.967271682880204
3.0,0.1,Au,0.25,-188.61552426493847,-7.969155632626039
3.0,0.1,Au,0.255,-188.5770887753601,-7.971077407104958
3.0,0.1,Au,0.26,-188.53815268649035,-7.973024211548445
3.0,0.1,Au,0.265,-188.49808232014195,-7.9750277298658645
3.0,0.1,Au,0.27,-188.45732887294426,-7.97706540222575
3.0,0.1,Au,0.275,-188.4160217908623,-7.979130756329848
3.0,0.1,Au,0.28,-188.37355133370102,-7.981254279187912
3.0,0.1,Au,0.285,-188.330469491935,-7.983408371276212
3.0,0.1,Au,0.29,-188.2867676628195,-7.985593462731988
3.0,0.1,Au,0.295,-188.24188914843336,-7.987837388451295
3.0,0.1,Au,0.3,-188.19646575983415,-7.990108557881255
3.0,0.1,Au,0.305,-188.1503449884545,-7.992414596450239
3.0,0.1,Au,0.31,-188.1030509451274,-7.994779298616593
3.0,0.1,Au,0.315,-188.05526999553874,-7.997168346096026
3.0,0.1,Au,0.32,-188.00670602744893,-7.999596544500516
3.0,0.1,Au,0.325,-187.95698915552381,-8.002082388096772
3.0,0.1,Au,0.33,-187.9068317009817,-8.004590260823877
3.0,0.1,Au,0.335,-187.85580057891417,-8.007141816927255
3.0,0.1,Au,0.34,-187.80365337503545,-8.00974917712119
3.0,0.1,Au,0.345,-187.7510975563418,-8.012376968055873
3.0,0.1,Au,0.35,-187.69757593513322,-8.0150530491163
3.0,0.1,Au,0.355,-187.64299027689398,-8.017782332028263
3.0,0.1,Au,0.36,-187.58801141726377,-8.020531275009773
3.0,0.1,Au,0.365,-187.53197682296545,-8.023333004724691
3.0,0.1,Au,0.37,-187.47494352927677,-8.026184669409124
3.0,0.1,Au,0.375,-187.41751431231447,-8.029056130257239
3.0,0.1,Au,0.38,-187.35894533303338,-8.031984579221293
3.0,0.1,Au,0.385,-187.29945371675936,-8.034959160034996
3.0,0.1,Au,0.39,-187.23954443874456,-8.037954623935734
3.0,0.1,Au,0.395,-187.17842083717565,-8.04101080401418
3.0,0.1,Au,0.4,-187.11645826717697,-8.044108932514114
3.0,0.1,Au,0.405,-187.05403715453556,-8.047229988146185
3.0,0.1,Au,0.41,-186.99033989498906,-8.05041485112351
3.0,0.1,Au,0.415,-186.92589138466693,-8.053637276639616
3.0,0.1,Au,0.42,-186.86092496469098,-8.056885597638413
3.0,0.1,Au,0.425,-186.79463615059055,-8.060200038343435
3.0,0.1,Au,0.43,-186.72768398930907,-8.06354764640751
3.0,0.1,Au,0.435,-186.66013749979007,-8.06692497088346
3.0,0.1,Au,0.44,-186.59124022100613,-8.070369834822657
3.0,0.1,Au,0.445,-186.52176366339972,-8.073843662702975
3.0,0.1,Au,0.45,-186.45160148494548,-8.077351771625688
3.0,0.1,Au,0.455,-186.38007957780607,-8.080927866982659
3.0,0.1,Au,0.46,-186.30805460401197,-8.084529115672364
3.0,0.1,Au,0.465,-186.2352406974954,-8.088169810998192
3.0,0.1,Au,0.47,-186.16107842375357,-8.091877924685283
3.0,0.1,Au,0.475,-186.08647758109115,-8.095607966818404
3.0,0.1,Au,0.48,-186.01097591202287,-8.099383050271818
3.0,0.1,Au,0.485,-185.93415756632234,-8.103223967556845
3.0,0.1,Au,0.49,-185.85694989996549,-8.107084350874688
3.0,0.1,Au,0.495,-185.7787248315908,-8.110995604293421
3.0,0.1,Au,0.5,-185.6992342899463,-8.114970131375648
3.0,0.1,Au,0.505,-185.6193853668046,-8.118962577532733
3.0,0.1,Au,0.51,-185.53840200443491,-8.123011745651217
3.0,0.1,Au,0.515,-185.45622222878538,-8.127120734433694
3.0,0.1,Au,0.52,-185.3736942552408,-8.131247133110922
3.0,0.1,Au,0.525,-185.28991872573147,-8.13543590958639
3.0,0.1,Au,0.53,-185.20503124166467,-8.139680283789728
3.0,0.1,Au,0.535,-185.1197832721365,-8.143942682266138
3.0,0.1,Au,0.54,-185.03318292443927,-8.148272699650999
3.0,0.1,Au,0.545,-184.9455672906064,-8.152653481342643
