L_support_nm,pzc_support_V,material,x_nm,phi_RP_mV,sigma_uC_per_cm2
6.0,0.1,Au,0.0,-186.7252526911117,-8.424527140959832
6.0,0.1,Au,0.005,-186.72542211863163,-8.424518669583836
6.0,0.1,Au,0.01,-186.72361490992105,-8.424609030019365
6.0,0.1,Au,0.015,-186.7221100129011,-8.424684274870362
6.0,0.1,Au,0.02,-186.71870075654323,-8.424854737688255
6.0,0.1,Au,0.025,-186.7154864641897,-8.425015452305933
6.0,0.1,Au,0.03,-186.71050783718565,-8.425264383656135
6.0,0.1,Au,0.035,-186.7055527269607,-8.425512139167383
6.0,0.1,Au,0.04,-186.69903227871595,-8.42583816157962
6.0,0.1,Au,0.045,-186.69231050971678,-8.426174250029579
6.0,0.1,Au,0.05,-186.68426889582216,-8.42657633072431
6.0,0.1,Au,0.055,-186.67576177922786,-8.427001686554025
6.0,0.1,Au,0.06,-186.66621141026243,-8.427479205002296
6.0,0.1,Au,0.065,-186.65590851878196,-8.42799434957632
6.0,0.1,Au,0.07,-186.6448527085485,-8.428547140087991
6.0,0.1,Au,0.075,-186.63275245545523,-8.429152152742656
6.0,0.1,Au,0.08,-186.62018512198574,-8.42978051941613
6.0,0.1,Au,0.085,-186.6062947732944,-8.430475036850698
6.0,0.1,Au,0.09,-186.5922007115972,-8.431179739935557
6.0,0.1,Au,0.095,-186.57653583019882,-8.431962984005477
6.0,0.1,Au,0.1,-186.56089154011883,-8.432745198509476
6.0,0.1,Au,0.105,-186.54347489604407,-8.433616030713214
6.0,0.1,Au,0.11,-186.52624991404835,-8.434477279813
6.0,0.1,Au,0.115,-186.50710992829036,-8.4354342791009
6.0,0.1,Au,0.12,-186.48826858054952,-8.436376346487942
6.0,0.1,Au,0.125,-186.4674373989716,-8.437417905566837
6.0,0.1,Au,0.13,-186.44694086680445,-8.438442732175194
6.0,0.1,Au,0.135,-186.42445218379066,-8.439567166325885
6.0,0.1,Au,0.14,-186.402260752955,-8.440676737867667
6.0,0.1,Au,0.145,-186.37814752017468,-8.441882399506683
6.0,0.1,Au,0.15,-186.35422287387544,-8.443078631821646
6.0,0.1,Au,0.155,-186.3285150368578,-8.444364023672527
6.0,0.1,Au,0.16,-186.3028224494298,-8.445648653043927
6.0,0.1,Au,0.165,-186.27554485310554,-8.44701253286014
6.0,0.1,Au,0.17,-186.24805514730534,-8.448387018150152
6.0,0.1,Au,0.175,-186.2192257413556,-8.449828488447638
6.0,0.1,Au,0.18,-186.18991688668075,-8.45129393118138
6.0,0.1,Au,0.185,-186.15954534307411,-8.452812508361712
6.0,0.1,Au,0.19,-186.12840359469035,-8.4543695957809
6.0,0.1,Au,0.195,-186.0964904243035,-8.455965254300242
6.0,0.1,Au,0.2,-186.0635109305699,-8.457614228986923
6.0,0.1,Au,0.205,-186.0300471548632,-8.459287417772257
6.0,0.1,Au,0.21,-185.99523399440432,-8.461028075795202
6.0,0.1,Au,0.215,-185.96020139365936,-8.46277970583245
6.0,0.1,Au,0.22,-185.92356703837342,-8.464611423596747
6.0,0.1,Au,0.225,-185.886938962122,-8.466442827409319
6.0,0.1,Au,0.23,-185.84850319825733,-8.468364615602551
6.0,0.1,Au,0.235,-185.81024588849007,-8.470277481090914
6.0,0.1,Au,0.24,-185.7700342617335,-8.472288062428742
6.0,0.1,Au,0.245,-185.7301086074061,-8.474284345145113
6.0,0.1,Au,0.25,-185.68815048773553,-8.476382251128642
6.0,0.1,Au,0.255,-185.64651410203405,-8.478464070413715
6.0,0.1,Au,0.26,-185.6028404879833,-8.480647751116253
6.0,0.1,Au,0.265,-185.5594499794198,-8.482817276544427
6.0,0.1,Au,0.27,-185.5140911779554,-8.485085216617646
6.0,0.1,Au,0.275,-185.4689044739472,-8.487344551818058
6.0,0.1,Au,0.28,-185.42188780024412,-8.489695385503211
6.0,0.1,Au,0.285,-185.37486637817014,-8.49204645660691
6.0,0.1,Au,0.29,-185.3262140187493,-8.494479074577951
6.0,0.1,Au,0.295,-185.27732490481236,-8.496923530274799
6.0,0.1,Au,0.3,-185.2270520777211,-8.499437171629362
6.0,0.1,Au,0.305,-185.17626948799392,-8.501976301115722
6.0,0.1,Au,0.31,-185.1243830156171,-8.504570624734562
6.0,0.1,Au,0.315,-185.07168953554384,-8.507205298738226
6.0,0.1,Au,0.32,-185.0181869202731,-8.509880429501763
6.0,0.1,Au,0.325,-184.96357414730426,-8.512611068150205
6.0,0.1,Au,0.33,-184.90844320925908,-8.515367615052464
6.0,0.1,Au,0.335,-184.8519118164993,-8.518194184690453
6.0,0.1,Au,0.34,-184.7951309176666,-8.521033229632087
6.0,0.1,Au,0.345,-184.73669013232544,-8.523955268899146
6.0,0.1,Au,0.35,-184.6782289750282,-8.526878326764008
6.0,0.1,Au,0.355,-184.61789550188982,-8.529895000420927
6.0,0.1,Au,0.36,-184.55771645366485,-8.532903952832175
6.0,0.1,Au,0.365,-184.49551290847674,-8.53601413009158
6.0,0.1,Au,0.37,-184.43357277245414,-8.53911113689271
6.0,0.1,Au,0.375,-184.36952572090436,-8.5423134894702
6.0,0.1,Au,0.38,-184.30577784270844,-8.545500883379995
6.0,0.1,Au,0.385,-184.23991556559702,-8.548793997235567
6.0,0.1,Au,0.39,-184.17431214638233,-8.5520741681963
6.0,0.1,Au,0.395,-184.1066622691269,-8.555456662059074
6.0,0.1,Au,0.4,-184.0391567409778,-8.558831938466529
6.0,0.1,Au,0.405,-183.9697438746134,-8.562302581784747
6.0,0.1,Au,0.41,-183.90029319003568,-8.565775116013635
6.0,0.1,Au,0.415,-183.82913673076615,-8.56933293897711
6.0,0.1,Au,0.42,-183.75770342270357,-8.57290460438024
6.0,0.1,Au,0.425,-183.68481564781854,-8.57654899312449
6.0,0.1,Au,0.43,-183.61136953028375,-8.580221299001229
6.0,0.1,Au,0.435,-183.53675411040194,-8.583952069995322
6.0,0.1,Au,0.44,-183.46127351158515,-8.58772609993616
6.0,0.1,Au,0.445,-183.3849245337872,-8.591543548826058
6.0,0.1,Au,0.45,-183.3073969821364,-8.5954199264086
6.0,0.1,Au,0.455,-183.2292985471612,-8.599324848157359
6.0,0.1,Au,0.46,-183.14972086460668,-8.603303732285084
6.0,0.1,Au,0.465,-183.0698472858095,-8.607297411224943
6.0,0.1,Au,0.47,-182.98822507901673,-8.61137852156458
6.0,0.1,Au,0.475,-182.90654167342302,-8.615462691844266
6.0,0.1,Au,0.48,-182.8228882513954,-8.619645362945647
6.0,0.1,Au,0.485,-182.73935267623582,-8.623822141703627
6.0,0.1,Au,0.49,-182.65368745848178,-8.628105402591329
6.0,0.1,Au,0.495,-182.568251512344,-8.632377199898217
6.0,0.1,Au,0.5,-182.48059802387868,-8.636759874321482
6.0,0.1,Au,0.505,-182.39320980222422,-8.641129285404206
6.0,0.1,Au,0.51,-182.3035933779394,-8.645610106618449
6.0,0.1,Au,0.515,-182.2141996500357,-8.650079793013632
6.0,0.1,Au,0.52,-182.12264498973943,-8.654657526028446
6.0,0.1,Au,0.525,-182.03119364949808,-8.659230093040513
6.0,0.1,Au,0.53,-181.93772237503038,-8.6639036567639
6.0,0.1,Au,0.535,-181.84416481278174,-8.668581534876331
6.0,0.1,Au,0.54,-181.74879317934207,-8.673350116548315
6.0,0.1,Au,0.545,-181.65308642558773,-8.678135454236031
6.0,0.1,Au,0.55,-181.5558233306917,-8.682998608980833
6.0,0.1,Au,0.555,-181.4579318361754,-8.687893183706647
6.0,0.1,Au,0.56,-181.3587772519865,-8.692850912916091
6.0,0.1,Au,0.565,-181.25867419023166,-8.697856066003833
6.0,0.1,Au,0.57,-181.15761811938123,-8.702908869546357
6.0,0.1,Au,0.575,-181.0552861268685,-8.708025469171993
6.0,0.1,Au,0.58,-180.95230814990472,-8.71317436802018
6.0,0.1,Au,0.585,-180.8477394535416,-8.718402802838337
6.0,0.1,Au,0.59,-180.74280889969938,-8.72364933053045
6.0,0.1,Au,0.595,-180.636004819051,-8.728989534562867
6.0,0.1,Au,0.6,-180.52908155340714,-8.734335697845061
6.0,0.1,Au,0.605,-180.42005140401957,-8.739787205314439
6.0,0.1,Au,0.61,-180.31108718563675,-8.74523541623358
6.0,0.1,Au,0.615,-180.19984664724458,-8.750797443153187
6.0,0.1,Au,0.62,-180.08878697699575,-8.75635042666563
6.0,0.1,Au,0.625,-179.97535602417608,-8.762021974306613
6.0,0.1,Au,0.63,-179.8621423698702,-8.767682657021906
6.0,0.1,Au,0.635,-179.74654289062627,-8.773462630984104
6.0,0.1,Au,0.64,-179.6311151527131,-8.779234017879762
6.0,0.1,Au,0.645,-179.51336840080273,-8.785121355475281
6.0,0.1,Au,0.65,-179.3956674659461,-8.791006402218112
6.0,0.1,Au,0.655,-179.2757915041777,-8.797000200306531
6.0,0.1,Au,0.66,-179.1557617273514,-8.803001689147848
6.0,0.1,Au,0.665,-179.03376902079236,-8.8091013244758
6.0,0.1,Au,0.67,-178.91136047978338,-8.815221751526249
6.0,0.1,Au,0.675,-178.78725578968897,-8.82142698603097
6.0,0.1,Au,0.68,-178.6624261688359,-8.827668467073622
6.0,0.1,Au,0.685,-178.53620488052195,-8.833979531489321
6.0,0.1,Au,0.69,-178.40892086246612,-8.840343732392112
6.0,0.1,Au,0.695,-178.2805678543692,-8.846761382796958
6.0,0.1,Au,0.7,-178.1508059282362,-8.853249479103606
6.0,0.1,Au,0.705,-178.02029505653996,-8.859775022688419
6.0,0.1,Au,0.71,-177.88804168654414,-8.86638769118821
6.0,0.1,Au,0.715,-177.75533592200847,-8.873022979414994
6.0,0.1,Au,0.72,-177.62058705980937,-8.87976042252495
6.0,0.1,Au,0.725,-177.48563927310988,-8.886507811859923
6.0,0.1,Au,0.73,-177.34839923794632,-8.8933698136181
6.0,0.1,Au,0.735,-177.2111535893944,-8.900232096045697
6.0,0.1,Au,0.74,-177.0714333795642,-8.907218106537208
6.0,0.1,Au,0.745,-176.9318272310385,-8.914198413963492
6.0,0.1,Au,0.75,-176.78964236623273,-8.92130765720378
6.0,0.1,Au,0.755,-176.64760859988942,-8.928409345520945
6.0,0.1,Au,0.76,-176.50297662394982,-8.935640944317926
6.0,0.1,Au,0.765,-176.35844622588388,-8.942867464221225
6.0,0.1,Au,0.77,-176.21138402183814,-8.950220574423511
6.0,0.1,Au,0.775,-176.06428877105478,-8.957575336962678
6.0,0.1,Au,0.78,-175.91480985334496,-8.96504928284817
6.0,0.1,Au,0.785,-175.7650849483241,-8.972535528099213
6.0,0.1,Au,0.79,-175.61319690007355,-8.98012993051174
6.0,0.1,Au,0.795,-175.4607833574736,-8.987750607641738
6.0,0.1,Au,0.8,-175.30648557318258,-8.995465496856287
6.0,0.1,Au,0.805,-175.15133224579287,-9.003223163225774
6.0,0.1,Au,0.81,-174.99461412236636,-9.011059069397099
6.0,0.1,Au,0.815,-174.83667920557193,-9.018955815236822
6.0,0.1,Au,0.82,-174.6775188980609,-9.026913830612372
6.0,0.1,Au,0.825,-174.51677082457869,-9.034951234286483
6.0,0.1,Au,0.83,-174.3551346490028,-9.043033043065279
6.0,0.1,Au,0.835,-174.19155230865974,-9.05121216008243
6.0,0.1,Au,0.84,-174.0273948348322,-9.059420033773808
6.0,0.1,Au,0.845,-173.86096709745283,-9.067741420642776
6.0,0.1,Au,0.85,-173.69423193218958,-9.076078178905938
6.0,0.1,Au,0.855,-173.52495649475176,-9.08454195077783
6.0,0.1,Au,0.86,-173.35557771287802,-9.093010889871517
6.0,0.1,Au,0.865,-173.1834593343018,-9.101616808800328
6.0,0.1,Au,0.87,-173.01136347406631,-9.110221601812102
6.0,0.1,Au,0.875,-172.83641169973544,-9.118969190528645
6.0,0.1,Au,0.88,-172.6615202031883,-9.127713765356003
6.0,0.1,Au,0.885,-172.48374671410957,-9.13660243980994
6.0,0.1,Au,0.89,-172.30597866395698,-9.14549084231757
6.0,0.1,Au,0.895,-172.1253944102575,-9.154520055002543
6.0,0.1,Au,0.9,-171.94466939455597,-9.163556305787619
6.0,0.1,Au,0.905,-171.76128168819304,-9.172725691105764
6.0,0.1,Au,0.91,-171.5775226143084,-9.181913644799996
6.0,0.1,Au,0.915,-171.3913323603596,-9.191223157497436
6.0,0.1,Au,0.92,-171.20446804065168,-9.200566373482834
6.0,0.1,Au,0.925,-171.01546727998675,-9.21001641151608
6.0,0.1,Au,0.93,-170.82543462370674,-9.21951804433008
6.0,0.1,Au,0.935,-170.6336045424819,-9.229109548391323
6.0,0.1,Au,0.94,-170.4403502108041,-9.238772264975212
6.0,0.1,Au,0.945,-170.24565974503435,-9.2485067882637
6.0,0.1,Au,0.95,-170.04914115769853,-9.258332717630491
6.0,0.1,Au,0.955,-169.851546285686,-9.268212461231117
6.0,0.1,Au,0.96,-169.65173190656373,-9.278203180187232
6.0,0.1,Au,0.965,-169.4511756803319,-9.288230991498823
6.0,0.1,Au,0.97,-169.24804455304204,-9.298387547863316
6.0,0.1,Au,0.975,-169.04445787458403,-9.308566881786216
6.0,0.1,Au,0.98,-168.83799842542413,-9.318889854244212
6.0,0.1,Au,0.985,-168.63130152732876,-9.32922469914898
6.0,0.1,Au,0.99,-168.42150969843559,-9.339714290593639
6.0,0.1,Au,0.995,-168.2116142440976,-9.350209063310537
6.0,0.1,Au,1.0,-167.99849106208774,-9.360865222411032
6.0,0.1,Au,1.005,-167.78530274104466,-9.371524638463184
6.0,0.1,Au,1.01,-167.5688514627555,-9.382347202377643
6.0,0.1,Au,1.015,-167.35227292418736,-9.393176129306049
6.0,0.1,Au,1.02,-167.13249592922597,-9.40416497905412
6.0,0.1,Au,1.025,-166.91242987342807,-9.415168281844014
6.0,0.1,Au,1.03,-166.68932549119847,-9.426323500955494
6.0,0.1,Au,1.035,-166.46567772643675,-9.43750588919358
6.0,0.1,Au,1.04,-166.23923719191265,-9.448827915919784
6.0,0.1,Au,1.045,-166.01191946339114,-9.460193802345861
