material,condition,curve_source,C_tot_M,C_tot_mol_per_m3,E_mix_V,lambda_D_nm,distance_from_RP_nm,phi_bar_tilde,phi_bar_V,phi_bar_mV
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.0,-8.154076289311629,-0.2093829206639622,-209.38292066396218
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.04751902951590189,-8.027659053897581,-0.2061367393634569,-206.13673936345688
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.09503805903180378,-7.903201736056376,-0.20294088543923583,-202.94088543923584
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.14255708854770566,-7.78067395008246,-0.19979457863765043,-199.79457863765043
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.19007611806360755,-7.6600457813569784,-0.19669705080176372,-196.69705080176374
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.23759514757950945,-7.541287779044255,-0.1936475456838082,-193.6475456838082
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.2851141770954113,-7.424370948901499,-0.19064531876055124,-190.64531876055125
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.33263320661131324,-7.309266746199989,-0.18768963705152303,-187.68963705152302
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.3801522361272151,-7.195947068756004,-0.1847797789400627,-184.7797789400627
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.42767126564311697,-7.084384250069798,-0.1819150339971387,-181.91503399713872
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.4751902951590189,-6.974551052570948,-0.17909470280790082,-179.09470280790083
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.5227093246749208,-6.86642066096842,-0.17631809680092086,-176.31809680092087
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.5702283541908226,-6.759966675703731,-0.17358453808008129,-173.58453808008127
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.6177473837067246,-6.655163106505618,-0.17089335925906965,-170.89335925906965
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.6652664132226265,-6.551984366044627,-0.16824390329843933,-168.24390329843934
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.7127854427385283,-6.450405263686074,-0.16563552334519596,-165.63552334519596
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.7603044722544302,-6.350400999339872,-0.16306758257487158,-163.06758257487158
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.8078235017703321,-6.251947157405689,-0.1605394540360463,-160.5394540360463
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.8553425312862339,-6.155019700811992,-0.1580505204972811,-158.0505204972811
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.9028615608021359,-6.0595949651475,-0.1556001742964235,-155.60017429642352
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.9503805903180378,-5.965649652883626,-0.1531878171922495,-153.1878171922495
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,0.9978996198339396,-5.8731608276864815,-0.15081286021840548,-150.8128602184055
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.0454186493498416,-5.782105908817076,-0.14847472353961488,-148.47472353961487
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.0929376788657434,-5.692462665618331,-0.1461728363101139,-146.1728363101139
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.1404567083816453,-5.604209212087556,-0.14390663653428193,-143.90663653428192
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.1879757378975473,-5.517324001533086,-0.14167557092943286,-141.67557092943287
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.235494767413449,-5.431785821313746,-0.1394790947907337,-139.4790947907337
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.283013796929351,-5.347573787659879,-0.13731667185821694,-137.31667185821695
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.330532826445253,-5.264667340574667,-0.13518777418585542,-135.18777418585543
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.3780518559611548,-5.183046238814499,-0.1330918820126664,-133.0918820126664
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.4255708854770566,-5.1026905549471575,-0.13102848363581426,-131.02848363581427
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.4730899149929586,-5.023580670486627,-0.1289970752856806,-128.9970752856806
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.5206089445088604,-4.945697271103324,-0.12699716100287095,-126.99716100287095
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.5681279740247622,-4.869021341908594,-0.12502825251712865,-125.02825251712865
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.6156470035406643,-4.793534162812303,-0.12308986912812565,-123.08986912812566
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.663166033056566,-4.719217303952417,-0.12118153758810174,-121.18153758810173
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.7106850625724679,-4.646052621195424,-0.11930279198632315,-119.30279198632316
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.75820409208837,-4.574022251706532,-0.1174531736353325,-117.4531736353325
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.8057231216042717,-4.503108609588536,-0.11563223095896241,-115.63223095896241
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6249104327868923,3.0412178890177213,1.8532421511201735,-4.433294381588293,-0.11383951938208497,-113.83951938208497
