condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
w/o EDL reference,,0.4352867570385819,2.5359435354546548e-12,-8.71971266419367e-12,0.0025359435354546547,-0.00871971266419367,0.12679717677273272,-0.4359856332096835
w/o EDL reference,,0.43553701772679876,2.548331339383859e-12,-8.677324891012988e-12,0.0025483313393838587,-0.008677324891012987,0.12741656696919293,-0.4338662445506493
w/o EDL reference,,0.43578727841501563,2.560779656366309e-12,-8.635143170873775e-12,0.002560779656366309,-0.008635143170873775,0.12803898281831544,-0.43175715854368873
w/o EDL reference,,0.43603753910323256,2.5732887820015818e-12,-8.593166502122657e-12,0.002573288782001582,-0.008593166502122657,0.12866443910007908,-0.42965832510613283
w/o EDL reference,,0.43628779979144944,2.5858590133332272e-12,-8.551393887975455e-12,0.002585859013333227,-0.008551393887975456,0.12929295066666135,-0.42756969439877274
w/o EDL reference,,0.43653806047966637,2.5984906488558264e-12,-8.50982433649347e-12,0.0025984906488558264,-0.008509824336493471,0.1299245324427913,-0.4254912168246735
w/o EDL reference,,0.43678832116788324,2.6111839885220532e-12,-8.468456860560008e-12,0.0026111839885220533,-0.008468456860560008,0.13055919942610264,-0.4234228430280004
w/o EDL reference,,0.4370385818561001,2.6239393337498364e-12,-8.427290477856845e-12,0.0026239393337498364,-0.008427290477856845,0.1311969666874918,-0.4213645238928422
w/o EDL reference,,0.437288842544317,2.6367569874294918e-12,-8.386324210840962e-12,0.002636756987429492,-0.008386324210840962,0.13183784937147458,-0.41931621054204804
w/o EDL reference,,0.4375391032325339,2.649637253930923e-12,-8.345557086721311e-12,0.002649637253930923,-0.00834555708672131,0.13248186269654613,-0.4172778543360655
w/o EDL reference,,0.4377893639207508,2.662580439110843e-12,-8.304988137435744e-12,0.002662580439110843,-0.008304988137435744,0.13312902195554213,-0.4152494068717872
w/o EDL reference,,0.43803962460896767,2.6755868503200443e-12,-8.26461639962797e-12,0.002675586850320044,-0.00826461639962797,0.1337793425160022,-0.4132308199813985
w/o EDL reference,,0.4382898852971846,2.6886567964107003e-12,-8.224440914624732e-12,0.0026886567964107,-0.008224440914624733,0.134432839820535,-0.4112220457312366
w/o EDL reference,,0.4385401459854015,2.7017905877436716e-12,-8.184460728413025e-12,0.002701790587743672,-0.008184460728413025,0.13508952938718358,-0.4092230364206512
w/o EDL reference,,0.43879040667361835,2.7149885361959177e-12,-8.14467489161742e-12,0.0027149885361959177,-0.00814467489161742,0.13574942680979588,-0.40723374458087097
w/o EDL reference,,0.4390406673618353,2.728250955167878e-12,-8.10508245947754e-12,0.0027282509551678777,-0.008105082459477539,0.13641254775839387,-0.4052541229738769
w/o EDL reference,,0.43929092805005215,2.741578159590915e-12,-8.065682491825641e-12,0.0027415781595909153,-0.00806568249182564,0.13707890797954575,-0.40328412459128204
w/o EDL reference,,0.43954118873826903,2.7549704659347986e-12,-8.026474053064249e-12,0.002754970465934799,-0.00802647405306425,0.13774852329673992,-0.4013237026532124
w/o EDL reference,,0.43979144942648596,2.768428192215226e-12,-7.987456212143976e-12,0.002768428192215226,-0.007987456212143976,0.13842140961076127,-0.39937281060719876
w/o EDL reference,,0.44004171011470283,2.7819516580013423e-12,-7.948628042541405e-12,0.002781951658001342,-0.007948628042541405,0.1390975829000671,-0.39743140212707023
w/o EDL reference,,0.4402919708029197,2.7955411844233755e-12,-7.909988622237062e-12,0.0027955411844233754,-0.007909988622237062,0.13977705922116876,-0.3954994311118531
w/o EDL reference,,0.44054223149113664,2.809197094180232e-12,-7.87153703369355e-12,0.002809197094180232,-0.007871537033693551,0.1404598547090116,-0.3935768516846775
w/o EDL reference,,0.4407924921793535,2.8229197115471664e-12,-7.833272363833766e-12,0.0028229197115471664,-0.007833272363833766,0.1411459855773583,-0.39166361819168827
w/o EDL reference,,0.4410427528675704,2.836709362383482e-12,-7.795193704019181e-12,0.002836709362383482,-0.007795193704019181,0.14183546811917408,-0.389759685200959
w/o EDL reference,,0.4412930135557873,2.8505663741402774e-12,-7.757300150028308e-12,0.0028505663741402775,-0.007757300150028308,0.14252831870701385,-0.3878650075014154
w/o EDL reference,,0.4415432742440042,2.8644910758681893e-12,-7.719590802035213e-12,0.002864491075868189,-0.0077195908020352135,0.14322455379340945,-0.3859795401017606
w/o EDL reference,,0.44179353493222107,2.878483798225254e-12,-7.682064764588127e-12,0.002878483798225254,-0.007682064764588128,0.14392418991126268,-0.38410323822940634
w/o EDL reference,,0.442043795620438,2.8925448734847284e-12,-7.644721146588205e-12,0.0028925448734847285,-0.007644721146588205,0.1446272436742364,-0.3822360573294102
w/o EDL reference,,0.44229405630865487,2.9066746355429876e-12,-7.607559061268374e-12,0.0029066746355429877,-0.007607559061268374,0.14533373177714937,-0.38037795306341865
w/o EDL reference,,0.44254431699687174,2.9208734199274524e-12,-7.570577626172248e-12,0.0029208734199274522,-0.007570577626172248,0.1460436709963726,-0.37852888130861234
w/o EDL reference,,0.4427945776850887,2.935141563804567e-12,-7.533775963133196e-12,0.002935141563804567,-0.007533775963133196,0.14675707819022832,-0.3766887981566598
w/o EDL reference,,0.44304483837330555,2.9494794059877724e-12,-7.497153198253489e-12,0.0029494794059877726,-0.007497153198253489,0.1474739702993886,-0.3748576599126744
w/o EDL reference,,0.4432950990615224,2.9638872869455994e-12,-7.46070846188352e-12,0.0029638872869455993,-0.00746070846188352,0.14819436434727995,-0.373035423094176
w/o EDL reference,,0.44354535974973935,2.978365548809723e-12,-7.424440888601181e-12,0.0029783655488097227,-0.007424440888601181,0.14891827744048614,-0.371222044430059
w/o EDL reference,,0.44379562043795623,2.992914535383092e-12,-7.388349617191314e-12,0.0029929145353830918,-0.007388349617191314,0.14964572676915458,-0.36941748085956566
w/o EDL reference,,0.4440458811261731,3.007534592148096e-12,-7.35243379062525e-12,0.003007534592148096,-0.00735243379062525,0.15037672960740478,-0.36762168953126245
w/o EDL reference,,0.44429614181439003,3.0222260662747744e-12,-7.316692556040442e-12,0.0030222260662747745,-0.007316692556040442,0.1511113033137387,-0.365834627802022
w/o EDL reference,,0.4445464025026069,3.036989306629032e-12,-7.281125064720252e-12,0.003036989306629032,-0.007281125064720252,0.15184946533145158,-0.3640562532360126
w/o EDL reference,,0.4447966631908238,3.051824663780967e-12,-7.245730472073765e-12,0.0030518246637809667,-0.007245730472073765,0.15259123318904833,-0.36228652360368824
w/o EDL reference,,0.44504692387904066,3.066732490013166e-12,-7.210507937615742e-12,0.0030667324900131663,-0.007210507937615742,0.1533366245006583,-0.36052539688078705
w/o EDL reference,,0.4452971845672576,3.0817131393290797e-12,-7.175456624946651e-12,0.0030817131393290798,-0.007175456624946651,0.15408565696645396,-0.3587728312473325
w/o EDL reference,,0.44554744525547446,3.096766967461423e-12,-7.140575701732858e-12,0.003096766967461423,-0.007140575701732858,0.15483834837307114,-0.3570287850866429
w/o EDL reference,,0.4457977059436914,3.1118943318806362e-12,-7.105864339686779e-12,0.0031118943318806363,-0.007105864339686779,0.1555947165940318,-0.3552932169843389
w/o EDL reference,,0.44604796663190827,3.127095591803337e-12,-7.071321714547284e-12,0.003127095591803337,-0.0070713217145472835,0.15635477959016683,-0.35356608572736414
w/o EDL reference,,0.44629822732012514,3.1423711082009027e-12,-7.036947006060076e-12,0.003142371108200903,-0.007036947006060076,0.15711855541004513,-0.3518473503030038
w/o EDL reference,,0.446548488008342,3.1577212438080074e-12,-7.0027393979582385e-12,0.0031577212438080073,-0.007002739397958238,0.15788606219040036,-0.3501369698979119
w/o EDL reference,,0.44679874869655894,3.1731463631312426e-12,-6.9686980779428324e-12,0.0031731463631312425,-0.0069686980779428325,0.15865731815656212,-0.3484349038971416
w/o EDL reference,,0.4470490093847758,3.1886468324577775e-12,-6.93482223766366e-12,0.0031886468324577775,-0.00693482223766366,0.15943234162288886,-0.34674111188318296
w/o EDL reference,,0.44729927007299275,3.2042230198640574e-12,-6.901111072699983e-12,0.0032042230198640574,-0.006901111072699983,0.16021115099320285,-0.3450555536349991
w/o EDL reference,,0.4475495307612096,3.219875295224519e-12,-6.8675637825415e-12,0.003219875295224519,-0.0068675637825415,0.16099376476122593,-0.34337818912707496
w/o EDL reference,,0.4477997914494265,3.2356040302204184e-12,-6.834179570569285e-12,0.0032356040302204186,-0.006834179570569285,0.1617802015110209,-0.3417089785284642
w/o EDL reference,,0.4480500521376434,3.251409598348625e-12,-6.800957644036899e-12,0.0032514095983486252,-0.006800957644036899,0.16257047991743123,-0.3400478822018449
w/o EDL reference,,0.4483003128258603,3.2672923749305e-12,-6.7678972140515455e-12,0.0032672923749305,-0.006767897214051546,0.16336461874652497,-0.33839486070257724
w/o EDL reference,,0.4485505735140772,3.283252737120806e-12,-6.7349974955553825e-12,0.003283252737120806,-0.006734997495555383,0.1641626368560403,-0.3367498747777691
w/o EDL reference,,0.44880083420229405,3.2992910639166716e-12,-6.702257707306813e-12,0.0032992910639166716,-0.0067022577073068135,0.16496455319583356,-0.3351128853653406
w/o EDL reference,,0.449051094890511,3.315407736166577e-12,-6.669677071861972e-12,0.003315407736166577,-0.006669677071861972,0.16577038680832884,-0.33348385359309857
w/o EDL reference,,0.44930135557872786,3.3316031365794007e-12,-6.637254815556278e-12,0.003331603136579401,-0.0066372548155562774,0.16658015682897,-0.33186274077781386
w/o EDL reference,,0.44955161626694473,3.3478776497335226e-12,-6.604990168486027e-12,0.0033478776497335226,-0.006604990168486027,0.1673938824866761,-0.33024950842430134
w/o EDL reference,,0.44980187695516166,3.3642316620859422e-12,-6.572882364490123e-12,0.003364231662085942,-0.006572882364490123,0.1682115831042971,-0.3286441182245061
w/o EDL reference,,0.45005213764337854,3.3806655619814578e-12,-6.540930641131922e-12,0.0033806655619814576,-0.006540930641131922,0.16903327809907287,-0.32704653205659606
w/o EDL reference,,0.4503023983315954,3.3971797396618924e-12,-6.509134239681057e-12,0.0033971797396618922,-0.006509134239681058,0.1698589869830946,-0.32545671198405285
w/o EDL reference,,0.45055265901981234,3.413774587275353e-12,-6.4774924050954704e-12,0.003413774587275353,-0.006477492405095471,0.17068872936376764,-0.3238746202547735
w/o EDL reference,,0.4508029197080292,3.43045049888554e-12,-6.44600438600348e-12,0.0034304504988855403,-0.00644600438600348,0.171522524944277,-0.322300219300174
w/o EDL reference,,0.4510531803962461,3.447207870481126e-12,-6.414669434685923e-12,0.003447207870481126,-0.006414669434685923,0.17236039352405627,-0.3207334717342961
w/o EDL reference,,0.451303441084463,3.464047099985135e-12,-6.383486807058391e-12,0.003464047099985135,-0.0063834868070583905,0.17320235499925674,-0.31917434035291953
w/o EDL reference,,0.4515537017726799,3.4809685872644056e-12,-6.3524557626536154e-12,0.0034809685872644056,-0.0063524557626536155,0.17404842936322026,-0.31762278813268074
w/o EDL reference,,0.45180396246089677,3.4979727341390822e-12,-6.32157556460381e-12,0.0034979727341390822,-0.00632157556460381,0.1748986367069541,-0.3160787782301905
w/o EDL reference,,0.4520542231491137,3.515059944392155e-12,-6.290845479623218e-12,0.003515059944392155,-0.006290845479623218,0.17575299721960774,-0.31454227398116086
w/o EDL reference,,0.4523044838373306,3.532230623779037e-12,-6.260264777990699e-12,0.003532230623779037,-0.0062602647779906985,0.17661153118895184,-0.3130132388995349
w/o EDL reference,,0.45255474452554745,3.5494851800372315e-12,-6.229832733532382e-12,0.0035494851800372314,-0.006229832733532382,0.17747425900186156,-0.31149163667661905
w/o EDL reference,,0.4528050052137644,3.566824022895984e-12,-6.1995486236044225e-12,0.003566824022895984,-0.0061995486236044225,0.17834120114479918,-0.3099774311802211
w/o EDL reference,,0.45305526590198125,3.5842475640860276e-12,-6.1694117290758834e-12,0.0035842475640860275,-0.0061694117290758835,0.17921237820430136,-0.30847058645379416
w/o EDL reference,,0.4533055265901981,3.6017562173493443e-12,-6.139421334311598e-12,0.0036017562173493445,-0.0061394213343115974,0.1800878108674672,-0.30697106671557983
w/o EDL reference,,0.45355578727841506,3.619350398449017e-12,-6.109576727155203e-12,0.003619350398449017,-0.006109576727155203,0.18096751992245083,-0.30547883635776013
w/o EDL reference,,0.45380604796663193,3.637030525179061e-12,-6.079877198912252e-12,0.003637030525179061,-0.006079877198912252,0.18185152625895304,-0.30399385994561257
w/o EDL reference,,0.4540563086548488,3.654797017374389e-12,-6.050322044333345e-12,0.0036547970173743892,-0.006050322044333345,0.18273985086871944,-0.3025161022166672
w/o EDL reference,,0.45430656934306574,3.672650296920756e-12,-6.020910561597394e-12,0.0036726502969207557,-0.006020910561597394,0.1836325148460378,-0.3010455280798697
w/o EDL reference,,0.4545568300312826,3.690590787764785e-12,-5.991642052294997e-12,0.0036905907877647845,-0.005991642052294997,0.1845295393882392,-0.2995821026147498
w/o EDL reference,,0.4548070907194995,3.708618915924019e-12,-5.962515821411791e-12,0.003708618915924019,-0.005962515821411791,0.1854309457962009,-0.2981257910705895
