param,value,mode,E_mix,i_mix,residual,converged,method
L_Pd_len,3.7e-09,MEAN,0.3918918965683993,0.014275722977123068,-8.673617379884035e-18,True,closed_form(D5-6/D5-8)
L_Pd_len,5.141133329180603e-09,MEAN,0.3971459312114528,0.016987609417123333,-7.632783294297951e-17,True,closed_form(D5-6/D5-8)
L_Pd_len,7.143581596868038e-09,MEAN,0.40271295945363433,0.020427202723362962,-3.469446951953614e-17,True,closed_form(D5-6/D5-8)
L_Pd_len,9.925974442534991e-09,MEAN,0.4087189840430738,0.02492074303723691,-1.249000902703301e-16,True,closed_form(D5-6/D5-8)
L_Pd_len,1.379209676516527e-08,MEAN,0.41532494859998115,0.031009562829735986,-8.673617379884035e-17,True,closed_form(D5-6/D5-8)
L_Pd_len,1.9164056313155486e-08,MEAN,0.42265416385459775,0.0395327921285973,-4.85722573273506e-17,True,closed_form(D5-6/D5-8)
L_Pd_len,2.66283699010426e-08,MEAN,0.43076976003245043,0.05174075681838987,1.942890293094024e-16,True,closed_form(D5-6/D5-8)
L_Pd_len,3.7e-08,MEAN,0.43958061881705296,0.06926587877471807,-4.163336342344337e-17,True,closed_form(D5-6/D5-8)
L_Pd_len,5.141133329180603e-08,MEAN,0.44875572006938963,0.09398537197672042,-2.0816681711721685e-16,True,closed_form(D5-6/D5-8)
L_Pd_len,7.143581596868023e-08,MEAN,0.45795839971406815,0.1276357365854117,-2.498001805406602e-16,True,closed_form(D5-6/D5-8)
L_Pd_len,9.92597444253499e-08,MEAN,0.46689387861219245,0.17203275306639662,-2.498001805406602e-16,True,closed_form(D5-6/D5-8)
L_Pd_len,1.379209676516527e-07,MEAN,0.4753914268062129,0.22949354231924582,-9.71445146547012e-16,True,closed_form(D5-6/D5-8)
L_Pd_len,1.9164056313155485e-07,MEAN,0.483614980999461,0.3024215245665182,-1.27675647831893e-15,True,closed_form(D5-6/D5-8)
L_Pd_len,2.66283699010426e-07,MEAN,0.4912749064598246,0.39620387929923373,3.3306690738754696e-16,True,closed_form(D5-6/D5-8)
L_Pd_len,3.7e-07,MEAN,0.49865632387822856,0.51523277957946,4.440892098500626e-16,True,closed_form(D5-6/D5-8)
