param,value,mode,E_mix,i_mix,residual,converged,method
E2_eq,0.534,MEAN,0.36287772884509295,0.005464021238450299,-1.0408340855860843e-17,True,closed_form(D5-6/D5-8)
E2_eq,0.5768571428571428,MEAN,0.373835284555373,0.007853889795144469,1.0408340855860843e-17,True,closed_form(D5-6/D5-8)
E2_eq,0.6197142857142858,MEAN,0.38479284026565297,0.01128904559890931,-1.214306433183765e-17,True,closed_form(D5-6/D5-8)
E2_eq,0.6625714285714286,MEAN,0.395750395975933,0.016226679245364885,-1.0408340855860843e-17,True,closed_form(D5-6/D5-8)
E2_eq,0.7054285714285714,MEAN,0.40670795168621293,0.02332394860353775,-6.591949208711867e-17,True,closed_form(D5-6/D5-8)
E2_eq,0.7482857142857142,MEAN,0.41766550739649294,0.03352544104893589,-4.85722573273506e-17,True,closed_form(D5-6/D5-8)
E2_eq,0.7911428571428571,MEAN,0.4286230631067729,0.04818889016738768,-1.1102230246251565e-16,True,closed_form(D5-6/D5-8)
E2_eq,0.834,MEAN,0.43958061881705296,0.06926587877471807,-4.163336342344337e-17,True,closed_form(D5-6/D5-8)
E2_eq,0.8768571428571428,MEAN,0.45053817452733297,0.09956157831750365,1.5265566588595902e-16,True,closed_form(D5-6/D5-8)
E2_eq,0.9197142857142857,MEAN,0.4614957302376129,0.14310809380347367,-2.498001805406602e-16,True,closed_form(D5-6/D5-8)
E2_eq,0.9625714285714285,MEAN,0.47245328594789293,0.20570110335889788,-1.6653345369377348e-16,True,closed_form(D5-6/D5-8)
E2_eq,1.0054285714285713,MEAN,0.4834108416581729,0.29567121466361734,-8.881784197001252e-16,True,closed_form(D5-6/D5-8)
E2_eq,1.0482857142857143,MEAN,0.49436839736845284,0.42499269937376016,-2.55351295663786e-15,True,closed_form(D5-6/D5-8)
E2_eq,1.0911428571428572,MEAN,0.5053259530787328,0.6108771688393284,-3.3306690738754696e-15,True,closed_form(D5-6/D5-8)
E2_eq,1.134,MEAN,0.5162835087890129,0.8780642960668065,-2.1094237467877974e-15,True,closed_form(D5-6/D5-8)
