L_support_nm,x_nm,material,sigma_C_per_m2,sigma_uC_per_cm2,phi_RP_with_V,phi_RP_no_V,i1_with_A_per_m2,i2_with_A_per_m2,i1_no_A_per_m2,i2_no_A_per_m2,c_R1_over_bulk,c_O2_over_bulk
3.0,0.0,Au,-0.06645386857795059,-6.645386857795059,-0.19475718757212448,0.0,0.07392495214609449,0.0,0.235120708157447,0.0,0.0005082683650178416,1967.4645695584409
3.0,0.005,Au,-0.06645399998318455,-6.645399998318455,-0.19475692476165657,0.0,0.07392533044783899,0.0,0.235120708157447,0.0,0.0005082735670313852,1967.4444332027429
3.0,0.01,Au,-0.06645433448975915,-6.645433448975916,-0.19475625574850736,0.0,0.07392629346555865,0.0,0.235120708157447,0.0,0.0005082868095731962,1967.3931748094956
3.0,0.015,Au,-0.06645488176104392,-6.645488176104392,-0.19475516120593783,0.0,0.07392786904294266,0.0,0.235120708157447,0.0,0.0005083084758491133,1967.3093161185861
3.0,0.02,Au,-0.06645569051553706,-6.645569051553705,-0.19475354369695155,0.0,0.07393019748401039,0.0,0.235120708157447,0.0,0.000508340495843317,1967.1853967507332
3.0,0.025,Au,-0.06645669432748563,-6.645669432748563,-0.1947515360730544,0.0,0.07393308760638909,0.0,0.235120708157447,0.0,0.0005083802413061938,1967.0316010525419
3.0,0.03,Au,-0.0664579216260829,-6.64579216260829,-0.19474908147585987,0.0,0.07393662133324465,0.0,0.235120708157447,0.0,0.0005084288398404134,1966.8435809303853
3.0,0.035,Au,-0.0664594064964434,-6.64594064964434,-0.19474611173513887,0.0,0.07394089690513285,0.0,0.235120708157447,0.0,0.0005084876439044619,1966.6161252639736
3.0,0.04,Au,-0.06646108048200607,-6.646108048200607,-0.19474276376401353,0.0,0.07394571731642717,0.0,0.235120708157447,0.0,0.0005085539454934857,1966.359732062701
3.0,0.045,Au,-0.0664629891216366,-6.64629891216366,-0.19473894648475246,0.0,0.07395121382134301,0.0,0.235120708157447,0.0,0.0005086295515799845,1966.0674392465871
3.0,0.05,Au,-0.06646514904525726,-6.646514904525726,-0.19473462663751115,0.0,0.0739574344672786,0.0,0.235120708157447,0.0,0.0005087151252241341,1965.7367167123473
3.0,0.055,Au,-0.0664674946237551,-6.64674946237551,-0.19472993548051545,0.0,0.07396419039759579,0.0,0.235120708157447,0.0,0.000508808070603812,1965.3776301411285
3.0,0.06,Au,-0.06647008583292513,-6.6470085832925125,-0.1947247530621754,0.0,0.07397165453128403,0.0,0.235120708157447,0.0,0.0005089107690331264,1964.9810160234736
3.0,0.065,Au,-0.0664729199980594,-6.64729199980594,-0.19471908473190686,0.0,0.07397981937672253,0.0,0.235120708157447,0.0,0.0005090231203687196,1964.5473063691743
3.0,0.07,Au,-0.06647593909953817,-6.647593909953817,-0.19471304652894933,0.0,0.07398851799004293,0.0,0.235120708157447,0.0,0.0005091428301934961,1964.0854013793287
3.0,0.075,Au,-0.06647921398808332,-6.647921398808332,-0.19470649675185903,0.0,0.073997954731653,0.0,0.235120708157447,0.0,0.0005092727140149908,1963.5844852480443
3.0,0.08,Au,-0.06648272191352729,-6.648272191352729,-0.19469948090097108,0.0,0.07400806431489376,0.0,0.235120708157447,0.0,0.0005094118769583199,1963.0480662739244
3.0,0.085,Au,-0.06648641692473095,-6.648641692473095,-0.19469209087856376,0.0,0.07401871455916835,0.0,0.235120708157447,0.0,0.000509558502906415,1962.483197309454
3.0,0.09,Au,-0.06649037646665244,-6.649037646665244,-0.19468417179472078,0.0,0.07403012896961406,0.0,0.235120708157447,0.0,0.0005097156728437446,1961.8780690437081
3.0,0.095,Au,-0.06649455807748288,-6.6494558077482875,-0.1946758085730599,0.0,0.07404218546257367,0.0,0.235120708157447,0.0,0.0005098817102105012,1961.239205044552
3.0,0.1,Au,-0.06649893177651346,-6.649893177651347,-0.19466706117499874,0.0,0.0740547978884511,0.0,0.235120708157447,0.0,0.0005100554326082039,1960.5712165174493
3.0,0.105,Au,-0.06650357681003317,-6.650357681003317,-0.19465777110795932,0.0,0.07406819511345444,0.0,0.235120708157447,0.0,0.0005102399971657209,1959.8620366000237
3.0,0.11,Au,-0.06650843250601418,-6.650843250601418,-0.1946480597159973,0.0,0.07408220252307085,0.0,0.235120708157447,0.0,0.0005104330035282472,1959.1209680560173
3.0,0.115,Au,-0.06651348798853711,-6.651348798853711,-0.19463794875095144,0.0,0.07409678907922239,0.0,0.235120708157447,0.0,0.0005106340286708033,1958.349706154586
3.0,0.12,Au,-0.06651881923357505,-6.6518819233575055,-0.19462728626087555,0.0,0.07411217440277945,0.0,0.235120708157447,0.0,0.0005108461049423617,1957.536702981868
3.0,0.125,Au,-0.06652434994714417,-6.652434994714416,-0.19461622483373733,0.0,0.0741281387443253,0.0,0.235120708157447,0.0,0.000511066209132325,1956.693637988264
3.0,0.13,Au,-0.06653009054739306,-6.653009054739306,-0.19460474363323954,0.0,0.07414471255845766,0.0,0.235120708157447,0.0,0.0005112947664228125,1955.818963288694
3.0,0.135,Au,-0.06653610863994082,-6.653610863994082,-0.19459270744814403,0.0,0.07416209150541124,0.0,0.235120708157447,0.0,0.0005115344815877622,1954.9024278795046
3.0,0.14,Au,-0.06654231588110565,-6.654231588110565,-0.19458029296581436,0.0,0.07418002094013391,0.0,0.235120708157447,0.0,0.0005117818487416307,1953.957535732852
3.0,0.145,Au,-0.06654874509120164,-6.654874509120163,-0.1945674345456224,0.0,0.07419859609554165,0.0,0.235120708157447,0.0,0.0005120381877798269,1952.9793360451342
3.0,0.15,Au,-0.06655545063333888,-6.655545063333888,-0.1945540234613479,0.0,0.07421797457992355,0.0,0.235120708157447,0.0,0.0005123056812441863,1951.959614368122
3.0,0.155,Au,-0.06656233651936677,-6.656233651936677,-0.19454025168929212,0.0,0.07423787951093697,0.0,0.235120708157447,0.0,0.0005125805143085647,1950.9130216331578
3.0,0.16,Au,-0.06656945791058434,-6.656945791058434,-0.19452600890685698,0.0,0.07425847082881472,0.0,0.235120708157447,0.0,0.0005128649020673286,1949.8312244980268
3.0,0.165,Au,-0.06657685153422224,-6.657685153422224,-0.19451122165958118,0.0,0.0742798553427651,0.0,0.235120708157447,0.0,0.000513160328183409,1948.708707744433
3.0,0.17,Au,-0.06658441880262811,-6.658441880262811,-0.19449608712276945,0.0,0.07430174846482444,0.0,0.235120708157447,0.0,0.000513462868819625,1947.5604970206548
3.0,0.175,Au,-0.06659223595221109,-6.659223595221109,-0.1944804528236035,0.0,0.0743243713025312,0.0,0.235120708157447,0.0,0.0005137755870466922,1946.3750812845053
3.0,0.18,Au,-0.06660031839403892,-6.660031839403892,-0.19446428793994783,0.0,0.07434776913888966,0.0,0.235120708157447,0.0,0.0005140991183214305,1945.1501945093191
3.0,0.185,Au,-0.06660857039808181,-6.660857039808181,-0.19444778393186204,0.0,0.07437166543962408,0.0,0.235120708157447,0.0,0.0005144296471743591,1943.900405998691
3.0,0.19,Au,-0.06661708682503126,-6.661708682503126,-0.19443075107796315,0.0,0.07439633551464361,0.0,0.235120708157447,0.0,0.0005147709901523103,1942.6114119292547
3.0,0.195,Au,-0.06662585900964557,-6.662585900964557,-0.19441320670873452,0.0,0.07442175501488656,0.0,0.235120708157447,0.0,0.0005151228208352825,1941.2846015606124
3.0,0.2,Au,-0.0666347996962874,-6.66347996962874,-0.19439532533545087,0.0,0.07444767172712569,0.0,0.235120708157447,0.0,0.0005154816571586774,1939.9332374152284
3.0,0.205,Au,-0.06664401880922646,-6.664401880922647,-0.19437688710957274,0.0,0.07447440497564575,0.0,0.235120708157447,0.0,0.0005158519299458041,1938.5407748790649
3.0,0.21,Au,-0.0666534819370359,-6.665348193703589,-0.19435796085395388,0.0,0.07450185579372007,0.0,0.235120708157447,0.0,0.0005162322798723337,1937.1124956527399
3.0,0.215,Au,-0.06666311580806032,-6.666311580806032,-0.19433869311190502,0.0,0.07452981230062548,0.0,0.235120708157447,0.0,0.0005166197805305772,1935.6595269600075
3.0,0.22,Au,-0.06667304086782455,-6.667304086782455,-0.19431884299237656,0.0,0.07455862477844563,0.0,0.235120708157447,0.0,0.0005170192977901225,1934.1637812636106
3.0,0.225,Au,-0.06668319650407334,-6.668319650407334,-0.194298531719879,0.0,0.07458811815029127,0.0,0.235120708157447,0.0,0.0005174284163440471,1932.6344831728038
3.0,0.23,Au,-0.0666935285618041,-6.66935285618041,-0.19427786760441745,0.0,0.07461813584708932,0.0,0.235120708157447,0.0,0.0005178449742382534,1931.0798593169577
3.0,0.235,Au,-0.06670416266084368,-6.670416266084368,-0.1942565994063383,0.0,0.07464904367905727,0.0,0.235120708157447,0.0,0.0005182740597442534,1929.4810944106644
3.0,0.24,Au,-0.06671501282199578,-6.6715012821995785,-0.1942348990840341,0.0,0.07468059268725621,0.0,0.235120708157447,0.0,0.0005187122297992645,1927.8512102693012
3.0,0.245,Au,-0.06672604850173545,-6.6726048501735455,-0.19421282772455475,0.0,0.07471269480530582,0.0,0.235120708157447,0.0,0.0005191582717919544,1926.1948703010096
3.0,0.25,Au,-0.06673739456175212,-6.673739456175213,-0.19419013560452142,0.0,0.07474571418767806,0.0,0.235120708157447,0.0,0.0005196172586766195,1924.4934291575246
3.0,0.255,Au,-0.0667489417955242,-6.674894179552419,-0.19416704113697728,0.0,0.0747793340107171,0.0,0.235120708157447,0.0,0.0005200848003747185,1922.7633633582543
3.0,0.26,Au,-0.06676068688744255,-6.676068688744255,-0.19414355095314056,0.0,0.07481354541139688,0.0,0.235120708157447,0.0,0.0005205607848113564,1921.0052489112973
3.0,0.265,Au,-0.06677274767595742,-6.677274767595742,-0.19411942937611082,0.0,0.0748486926695265,0.0,0.235120708157447,0.0,0.0005210500165929722,1919.2015510118838
3.0,0.27,Au,-0.066784995131494,-6.6784995131494,-0.19409493446503767,0.0,0.07488440080564875,0.0,0.235120708157447,0.0,0.0005215472908239731,1917.3716700169937
3.0,0.275,Au,-0.06679745569520824,-6.679745569520825,-0.19407001333760918,0.0,0.0749207477530546,0.0,0.235120708157447,0.0,0.0005220537047707773,1915.5117392358682
3.0,0.28,Au,-0.06681023386098743,-6.681023386098743,-0.1940444570060508,0.0,0.07495803945467928,0.0,0.235120708157447,0.0,0.0005225735371730762,1913.6062752232328
3.0,0.285,Au,-0.0668231853460178,-6.68231853460178,-0.19401855403599005,0.0,0.07499585591118225,0.0,0.235120708157447,0.0,0.0005231009486297407,1911.6769002608255
3.0,0.29,Au,-0.06683636762148767,-6.683636762148767,-0.19399218948505031,0.0,0.07503436583378122,0.0,0.235120708157447,0.0,0.0005236383049638518,1909.7151421514757
3.0,0.295,Au,-0.06684986574797588,-6.6849865747975885,-0.1939651932320739,0.0,0.0750738189560118,0.0,0.235120708157447,0.0,0.0005241891085089402,1907.7084658330793
3.0,0.3,Au,-0.0668635257702707,-6.68635257702707,-0.19393787318748426,0.0,0.07511376639610674,0.0,0.235120708157447,0.0,0.0005247471082080232,1905.6798681843798
3.0,0.305,Au,-0.06687743608888273,-6.687743608888273,-0.1939100525502602,0.0,0.07515446764830452,0.0,0.235120708157447,0.0,0.0005253159427084782,1903.6163167713828
3.0,0.31,Au,-0.06689165676403373,-6.689165676403373,-0.1938816111999582,0.0,0.07519609979426065,0.0,0.235120708157447,0.0,0.0005258981060364563,1901.5090347761736
3.0,0.315,Au,-0.06690603055508813,-6.690603055508813,-0.1938528636178494,0.0,0.07523820363524236,0.0,0.235120708157447,0.0,0.0005264871932168426,1899.381433933823
3.0,0.32,Au,-0.06692067525489347,-6.692067525489347,-0.19382357421823873,0.0,0.07528112527019341,0.0,0.235120708157447,0.0,0.000527088061811481,1897.2161816058383
3.0,0.325,Au,-0.06693562115507938,-6.693562115507938,-0.1937936824178669,0.0,0.07532495492920539,0.0,0.235120708157447,0.0,0.0005277019956522815,1895.0089411049519
3.0,0.33,Au,-0.06695071467463834,-6.695071467463834,-0.19376349537874898,0.0,0.07536924338755525,0.0,0.235120708157447,0.0,0.0005283227189856726,1892.7825059651063
3.0,0.335,Au,-0.06696610002364972,-6.696610002364972,-0.19373272468072622,0.0,0.07541441495251128,0.0,0.235120708157447,0.0,0.0005289561953105383,1890.5157154136791
3.0,0.34,Au,-0.06698177400870335,-6.698177400870335,-0.19370137671061896,0.0,0.07546046179597307,0.0,0.235120708157447,0.0,0.0005296023370081228,1888.209190407448
3.0,0.345,Au,-0.06699759392951299,-6.699759392951298,-0.1936697368689997,0.0,0.07550696587713711,0.0,0.235120708157447,0.0,0.0005302552950856106,1885.8840435314248
3.0,0.35,Au,-0.06701372606074425,-6.701372606074425,-0.19363747260653716,0.0,0.07555441724213956,0.0,0.235120708157447,0.0,0.0005309219685088089,1883.5159577379745
3.0,0.355,Au,-0.06703013127666298,-6.703013127666297,-0.1936046621746997,0.0,0.07560270244552528,0.0,0.235120708157447,0.0,0.0005316007869755995,1881.1108344839604
3.0,0.36,Au,-0.0670466849496443,-6.70466849496443,-0.19357155482873706,0.0,0.07565145587838064,0.0,0.235120708157447,0.0,0.000532286628063748,1878.6870593342003
3.0,0.365,Au,-0.06706356981120107,-6.7063569811201065,-0.19353778510562353,0.0,0.07570121710818353,0.0,0.235120708157447,0.0,0.000532987102315367,1876.2180091335545
3.0,0.37,Au,-0.06708070979664689,-6.708070979664689,-0.19350350513473188,0.0,0.07575176368851046,0.0,0.235120708157447,0.0,0.0005336991032767922,1873.7149713391411
3.0,0.375,Au,-0.06709800519750293,-6.709800519750293,-0.1934689143330198,0.0,0.07580280280684232,0.0,0.235120708157447,0.0,0.0005344185243680531,1871.1926222664047
3.0,0.38,Au,-0.06711564852052027,-6.711564852052026,-0.19343362768698513,0.0,0.07585490408463412,0.0,0.235120708157447,0.0,0.0005351534169019794,1868.6230311095321
3.0,0.385,Au,-0.06713352731300248,-6.713352731300248,-0.1933978701020207,0.0,0.07590773724181732,0.0,0.235120708157447,0.0,0.000535899148277962,1866.0227455359131
3.0,0.39,Au,-0.0671515729720672,-6.715157297206719,-0.19336177878389127,0.0,0.07596110081742197,0.0,0.235120708157447,0.0,0.000536652893491735,1863.4018601735183
3.0,0.395,Au,-0.06716998025865713,-6.7169980258657125,-0.1933249642107114,0.0,0.0760155724272442,0.0,0.235120708157447,0.0,0.0005374228356844944,1860.7322458234198
3.0,0.4,Au,-0.0671886024961868,-6.71886024961868,-0.19328771973565206,0.0,0.07607071987735603,0.0,0.235120708157447,0.0,0.0005382028929468617,1858.0353489455001
3.0,0.405,Au,-0.06720740741407323,-6.720740741407323,-0.1932501098998792,0.0,0.07612644891158311,0.0,0.235120708157447,0.0,0.0005389917513682274,1855.3159625569517
3.0,0.41,Au,-0.06722658394670189,-6.722658394670189,-0.19321175683462188,0.0,0.07618332128433629,0.0,0.235120708157447,0.0,0.0005397973896344522,1852.5469355774294
3.0,0.415,Au,-0.06724595496079028,-6.7245954960790275,-0.1931730148064451,0.0,0.07624081357285283,0.0,0.235120708157447,0.0,0.0005406124209779979,1849.7540219126754
3.0,0.42,Au,-0.06726552851305492,-6.726552851305493,-0.19313386770191582,0.0,0.07629895105538011,0.0,0.235120708157447,0.0,0.0005414372240494696,1846.9361831476754
3.0,0.425,Au,-0.06728547938596204,-6.728547938596203,-0.1930939659561016,0.0,0.07635825488109138,0.0,0.235120708157447,0.0,0.0005422792219248951,1844.0684421770056
3.0,0.43,Au,-0.06730560528206592,-6.730560528206592,-0.19305371416389383,0.0,0.07641812566468956,0.0,0.235120708157447,0.0,0.0005431299330940376,1841.1800548412416
3.0,0.435,Au,-0.06732595711666023,-6.732595711666023,-0.1930130104947052,0.0,0.07647871631004087,0.0,0.235120708157447,0.0,0.0005439915517009893,1838.2638422841915
3.0,0.44,Au,-0.06734668728907559,-6.734668728907558,-0.1929715501498745,0.0,0.07654048271666891,0.0,0.235120708157447,0.0,0.0005448705929122318,1835.2981662217928
3.0,0.445,Au,-0.06736757501099959,-6.736757501099959,-0.19292977470602649,0.0,0.07660276900312708,0.0,0.235120708157447,0.0,0.000545757751536352,1832.3147901883565
3.0,0.45,Au,-0.06738871494269615,-6.738871494269614,-0.19288749484263337,0.0,0.07666585897680833,0.0,0.235120708157447,0.0,0.0005466570929478077,1829.3003290373026
3.0,0.455,Au,-0.0674102293127428,-6.741022931274281,-0.19284446610254005,0.0,0.07673011977340245,0.0,0.235120708157447,0.0,0.0005475738854551855,1826.237566403889
3.0,0.46,Au,-0.06743188668805353,-6.743188668805352,-0.1928011513519186,0.0,0.0767948621105477,0.0,0.235120708157447,0.0,0.0005484983247624438,1823.159624841339
3.0,0.465,Au,-0.0674538245943019,-6.745382459430189,-0.19275727553942187,0.0,0.07686049875764374,0.0,0.235120708157447,0.0,0.0005494363296050502,1820.0471030352637
3.0,0.47,Au,-0.06747612809162569,-6.747612809162569,-0.19271266854477428,0.0,0.07692728673720925,0.0,0.235120708157447,0.0,0.0005503916105710083,1816.8881588920694
3.0,0.475,Au,-0.06749856385581417,-6.749856385581417,-0.19266779701639733,0.0,0.07699452934366294,0.0,0.235120708157447,0.0,0.0005513542323731224,1813.7160128359405
