coordinate_system,x_nm,material,phi_tilde_with,phi_tilde_no,phi_RP_with_V,phi_RP_no_V,c_R1_with,c_O2_with,c_R1_no,c_O2_no,eta_with_V,eta_no_V,current_density_with_A_per_m2,current_density_no_A_per_m2,sigma_with_C_per_m2
independent_Au_half_space,0.0,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0025,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.005,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0075,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.01,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0125,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.015,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0175,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.02,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0225,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.025,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0275,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.03,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0325,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.035,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0375,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.04,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0425,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.045,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0475,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.05,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0525,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.055,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0575,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.06,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0625,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.065,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0675,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.07,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0725,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.075,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.0775,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
independent_Au_half_space,0.08,Au,-8.154076289311629,0.0,-0.2093829206639622,0.0,0.00028756078634452754,3477.525613669371,1.0,1.0,0.7342933534508544,0.3669999999999999,0.0863011562537129,0.23512070815744804,-0.047853323274572784
