x_m,x_nm,phi_tilde,phi_s_V,c_Red1_over_c_bulk,c_Ox2_over_c_bulk,j_Au_A_per_m2,j_Pd_A_per_m2
0.0,0.0,-6.019730740675451,-0.15457652827524235,0.0024303238943027684,411.46778927048666,0.1508510581208415,nan
5.2500000000000006e-11,0.052500000000000005,-6.019721760329142,-0.15457629767510178,0.0024303457195509796,411.46409416383597,0.15085173546973368,nan
1.0500000000000001e-10,0.10500000000000001,-6.019697770544969,-0.15457568165792238,0.002430404023719608,411.45422334742176,0.15085354493087386,nan
1.575e-10,0.1575,-6.019666658818345,-0.15457488276127776,0.0024304796389614347,411.4414224952359,0.1508558916062512,nan
2.1000000000000002e-10,0.21000000000000002,-6.019638664466637,-0.15457416391356102,0.0024305476796156393,411.4299046205658,0.15085800317747258,nan
2.625e-10,0.2625,-6.019623017686106,-0.15457376213063795,0.0024305857101592785,411.42346711750764,0.1508591834031228,nan
3.15e-10,0.315,-6.019624898836051,-0.15457381043539445,0.002430581137867404,411.42424106746824,0.15085904150881724,nan
3.675e-10,0.36750000000000005,-6.019643714373501,-0.15457429358664854,0.0024305354056072194,411.4319823085114,0.1508576222685206,nan
4.2000000000000005e-10,0.42000000000000004,-6.0196732610042645,-0.15457505229427224,0.0024304635925359547,411.44413891696945,0.1508553936177514,nan
4.725000000000001e-10,0.4725000000000001,-6.019703736098988,-0.15457583484328385,0.0024303895250563632,411.4566779071388,0.15085309496905933,nan
5.25e-10,0.525,-6.019724948074524,-0.15457637953102446,0.002430337972239985,411.46540580869237,0.15085149503146378,nan
5.775000000000001e-10,0.5775000000000001,-6.019729681842765,-0.15457650108620558,0.0024303264676105063,411.467353595173,0.15085113798387814,nan
6.3e-10,0.63,-6.019716113443643,-0.15457615267261018,0.0024303594434737313,411.46177067976924,0.15085216139157379,nan
6.825e-10,0.6825,-6.019688468327821,-0.15457544279268173,0.0024304266319707464,411.4503959286916,0.1508542465687218,nan
7.35e-10,0.7350000000000001,-6.019655685879455,-0.1545746009947218,0.0024305063086123083,411.43690779841984,0.15085671927476157,nan
7.875000000000001e-10,0.7875000000000001,-6.01962850645071,-0.1545739030728517,0.002430572369283079,411.4257253302685,0.15085876938841788,nan
8.400000000000001e-10,0.8400000000000001,-6.019615923391179,-0.15457357996111445,0.0024306029535123177,411.42054836844505,0.15085971852384164,nan
8.925e-10,0.8925,-6.019622166389642,-0.15457374027078113,0.002430587779309181,411.4231168743138,0.15085924761608116,nan
9.450000000000001e-10,0.9450000000000002,-6.019645225026705,-0.15457433237767387,0.0024305317339138937,411.43260384002326,0.15085750832178837,nan
9.975000000000001e-10,0.9975000000000002,-6.01967742769815,-0.15457515928794074,0.002430453465559262,411.4458532823191,0.15085507933395567,nan
1.05e-09,1.05,-6.0197079176521004,-0.1545759422185122,0.002430379362274728,411.4583984386882,0.15085277956927462,nan
1.1025e-09,1.1025,-6.0197262340709585,-0.15457641255324303,0.0024303348468360272,411.4659349520775,0.15085139803425257,nan
1.1550000000000003e-09,1.1550000000000002,-6.019725822957122,-0.15457640199653339,0.0024303358459805153,411.4657657927732,0.15085142904280424,nan
1.2075e-09,1.2075,-6.01970630283947,-0.15457590075284855,0.002430383286885187,411.45773401100604,0.1508529013688107,nan
1.26e-09,1.26,-6.01967370255319,-0.15457506363250362,0.002430462519367604,411.44432058972694,0.1508553603127366,nan
1.3125000000000002e-09,1.3125000000000002,-6.019638550809821,-0.15457416099504576,0.002430547955863964,411.4298578587557,0.15085801175049296,nan
1.365e-09,1.365,-6.0196124149934604,-0.1545734898713808,0.0024306114810491324,411.41910494406403,0.15085998316201987,nan
1.4175000000000001e-09,1.4175000000000002,-6.019604020613928,-0.15457327431787832,0.002430631884610039,411.4156513504455,0.15086061635132617,nan
1.47e-09,1.4700000000000002,-6.019616249400295,-0.1545735883324785,0.0024306021611137252,411.42068249531644,0.15085969393302187,nan
1.5225e-09,1.5225,-6.019645047824472,-0.15457432782741953,0.0024305321646095833,411.4325309332535,0.15085752168793268,nan
