level,N_modes,n_coefficients,Nx,L_total_nm,shortest_cosine_wavelength_nm,surface_target_dx_nm,surface_points_per_shortest_wavelength,E_mix_with_EDL_V,i_mix_avg_with_EDL_A_per_m2,max_abs_phi_tilde,relative_current_balance_residual,affine_phi_m_relative_l2,affine_phi_pzc_relative_l2,delta_E_vs_previous_uV,relative_delta_i_vs_previous_percent,active_surface_max_abs_delta_vs_previous_mV,elapsed_s
baseline_long_domain,960,961,5001,1050.0,2.1875,0.21,10.416666666666668,0.5987365133993439,0.08265349133629327,6.0281588847644425,2.023329415802807e-11,7.550605992904762e-16,7.564649570765114e-16,,,,0.060876833013026044
intermediate,1920,1921,10001,1050.0,1.09375,0.105,10.416666666666668,0.5987736210749701,0.08256835596139289,6.021329623306205,2.019694357721796e-11,1.5046383936885614e-15,9.649462586934238e-16,37.10767562625783,-0.10300275708134965,3.7094725720051542,0.2160867920028977
production,3840,3841,20001,1050.0,0.546875,0.0525,10.416666666666668,0.5987841470159301,0.0825441910814434,6.019730740675451,2.0183988464736767e-11,1.6395001604820308e-15,1.539781254274356e-15,10.525940959960067,-0.029266514596459903,1.8563034720781246,1.1020458339771722
