x_m,x_nm,phi_tilde,phi_s_V,c_Red1_over_c_bulk,c_Ox2_over_c_bulk,j_Au_A_per_m2,j_Pd_A_per_m2
0.0,0.0,-6.020684196992661,-0.15460101142469299,0.002428007790960019,411.8602929213033,0.1504551629404313,nan
2.6500000000000002e-11,0.026500000000000003,-6.020684124211703,-0.15460100955580078,0.002428007967672759,411.86026294571764,0.15045516841556686,nan
5.3000000000000004e-11,0.053000000000000005,-6.020684051430745,-0.15460100768690857,0.0024280081443855115,411.8602329701342,0.15045517389070262,nan
7.95e-11,0.0795,-6.020683978649787,-0.1546010058180164,0.0024280083210982775,411.8602029945529,0.15045517936583855,nan
1.0600000000000001e-10,0.10600000000000001,-6.020683905868829,-0.15460100394912418,0.0024280084978110556,411.8601730189738,0.15045518484097473,nan
1.325e-10,0.1325,-6.0206838330878725,-0.15460100208023203,0.0024280086745238428,411.86014304339756,0.15045519031611093,nan
1.59e-10,0.159,-6.0206837603069125,-0.15460100021133977,0.002428008851236651,411.8601130678221,0.15045519579124764,nan
1.855e-10,0.1855,-6.020683687525958,-0.15460099834244767,0.0024280090279494597,411.860083092251,0.15045520126638412,nan
2.1200000000000002e-10,0.21200000000000002,-6.020683614744998,-0.1546009964735554,0.0024280092046622937,411.8600531166799,0.15045520674152119,nan
2.385e-10,0.2385,-6.020683541964042,-0.15460099460466326,0.002428009381375132,411.86002314111244,0.15045521221665822,nan
2.65e-10,0.265,-6.020683469183082,-0.15460099273577102,0.002428009558087992,411.8599931655457,0.1504552176917957,nan
2.9150000000000003e-10,0.29150000000000004,-6.020683396402127,-0.1546009908668789,0.0024280097348008517,411.8599631899833,0.150455223166933,nan
3.18e-10,0.318,-6.020683323621165,-0.1546009889979866,0.0024280099115137417,411.8599332144202,0.150455228642071,nan
3.445e-10,0.3445,-6.020683250840211,-0.1546009871290945,0.0024280100882266274,411.85990323886216,0.1504552341172087,nan
3.71e-10,0.371,-6.020683178059253,-0.1546009852602023,0.0024280102649395343,411.8598732633049,0.15045523959234683,nan
3.975e-10,0.3975,-6.0206831052782945,-0.1546009833913101,0.002428010441652454,411.8598432877498,0.1504552450674852,nan
4.2400000000000004e-10,0.42400000000000004,-6.020683032497336,-0.15460098152241789,0.002428010618365387,411.8598133121969,0.15045525054262374,nan
4.505e-10,0.4505,-6.020682959716378,-0.1546009796535257,0.0024280107950783326,411.8597833366461,0.15045525601776247,nan
4.77e-10,0.477,-6.020682886935418,-0.15460097778463344,0.0024280109717912954,411.8597533610968,0.15045526149290156,nan
5.035000000000001e-10,0.5035000000000001,-6.020682814154462,-0.1546009759157413,0.0024280111485042626,411.85972338555115,0.15045526696804057,nan
5.3e-10,0.53,-6.020682741373506,-0.15460097404684914,0.0024280113252172423,411.8596934100077,0.1504552724431798,nan
5.565e-10,0.5565,-6.020682668592547,-0.15460097217795693,0.0024280115019302394,411.8596634344657,0.15045527791831934,nan
5.830000000000001e-10,0.5830000000000001,-6.020682595811589,-0.15460097030906472,0.0024280116786432496,411.8596334589258,0.15045528339345907,nan
6.095e-10,0.6095,-6.020682432689105,-0.15460096612035457,0.0024280120747065793,411.85956627536467,0.1504552956647794,nan
6.36e-10,0.636,-6.020682210461224,-0.15460096041391758,0.0024280126142786165,411.85947474869636,0.15045531238246104,nan
6.625e-10,0.6625000000000001,-6.020681988233344,-0.15460095470748056,0.0024280131538507734,411.8593832220484,0.15045532910014456,nan
6.89e-10,0.689,-6.0206817660054615,-0.15460094900104351,0.002428013693423055,411.85929169542,0.15045534581783007,nan
7.155000000000001e-10,0.7155,-6.0206815437775845,-0.1546009432946066,0.0024280142329954433,411.85920016881414,0.15045536253551706,nan
7.42e-10,0.742,-6.020681321549704,-0.1546009375881696,0.00242801477256796,411.85910864222717,0.15045537925320615,nan
7.685e-10,0.7685,-6.02068109932182,-0.1546009318817325,0.0024280153121406054,411.8590171156591,0.15045539597089735,nan
7.95e-10,0.795,-6.0206808770939375,-0.15460092617529544,0.0024280158517133664,411.85892558911206,0.1504554126885903,nan
8.215e-10,0.8215,-6.0206806548660605,-0.15460092046885854,0.0024280163912862346,411.8588340625876,0.1504554294062847,nan
8.480000000000001e-10,0.8480000000000001,-6.020680432638178,-0.1546009147624215,0.0024280169308592355,411.85874253608125,0.15045544612398137,nan
8.745000000000001e-10,0.8745000000000002,-6.020680210410298,-0.15460090905598448,0.0024280174704323517,411.858651009596,0.15045546284167977,nan
9.01e-10,0.901,-6.020679988182415,-0.15460090334954743,0.0024280180100055924,411.85855948313036,0.15045547955938013,nan
9.275000000000001e-10,0.9275000000000001,-6.020679765954537,-0.15460089764311047,0.002428018549578944,411.85846795668647,0.15045549627708207,nan
9.54e-10,0.954,-6.020679543726654,-0.15460089193667342,0.0024280190891524246,411.8583764302615,0.15045551299478618,nan
9.805e-10,0.9805,-6.020679321498774,-0.1546008862302364,0.002428019628726021,411.8582849038576,0.150455529712492,nan
1.0070000000000001e-09,1.0070000000000001,-6.020679099270891,-0.15460088052379936,0.002428020168299741,411.8581933774733,0.1504555464301998,nan
1.0335e-09,1.0335,-6.020678877043011,-0.15460087481736234,0.002428020707873577,411.85810185111006,0.1504555631479093,nan
1.06e-09,1.06,-6.02067865481513,-0.15460086911092535,0.0024280212474475328,411.8580103247672,0.15045557986562072,nan
1.0865000000000001e-09,1.0865,-6.020678432587248,-0.1546008634044883,0.0024280217870216126,411.8579187984439,0.1504555965833341,nan
1.113e-09,1.113,-6.0206782103593675,-0.1546008576980513,0.0024280223265958083,411.8578272721417,0.15045561330104917,nan
1.1395e-09,1.1395,-6.020677988131487,-0.15460085199161427,0.0024280228661701236,411.8577357458598,0.15045563001876613,nan
1.1660000000000001e-09,1.1660000000000001,-6.020677765903605,-0.15460084628517723,0.0024280234057445635,411.85764421959755,0.1504556467364851,nan
1.1925e-09,1.1925,-6.020677509957178,-0.15460083971290486,0.002428024027188558,411.85753880611867,0.15045566599077892,nan
1.219e-09,1.219,-6.020677126405426,-0.15460082986394302,0.002428024958461606,411.8573808374683,0.15045569484454882,nan
1.2454999999999999e-09,1.2454999999999998,-6.020676742853674,-0.1546008200149812,0.0024280258897350117,411.8572228688786,0.15045572369832427,nan
1.272e-09,1.272,-6.02067635930192,-0.15460081016601934,0.002428026821008779,411.8570649003487,0.1504557525521054,nan
1.2985000000000002e-09,1.2985000000000002,-6.0206759757501676,-0.1546008003170575,0.002428027752282899,411.85690693188013,0.15045578140589194,nan
1.325e-09,1.3250000000000002,-6.020675592198414,-0.15460079046809563,0.0024280286835573804,411.8567489634714,0.15045581025968413,nan
1.3515000000000001e-09,1.3515000000000001,-6.02067520864666,-0.15460078061913377,0.0024280296148322194,411.85659099512327,0.15045583911348184,nan
1.378e-09,1.378,-6.020674825094908,-0.15460077077017195,0.002428030546107411,411.85643302683644,0.15045586796728497,nan
1.4045e-09,1.4045,-6.020674441543157,-0.15460076092121017,0.0024280314773829554,411.85627505861095,0.15045589682109348,nan
1.4310000000000001e-09,1.431,-6.0206740579914015,-0.15460075107224824,0.00242803240865887,411.8561170904439,0.15045592567490795,nan
1.4575e-09,1.4575,-6.020673674439646,-0.15460074122328635,0.0024280333399351417,411.85595912233737,0.15045595452872793,nan
1.484e-09,1.484,-6.0206732908878955,-0.15460073137432456,0.002428034271211758,411.85580115429366,0.15045598338255306,nan
1.5105000000000001e-09,1.5105000000000002,-6.020672907336142,-0.1546007215253627,0.0024280352024887396,411.85564318630907,0.15045601223638397,nan
1.537e-09,1.537,-6.020672523784389,-0.15460071167640085,0.0024280361337660743,411.85548521838575,0.1504560410902203,nan
1.5634999999999998e-09,1.5635,-6.020672140232634,-0.15460070182743896,0.002428037065043775,411.8553272505216,0.1504560699440624,nan
1.59e-09,1.59,-6.020671756680883,-0.15460069197847717,0.00242803799632182,411.8551692827202,0.1504560987979097,nan
1.6165e-09,1.6165,-6.0206713731291295,-0.1546006821295153,0.0024280389276002306,411.855011314978,0.15045612765176272,nan
1.643e-09,1.643,-6.020670989577374,-0.15460067228055338,0.0024280398588790025,411.8548533472956,0.15045615650562144,nan
1.6695e-09,1.6695,-6.020670606025623,-0.1546006624315916,0.0024280407901581193,411.854695379676,0.15045618535948532,nan
1.6960000000000001e-09,1.6960000000000002,-6.020670222473868,-0.1546006525826297,0.0024280417214376055,411.85453741211484,0.15045621421335512,nan
1.7225e-09,1.7225,-6.020669838922117,-0.15460064273366791,0.0024280426527174366,411.85437944461637,0.15045624306723004,nan
1.7490000000000003e-09,1.7490000000000003,-6.020669455370362,-0.154600632884706,0.0024280435839976375,411.85422147717634,0.15045627192111088,nan
1.7755000000000001e-09,1.7755,-6.020669071818611,-0.1546006230357442,0.0024280445152781824,411.8540635097991,0.1504563007749969,nan
