scan,case,parameter_value_display,E_V,I_Au_avg_A_per_m2,I_Pd_avg_A_per_m2,I_Au_current_1e_minus_3_uA,I_Pd_current_1e_minus_3_uA,delta_I_Au_vs_base,delta_I_Pd_vs_base,rel_delta_I_Au_vs_base,rel_delta_I_Pd_vs_base
Cdl_Au,low,5.0,0.4751659994601932,0.029772412930627476,-4.155754451410031,0.014886206465313738,-2.0778772257050155,0.027208968607372746,0.0018883604110184748,10.614222575673624,0.0004541901496803599
Cdl_Au,low,5.0,0.4756814411837665,0.03012880821650202,-4.088218537607807,0.015064404108251009,-2.044109268803903,0.027527575709471595,0.001856250751728794,10.58251257243327,0.00045384274072731736
Cdl_Au,low,5.0,0.4761968829073398,0.03048947028509196,-4.0217802204028255,0.015244735142545979,-2.0108901102014127,0.027849892473427715,0.0018246852529912871,10.550888990792217,0.0004534951357739926
Cdl_Au,low,5.0,0.47671232463091306,0.030854450224670874,-3.956421660698358,0.015427225112335435,-1.978210830349179,0.02817596177261257,0.0017936547200716468,10.51935159584524,0.0004531473346295303
Cdl_Au,low,5.0,0.4772277663544863,0.031223799735292743,-3.8921253093483954,0.01561189986764637,-1.9460626546741973,0.02850582697103086,0.0017631501132062688,10.48790015332334,0.00045279933710531994
Cdl_Au,low,5.0,0.47774320807805964,0.03159757113611909,-3.8288739024446823,0.015798785568059543,-1.914436951222341,0.028839531928860816,0.001733162544990119,10.456534429592011,0.00045245114301348775
Cdl_Au,low,5.0,0.4782586498016329,0.031975817372833365,-3.766650456680372,0.01598790868641668,-1.8833252283401858,0.02917712100805544,0.0017036832777996835,10.425254191649557,0.0004521027521629361
Cdl_Au,low,5.0,0.4787740915252062,0.03235859202514479,-3.7054382647889574,0.01617929601257239,-1.8527191323944787,0.029518639078006413,0.0016747037212945237,10.394059207125354,0.0004517541643646008
Cdl_Au,low,5.0,0.4792895332487795,0.03274594931438162,-3.6452208910574666,0.016372974657190807,-1.822610445528733,0.029864131521270303,0.0016462154299285991,10.36294924427817,0.0004514053794283192
Cdl_Au,low,5.0,0.47980497497235275,0.03313794411117579,-3.5859821669124754,0.016568972055587897,-1.7929910834562375,0.03021364423935858,0.001618210100519324,10.331924071994454,0.0004510563971638981
Cdl_Au,low,5.0,0.48032041669592607,0.03353463194323904,-3.527706186577945,0.01676731597161952,-1.7638530932889722,0.030567223658591207,0.0015906795698543696,10.300983459786657,0.00045070721738139994
Cdl_Au,low,5.0,0.48083585841949933,0.0339360690032326,-3.470377302803629,0.016968034501616297,-1.7351886514018142,0.030924916736015454,0.0015636158123322197,10.270127177791538,0.0004503578398896063
