condition_order,condition_key,display_label,edl_condition,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,net_current_A
4,janus_on_c_support,C-supported Janus,with EDL,0.59475,3.061778329055329e-12,-8.760701494546831e-12,0.0030617783290553292,-0.008760701494546832,-5.698923165491502e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.595,3.0865209794687877e-12,-8.689811185533258e-12,0.003086520979468788,-0.008689811185533258,-5.6032902060644696e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5952500000000001,3.1114636270910587e-12,-8.619494550255386e-12,0.003111463627091059,-0.008619494550255387,-5.5080309231643275e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5955,3.136607888905077e-12,-8.549746945992509e-12,0.0031366078889050767,-0.008549746945992509,-5.413139057087432e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.59575,3.1619553949702622e-12,-8.480563767599675e-12,0.0031619553949702624,-0.008480563767599675,-5.318608372629413e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5960000000000001,3.187507788528216e-12,-8.411940447203676e-12,0.0031875077885282163,-0.008411940447203677,-5.2244326586754595e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5962500000000001,3.2132667261093524e-12,-8.343872453901459e-12,0.0032132667261093525,-0.008343872453901459,-5.130605727792106e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5965,3.239233877640428e-12,-8.276355293460684e-12,0.003239233877640428,-0.008276355293460684,-5.037121415820256e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.59675,3.265410926552911e-12,-8.209384508023041e-12,0.003265410926552911,-0.008209384508023042,-4.943973581470131e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.597,3.2917995698921584e-12,-8.142955675809816e-12,0.0032917995698921584,-0.008142955675809816,-4.851156105917658e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5972500000000001,3.3184015184275962e-12,-8.077064410829846e-12,0.0033184015184275963,-0.008077064410829846,-4.7586628924022494e-12
4,janus_on_c_support,C-supported Janus,with EDL,0.5975,3.3452184967636677e-12,-8.011706362589921e-12,0.0033452184967636676,-0.00801170636258992,-4.666487865826253e-12
