case_order,case_key,directory_name,display_label,topology_kind,E_mix_without_edl_V,E_mix_with_edl_V,I_mix_without_edl_A,I_mix_with_edl_A,I_mix_without_edl_pA,I_mix_with_edl_pA,common_reactive_area_m2,comparison_Au_length_nm,comparison_Pd_length_nm,source_reactive_area_m2,source_I_mix_without_edl_A,source_I_mix_with_edl_A,common_area_current_density_without_edl_A_per_m2,common_area_current_density_with_edl_A_per_m2,source_current_scale_factor,I_mix_definition
1,au_pd_independent,01_Au_Pd_independent,Independent Au/Pd,independent,0.46699999999999986,0.6249104327868923,9.404828326297923e-12,3.4520462501485164e-12,9.404828326297922,3.4520462501485163,8.000000000000001e-11,4.0,4.0,4.0000000000000004e-11,4.7024141631489615e-12,1.7260231250742582e-12,0.11756035407872402,0.04315057812685645,2.0,I_mix = |I_Au| = |I_Pd| at I_Au + I_Pd = 0
2,janus_au_pd,02_Janus_Au2_Pd2,Janus Au|Pd,continuous,0.4670000000000001,0.6249104327869085,9.404828326297957e-12,5.319995190264642e-12,9.404828326297958,5.319995190264642,8.000000000000001e-11,4.0,4.0,4.0000000000000004e-11,4.7024141631489785e-12,2.659997595132321e-12,0.11756035407872445,0.06649993987830802,2.0,I_mix = |I_Au| = |I_Pd| at I_Au + I_Pd = 0
3,physical_mixture_c10,03_Physical_mixture_C10,Physical mixture (C = 10 nm),continuous,0.46699999999999964,0.5976004686075482,9.404828326297881e-12,4.521278834428626e-12,9.404828326297881,4.521278834428626,8.000000000000001e-11,4.0,4.0,4.0000000000000004e-11,4.7024141631489405e-12,2.260639417214313e-12,0.1175603540787235,0.056515985430357824,2.0,I_mix = |I_Au| = |I_Pd| at I_Au + I_Pd = 0
4,janus_on_c_support,04_Janus_on_C_support,C-supported Janus,continuous,0.4670000000000001,0.6109997601404451,9.404828326297955e-12,5.1664374594672866e-12,9.404828326297956,5.166437459467287,8.000000000000001e-11,4.0,4.0,8.000000000000001e-11,9.404828326297955e-12,5.1664374594672866e-12,0.11756035407872444,0.06458046824334107,1.0,I_mix = |I_Au| = |I_Pd| at I_Au + I_Pd = 0
