run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,out_of_plane_width,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,pH,pH_ref,E1_eq_pH_slope_V_per_pH,E2_eq_pH_slope_V_per_pH,it0_1_pH_order,it0_2_pH_order,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,dh_warn_threshold,dh_violation_action,do_ofat,do_heatmaps,do_sensitivities,ofat_n,ofat_L_gap_n,heatmap_nx,heatmap_ny,scan_mode,heatmap_mode,sensitivity_mode,ofat_pH_min,ofat_pH_max,ofat_C_tot_min,ofat_C_tot_max,heatmap_C_tot_min,heatmap_C_tot_max,heatmap_L_min,heatmap_L_max,heatmap_Cdl_C_min,heatmap_Cdl_C_max,heatmap_pzc_span,heatmap_pzc_C_offsets,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,i_mix_norm_A_per_m2,i_mix_phys_A_per_m,i_mix_abs_A,i_mix_avg_A_per_m2,residual,residual_norm_A_per_m2,residual_phys_A_per_m,residual_abs_A,residual_avg_A_per_m2,converged,method,iterations,out_of_plane_width_m,reactive_length_m,reactive_area_m2,a1,b1,a2,b2,max_abs_phi_tilde,debye_huckel_ok,delta_pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,use_edl_case,C_tot_M,scan_param,scan_value,scan_value_M,pzc_Au_V,pzc_Pd_V,Cdl_Au_uF_per_cm2,Cdl_Pd_uF_per_cm2,L_Au_nm,L_Pd_len_nm
ofat_compare:lambda_D:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177224e-08,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,8.751029451499738,4.375514725749869,17.502058902999476,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6430397395213093,0.07191493923285716,0.07191493923285716,2.1870899968258765e-09,2.1870899968258767e-11,0.04374179993651753,4.718447854656915e-16,4.718447854656915e-16,1.4349828023979904e-23,1.4349828023979905e-25,2.869965604795981e-16,True,brentq,20,0.01,5e-08,5e-10,0.8949785408942074,-0.8103253076207737,0.941218095763813,-0.7298606572241287,9.770652884843788,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,lambda_D,3.0412178890177224e-08,,,,,,,
ofat_compare:lambda_D:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177224e-08,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,8.751029451499738,4.375514725749869,17.502058902999476,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4670000000000001,0.1932784140578218,0.1932784140578218,5.878017703936221e-09,5.878017703936221e-11,0.11756035407872442,6.938893903907228e-16,6.938893903907228e-16,2.1102688270558683e-23,2.1102688270558684e-25,4.2205376541117367e-16,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,lambda_D,3.0412178890177224e-08,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,58.5,,10.0,2.6253707424842897e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,1.0137153920607151,0.5068576960303576,2.0274307841214303,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6039761676095449,1.4885977003552837,1.4885977003552837,3.908120849842157e-09,3.908120849842157e-11,0.07816241699684313,-1.6825081328164515e-09,-1.6825081328164515e-09,-4.417207625888183e-18,-4.417207625888183e-20,-8.834415251776366e-11,True,brentq,16,0.01,5e-08,5e-10,0.4999379695810806,-0.46190053485602983,0.6646731219027646,-0.5170414216810647,6.398021420191853,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,58.5,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,58.5,,10.0,2.6253707424842897e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,1.0137153920607151,0.5068576960303576,2.0274307841214303,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4670000000000003,2.2389286239908732,2.2389286239908732,5.878017703936248e-09,5.878017703936248e-11,0.11756035407872496,2.7533531010703882e-14,2.7533531010703882e-14,7.228572675278587e-23,7.228572675278588e-25,1.4457145350557174e-15,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,58.5,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,61.357142857142854,,10.0,2.688718108303564e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9898318173642159,0.49491590868210794,1.9796636347284318,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6030279303463691,1.4704230022058213,1.4704230022058213,3.953552952896883e-09,3.9535529528968835e-11,0.07907105905793767,4.726754543327161e-10,4.726754543327161e-10,1.270891053414988e-18,1.270891053414988e-20,2.541782106829976e-11,True,brentq,16,0.01,5e-08,5e-10,0.49388782321973784,-0.4562274729960721,0.6592035760624152,-0.5127508476843904,6.340351854384007,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,61.357142857142854,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,61.357142857142854,,10.0,2.688718108303564e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9898318173642159,0.49491590868210794,1.9796636347284318,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4670000000000001,2.186178493678139,2.186178493678139,5.878017703936222e-09,5.878017703936222e-11,0.11756035407872444,7.993605777301127e-15,7.993605777301127e-15,2.1492552604069526e-23,2.1492552604069526e-25,4.298510520813905e-16,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,61.357142857142854,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,64.21428571428571,,10.0,2.7506069505377316e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9675605345947029,0.48378026729735146,1.9351210691894059,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6021141630573019,1.453201640984415,1.453201640984415,3.99718653422457e-09,3.9971865342245697e-11,0.07994373068449138,4.7265746871971714e-11,4.7265746871971714e-11,1.3000949186840245e-19,1.3000949186840245e-21,2.600189837368049e-12,True,brentq,16,0.01,5e-08,5e-10,0.48811335457613036,-0.450812829803887,0.6539401232577349,-0.5086221723049584,6.285083548668107,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,64.21428571428571,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,64.21428571428571,,10.0,2.7506069505377316e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9675605345947029,0.48378026729735146,1.9351210691894059,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.46699999999999997,2.1369893298593916,2.1369893298593916,5.878017703936212e-09,5.878017703936212e-11,0.11756035407872424,4.440892098500626e-16,4.440892098500626e-16,1.2215148672723915e-24,1.2215148672723915e-26,2.4430297345447828e-17,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,64.21428571428571,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,67.07142857142857,,10.0,2.811133601729641e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9467279427362305,0.47336397136811525,1.893455885472461,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6012323408271345,1.4368388657623523,1.4368388657623523,4.039146015815654e-09,4.039146015815654e-11,0.08078292031631307,1.6067147612375265e-12,1.6067147612375265e-12,4.516689853709828e-21,4.5166898537098287e-23,9.033379707419657e-14,True,brentq,16,0.01,5e-08,5e-10,0.482592035913144,-0.445635496992622,0.6488674899655371,-0.5046434101071514,6.232012240977387,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,67.07142857142857,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,67.07142857142857,,10.0,2.811133601729641e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9467279427362305,0.47336397136811525,1.893455885472461,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4670000000000001,2.0909777110271746,2.0909777110271746,5.878017703936222e-09,5.878017703936222e-11,0.11756035407872444,7.549516567451064e-15,7.549516567451064e-15,2.122269969957631e-23,2.1222699699576308e-25,4.2445399399152613e-16,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,67.07142857142857,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,69.92857142857143,,10.0,2.870384235115649e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9271855311088569,0.46359276555442847,1.8543710622177139,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6003802167034432,1.4212532719361857,1.4212532719361857,4.079542985872162e-09,4.079542985872162e-11,0.08159085971744323,4.884981308350689e-15,4.884981308350689e-15,1.4021773336324435e-23,1.4021773336324435e-25,2.8043546672648866e-16,True,brentq,16,0.01,5e-08,5e-10,0.47730398368328425,-0.4406768424559852,0.643972092742353,-0.5008039006125171,6.181015436980401,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,69.92857142857143,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,69.92857142857143,,10.0,2.870384235115649e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9271855311088569,0.46359276555442847,1.8543710622177139,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4670000000000003,2.047815631101186,2.047815631101186,5.878017703936248e-09,5.878017703936248e-11,0.11756035407872496,2.4868995751603507e-14,2.4868995751603507e-14,7.138357334856076e-23,7.138357334856076e-25,1.427671466971215e-15,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,69.92857142857143,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,72.78571428571429,,10.0,2.928436304177954e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9088054016149322,0.4544027008074661,1.8176108032298643,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5995557814182624,1.4063744404573333,1.4063744404573333,4.1184779687032115e-09,4.118477968703212e-11,0.08236955937406423,-4.075850768003875e-12,-4.075850768003875e-12,-1.1935869359434142e-20,-1.1935869359434141e-22,-2.387173871886828e-13,True,brentq,16,0.01,5e-08,5e-10,0.4722315586257725,-0.4359203359758302,0.6392417924443767,-0.4970941157355809,6.131941704717978,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,72.78571428571429,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,72.78571428571429,,10.0,2.928436304177954e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.9088054016149322,0.4544027008074661,1.8176108032298643,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.46699999999999986,2.0072206096988094,2.0072206096988094,5.878017703936201e-09,5.8780177039362e-11,0.117560354078724,-6.661338147750939e-15,-6.661338147750939e-15,-1.9507304466279378e-23,-1.950730446627938e-25,-3.901460893255876e-16,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,72.78571428571429,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,75.64285714285714,,10.0,2.9853597300919063e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8914767304911229,0.44573836524556143,1.7829534609822457,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5987572302248387,1.3921410695822949,1.3921410695822949,4.156041887738058e-09,4.1560418877380574e-11,0.08312083775476115,-4.812930054498565e-10,-4.812930054498565e-10,-1.4368327568449061e-18,-1.4368327568449062e-20,-2.873665513689812e-11,True,brentq,16,0.01,5e-08,5e-10,0.46735903904871695,-0.4313512433960186,0.634665692193677,-0.49350550148092004,6.084620571200912,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,75.64285714285714,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,75.64285714285714,,10.0,2.9853597300919063e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8914767304911229,0.44573836524556143,1.7829534609822457,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.46699999999999975,1.9689478774322542,1.9689478774322542,5.8780177039361865e-09,5.878017703936186e-11,0.11756035407872371,-1.687538997430238e-14,-1.687538997430238e-14,-5.0379109658879015e-23,-5.037910965887902e-25,-1.0075821931775803e-15,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,75.64285714285714,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5979829354430014,1.3784994844819471,1.3784994844819471,4.192317292208204e-09,4.192317292208204e-11,0.08384634584416407,-8.881784197001252e-15,-8.881784197001252e-15,-2.7011440986315104e-23,-2.70114409863151e-25,-5.40228819726302e-16,True,brentq,17,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,6.038944611092431,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,78.5,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4670000000000001,1.932784140578219,1.932784140578219,5.878017703936221e-09,5.878017703936221e-11,0.11756035407872442,6.439293542825908e-15,6.439293542825908e-15,1.9583294715078452e-23,1.9583294715078452e-25,3.91665894301569e-16,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,78.5,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,81.35714285714286,,10.0,3.0960684389897438e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8595994513579321,0.42979972567896607,1.7191989027158643,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5972314234547125,1.3654024332268804,1.3654024332268804,4.2273793800335455e-09,4.227379380033545e-11,0.0845475876006709,-1.0347278589506459e-13,-1.0347278589506459e-13,-3.203588267040526e-22,-3.203588267040526e-24,-6.407176534081051e-15,True,brentq,17,0.01,5e-08,5e-10,0.45815884860925776,-0.42272387497030656,0.6259377389115767,-0.4866616739141426,5.994818725566496,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,81.35714285714286,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,81.35714285714286,,10.0,3.0960684389897438e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8595994513579321,0.42979972567896607,1.7191989027158643,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4670000000000001,1.8985425612407445,1.8985425612407445,5.878017703936222e-09,5.878017703936222e-11,0.11756035407872444,6.8833827526759706e-15,6.8833827526759706e-15,2.131142409404642e-23,2.131142409404642e-25,4.262284818809284e-16,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,81.35714285714286,,,,,,,
ofat_compare:epsilon_r:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,84.21428571428572,,10.0,3.149964017149303e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.844891788297545,0.4224458941487725,1.68978357659509,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.596501355469865,1.3528081125947546,1.3528081125947546,4.26129687678114e-09,4.26129687678114e-11,0.0852259375356228,-7.176481631177012e-13,-7.176481631177012e-13,-2.2605658907940522e-21,-2.2605658907940523e-23,-4.5211317815881045e-14,True,brentq,17,0.01,5e-08,5e-10,0.4538071202049947,-0.4186430496301404,0.6217689298336775,-0.4833931466369202,5.952126247700072,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,epsilon_r,84.21428571428572,,,,,,,
ofat_compare:epsilon_r:without_edl,8.314,96485.0,298.0,8.8541878128e-12,84.21428571428572,,10.0,3.149964017149303e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.844891788297545,0.4224458941487725,1.68978357659509,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.46699999999999997,1.8660586825546595,1.8660586825546595,5.878017703936211e-09,5.878017703936211e-11,0.11756035407872421,4.440892098500626e-16,4.440892098500626e-16,1.398865031431963e-24,1.398865031431963e-26,2.797730062863926e-17,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,epsilon_r,84.21428571428572,,,,,,,
