run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,out_of_plane_width,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,pH,pH_ref,E1_eq_pH_slope_V_per_pH,E2_eq_pH_slope_V_per_pH,it0_1_pH_order,it0_2_pH_order,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,dh_warn_threshold,dh_violation_action,do_ofat,do_heatmaps,do_sensitivities,ofat_n,ofat_L_gap_n,heatmap_nx,heatmap_ny,scan_mode,heatmap_mode,sensitivity_mode,ofat_pH_min,ofat_pH_max,ofat_C_tot_min,ofat_C_tot_max,heatmap_C_tot_min,heatmap_C_tot_max,heatmap_L_min,heatmap_L_max,heatmap_Cdl_C_min,heatmap_Cdl_C_max,heatmap_pzc_span,heatmap_pzc_C_offsets,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,i_mix_norm_A_per_m2,i_mix_phys_A_per_m,i_mix_abs_A,i_mix_avg_A_per_m2,residual,residual_norm_A_per_m2,residual_phys_A_per_m,residual_abs_A,residual_avg_A_per_m2,converged,method,iterations,out_of_plane_width_m,reactive_length_m,reactive_area_m2,a1,b1,a2,b2,max_abs_phi_tilde,debye_huckel_ok,delta_pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,use_edl_case,C_tot_M,scan_param,scan_value,scan_value_M,pzc_Au_V,pzc_Pd_V,Cdl_Au_uF_per_cm2,Cdl_Pd_uF_per_cm2,L_Au_nm,L_Pd_len_nm
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,4.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.7701398097651801,183.51467359232393,183.51467359232393,5.581081082262235e-07,5.581081082262236e-09,11.16216216452447,-1.0723653076638584e-08,-1.0723653076638584e-08,-3.2612965572293187e-17,-3.2612965572293187e-19,-6.522593114458637e-10,True,brentq,18,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,2.9084055707142173,False,-3.0,0.1,1.0113795000472439,0.0001852573885166257,0.18525738851662582,with_edl_FULL,0.01,pH,4.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,4.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.7330692500933828,343.7030242746954,343.7030242746954,1.0452757859336958e-06,1.0452757859336957e-08,20.905515718673914,3.013874447788112e-07,3.013874447788112e-07,9.165848885866611e-16,9.165848885866612e-18,1.8331697771733225e-08,True,brentq,16,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,-3.0,0.1,1.0113795000472439,0.0001852573885166257,0.18525738851662582,without_edl,0.01,pH,4.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,5.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.7127554228660729,35.93045114403653,35.93045114403653,1.0927233077972115e-07,1.0927233077972116e-09,2.185446615594423,1.2860823517257813e-12,1.2860823517257813e-12,3.9112566548184276e-21,3.911256654818428e-23,7.822513309636855e-14,True,brentq,18,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,3.951896074379107,False,-2.0,0.1,0.9522530000314959,0.0001852573885166257,0.018525738851662577,with_edl_FULL,0.01,pH,5.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,5.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6443795000472188,61.120001096752446,61.120001096752446,1.858792407122263e-07,1.858792407122263e-09,3.7175848142445256,-5.984190920571564e-11,-5.984190920571564e-11,-1.8199228478939664e-19,-1.8199228478939666e-21,-3.639845695787933e-12,True,brentq,17,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,-2.0,0.1,0.9522530000314959,0.0001852573885166257,0.018525738851662577,without_edl,0.01,pH,5.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,6.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6553699783136436,7.036793088571391,7.036793088571391,2.140042102227958e-08,2.140042102227958e-10,0.42800842044559156,-1.9308963317143935e-09,-1.9308963317143935e-09,-5.8722764658485095e-18,-5.87227646584851e-20,-1.174455293169702e-10,True,brentq,17,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,4.995405810648146,False,-1.0,0.1,0.893126500015748,0.0001852573885166257,0.0018525738851662573,with_edl_FULL,0.01,pH,6.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,6.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5556897500236213,10.868843949196302,10.868843949196302,3.305452265123781e-08,3.305452265123781e-10,0.6610904530247561,-2.8066438062523957e-13,-2.8066438062523957e-13,-8.535615351675574e-22,-8.535615351675574e-24,-1.7071230703351147e-14,True,brentq,18,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,-1.0,0.1,0.893126500015748,0.0001852573885166257,0.0018525738851662573,without_edl,0.01,pH,6.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5979829354430014,1.3784994844819471,1.3784994844819471,4.192317292208204e-09,4.192317292208204e-11,0.08384634584416407,-8.881784197001252e-15,-8.881784197001252e-15,-2.7011440986315104e-23,-2.70114409863151e-25,-5.40228819726302e-16,True,brentq,17,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,6.038944611092431,False,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,with_edl_FULL,0.01,pH,7.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4670000000000001,1.932784140578219,1.932784140578219,5.878017703936221e-09,5.878017703936221e-11,0.11756035407872442,6.439293542825908e-15,6.439293542825908e-15,1.9583294715078452e-23,1.9583294715078452e-25,3.91665894301569e-16,True,brentq,3,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,0.0001852573885166257,0.0001852573885166257,without_edl,0.01,pH,7.0,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,8.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.5405937716212571,0.27012085167839606,0.27012085167839606,8.214963663210407e-10,8.214963663210406e-12,0.01642992732642081,-1.0292322549787514e-12,-1.0292322549787514e-12,-3.1301195457954273e-21,-3.130119545795427e-23,-6.260239091590854e-14,True,brentq,18,0.01,5e-08,5e-10,0.4626723517294404,-0.42695637470519,0.6302339699758691,-0.49003034676491153,7.082523899414944,False,1.0,0.1,0.7748734999842519,0.0001852573885166257,1.8525738851662567e-05,with_edl_FULL,0.01,pH,8.0,,,,,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,2.5e-08,1e-08,2.5e-08,0.01,0.2,0.1,0.4,0.8751029451499737,0.43755147257498683,1.7502058902999473,0.93,0.5,0.78,0.0001852573885166257,0.0001852573885166257,0.5,0.5,-1.0,1.0,0.1,0.834,8.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,15,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,1000000.0,0.1,10000.0,2e-09,1e-06,0.05,1.0,0.3,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.3783102499763781,0.34370302412400217,0.34370302412400217,1.0452757854754048e-09,1.0452757854754048e-11,0.020905515709508094,1.3877787807814457e-15,1.3877787807814457e-15,4.220537654111735e-24,4.220537654111735e-26,8.441075308223469e-17,True,brentq,18,0.01,5e-08,5e-10,0.0,0.0,0.0,0.0,0.0,True,1.0,0.1,0.7748734999842519,0.0001852573885166257,1.8525738851662567e-05,without_edl,0.01,pH,8.0,,,,,,,
