material,condition,curve_source,C_tot_M,C_tot_mol_per_m3,E_mix_V,lambda_D_nm,distance_from_RP_nm,phi_bar_tilde,phi_bar_V,phi_bar_mV
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.0,-8.872972834983754,-0.2278429709562768,-227.84297095627682
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.04751902951590189,-8.735410141687284,-0.2243105931031813,-224.3105931031813
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.09503805903180378,-8.599980160272041,-0.22083297969265195,-220.83297969265195
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.14255708854770566,-8.466649826105025,-0.2174092816807035,-217.40928168070351
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.19007611806360755,-8.335386587172858,-0.21403866318655781,-214.0386631865578
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.23759514757950945,-8.206158396134349,-0.21072030128856684,-210.72030128856684
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.2851141770954113,-8.078933702496284,-0.20745338582330025,-207.45338582330024
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.33263320661131324,-7.9536814449105036,-0.2042371191877474,-204.2371191877474
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.3801522361272151,-7.83037104359042,-0.20107071614458624,-201.07071614458624
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.42767126564311697,-7.708972392845089,-0.19795340363047098,-197.95340363047097
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.4751902951590189,-7.5894558537290475,-0.19488442056729216,-194.88442056729215
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.5918979952021372,3.0412178890177213,0.5227093246749208,-7.471792246806088,-0.19186301767636268,-191.8630176763627
