segment_id,material,x_nm,phi_RP_V,sigma_C_per_m2
C_left,C,0.0,0.03904938424679452,0.014390075178730116
C_left,C,0.003602305475504323,0.03904914894803106,0.014390122238482808
C_left,C,0.007204610951008646,0.03904851903424406,0.01439024822124021
C_left,C,0.010806916426512969,0.039047695549840715,0.014390412918120876
C_left,C,0.014409221902017292,0.039046933417296474,0.014390565344629725
C_left,C,0.018011527377521614,0.03904645117640485,0.014390661792808053
C_left,C,0.021613832853025938,0.03904635360501304,0.014390681307086413
C_left,C,0.02521613832853026,0.03904659461890116,0.014390633104308787
C_left,C,0.028818443804034585,0.039046993587122186,0.014390553310664585
C_left,C,0.032420749279538905,0.03904729928653497,0.014390492170782027
C_left,C,0.03602305475504323,0.039047278851713524,0.014390496257746316
C_left,C,0.03962536023054755,0.03904680022604683,0.014390591982879656
C_left,C,0.043227665706051875,0.03904587892046213,0.014390776243996595
C_left,C,0.0468299711815562,0.03904467252329449,0.014391017523430123
C_left,C,0.05043227665706052,0.03904342490426947,0.014391267047235127
C_left,C,0.054034582132564846,0.03904237986736115,0.014391476054616792
C_left,C,0.05763688760806917,0.03904169482494033,0.014391613063100956
C_left,C,0.061239193083573486,0.039041385058765955,0.014391675016335832
C_left,C,0.06484149855907781,0.03904131830419658,0.014391688367249706
C_left,C,0.06844380403458213,0.039041261576553465,0.014391699712778329
C_left,C,0.07204610951008646,0.039040963661156426,0.014391759295857738
C_left,C,0.07564841498559079,0.039040244060611705,0.01439190321596668
C_left,C,0.0792507204610951,0.03903905690569314,0.014392140646950392
C_left,C,0.08285302593659943,0.039037507199815046,0.01439245058812601
C_left,C,0.08645533141210375,0.03903581364368565,0.014392789299351892
C_left,C,0.09005763688760807,0.03903423120101106,0.01439310578788681
C_left,C,0.0936599423631124,0.0390329608212081,0.0143933598638474
C_left,C,0.09726224783861671,0.03903207828353786,0.01439353637138145
C_left,C,0.10086455331412104,0.03903150735798691,0.014393650556491638
C_left,C,0.10446685878962537,0.039031046787900585,0.014393742670508903
C_left,C,0.10806916426512969,0.039030441542918445,0.014393863719505332
C_left,C,0.11167146974063401,0.03902947311532625,0.01439405740502377
C_left,C,0.11527377521613834,0.039028036888941936,0.014394344650300634
C_left,C,0.11887608069164267,0.03902617918536383,0.014394716191016255
C_left,C,0.12247838616714697,0.03902408086824116,0.014395135854440789
C_left,C,0.12608069164265132,0.039021993308052984,0.014395553366478426
C_left,C,0.12968299711815562,0.03902014937817534,0.014395922152453952
C_left,C,0.13328530259365995,0.03901868099515303,0.014396215829058416
C_left,C,0.13688760806916425,0.03901757240075553,0.014396437547937914
C_left,C,0.14048991354466858,0.03901666572981874,0.014396618882125274
C_left,C,0.1440922190201729,0.03901571689568423,0.014396808648952176
C_left,C,0.14769452449567724,0.039014482008587224,0.014397055626371575
C_left,C,0.15129682997118157,0.03901280373002892,0.01439739128208324
C_left,C,0.15489913544668588,0.03901066698676919,0.014397818630735183
C_left,C,0.1585014409221902,0.03900820431510656,0.01439831116506771
C_left,C,0.16210374639769454,0.03900564893954986,0.014398822240179049
C_left,C,0.16570605187319887,0.039003252196024664,0.01439930158888409
C_left,C,0.16930835734870317,0.039001194535848896,0.014399713120919241
C_left,C,0.1729106628242075,0.03899952162182226,0.014400047703724567
C_left,C,0.17651296829971183,0.03899812814560371,0.014400326398968278
C_left,C,0.18011527377521613,0.03899679510015441,0.014400593008058139
C_left,C,0.18371757925072046,0.038995267314069944,0.014400898565275034
C_left,C,0.1873198847262248,0.03899334379758899,0.014401283268571225
C_left,C,0.19092219020172913,0.038990948911369616,0.014401762245815098
