material,condition,curve_source,C_tot_M,C_tot_mol_per_m3,E_mix_V,lambda_D_nm,distance_from_RP_nm,phi_bar_tilde,phi_bar_V,phi_bar_mV
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.0,-5.9826611151919336,-0.15362464284073493,-153.62464284073494
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.04751902951590189,-5.889908551717262,-0.15124291351293198,-151.24291351293198
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.09503805903180378,-5.79859398345333,-0.14889810947579865,-148.89810947579866
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.14255708854770566,-5.7086951163508015,-0.14658965825576503,-146.58965825576504
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.19007611806360755,-5.620190001997539,-0.14431699625464112,-144.3169962546411
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.23759514757950945,-5.533057032259996,-0.14207956861201704,-142.07956861201703
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.2851141770954113,-5.447274934007686,-0.13987682906979623,-139.87682906979623
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.33263320661131324,-5.3628227639194375,-0.13770823983882893,-137.70823983882894
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.3801522361272151,-5.279679903370183,-0.1355732714676133,-135.5732714676133
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.42767126564311697,-5.197826053397004,-0.13347140271303232,-133.47140271303232
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.4751902951590189,-5.117241229743234,-0.13140212041309432,-131.4021204130943
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.5227093246749208,-5.037905757979389,-0.12936491936164699,-129.364919361647
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.5702283541908226,-4.959800268699739,-0.12735930218503344,-127.35930218503344
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.6177473837067246,-4.8829056927933605,-0.12538477922066055,-125.38477922066055
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.6652664132226265,-4.807203256788489,-0.12344086839745007,-123.44086839745007
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.7127854427385283,-4.732674478269062,-0.1215270951181431,-121.5270951181431
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.7603044722544302,-4.659301161362322,-0.11964299214342924,-119.64299214342924
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.8078235017703321,-4.587065392296368,-0.11778809947787218,-117.78809947787218
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.8553425312862339,-4.51594953502659,-0.11596196425760376,-115.96196425760375
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.9028615608021359,-4.445936226929908,-0.11416414063975941,-114.16414063975941
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.9503805903180378,-4.377008374565764,-0.11239418969362751,-112.39418969362751
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,0.9978996198339396,-4.3091491495028285,-0.11065167929348627,-110.65167929348627
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,1.0454186493498416,-4.24234198421042,-0.10893618401310234,-108.93618401310235
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,1.0929376788657434,-4.176570568013614,-0.1072472850218648,-107.2472850218648
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,1.1404567083816453,-4.111818843111058,-0.10558456998252941,-105.5845699825294
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,1.1879757378975473,-4.048071000654536,-0.10394763295054839,-103.94763295054838
Au,with EDL,analytic independent-planar linear PB,0.01,10.0,0.6008249905513605,3.0412178890177213,1.235494767413449,-3.9853114768893096,-0.10233607427496089,-102.3360742749609
