condition,C_tot_M,E_V,I_Au_A,I_Pd_A,I_Au_1e_minus_3_uA,I_Pd_1e_minus_3_uA,j_Au_A_per_m2,j_Pd_A_per_m2
with EDL,0.01,0.4,1.2910916947184453e-13,-2.4033795602187125e-08,0.00012910916947184452,-24.033795602187126,0.0005164366778873781,-96.13518240874849
with EDL,0.01,0.4002502606882169,1.3003524467469778e-13,-2.384290912862167e-08,0.0001300352446746978,-23.84290912862167,0.000520140978698791,-95.37163651448667
with EDL,0.01,0.4005005213764338,1.3096796243659488e-13,-2.3653538755400598e-08,0.00013096796243659487,-23.6535387554006,0.0005238718497463795,-94.61415502160239
with EDL,0.01,0.4007507820646507,1.3190737040333264e-13,-2.3465672441019885e-08,0.00013190737040333264,-23.465672441019883,0.0005276294816133305,-93.86268976407953
with EDL,0.01,0.4010010427528676,1.328535165624616e-13,-2.3279298239614105e-08,0.00013285351656246158,-23.279298239614103,0.0005314140662498463,-93.11719295845641
with EDL,0.01,0.4012513034410845,1.33806449245738e-13,-2.3094404300196773e-08,0.000133806449245738,-23.09440430019677,0.000535225796982952,-92.37761720078709
with EDL,0.01,0.4015015641293014,1.3476621713159173e-13,-2.2910978865907136e-08,0.00013476621713159174,-22.910978865907136,0.0005390648685263668,-91.64391546362855
with EDL,0.01,0.40175182481751825,1.357328692476145e-13,-2.272901027326222e-08,0.00013573286924761451,-22.72901027326222,0.000542931476990458,-90.91604109304888
with EDL,0.01,0.4020020855057352,1.3670645497306338e-13,-2.254848695141537e-08,0.00013670645497306338,-22.54848695141537,0.0005468258198922535,-90.19394780566147
with EDL,0.01,0.40225234619395206,1.3768702404138298e-13,-2.23693974214203e-08,0.00013768702404138298,-22.3693974214203,0.0005507480961655319,-89.4775896856812
with EDL,0.01,0.40250260688216893,1.3867462654274682e-13,-2.2191730295501593e-08,0.0001386746265427468,-22.191730295501593,0.0005546985061709872,-88.76692118200637
with EDL,0.01,0.40275286757038586,1.3966931292661523e-13,-2.2015474276330018e-08,0.00013966931292661524,-22.015474276330018,0.0005586772517064608,-88.06189710532007
