C_M,lambda_D_nm,E_with,E_no,I_with,I_no,I_ratio,K_Au_ratio,K_Pd_ratio,delta_E_mV,max_abs_phi_tilde
0.0001,30.41217889017721,0.6430397395213094,0.4670000000000001,0.021870899968258684,0.058780177039362225,0.3720795184678128,0.012077175456734228,11.463207482511416,176.03973952130934,9.770652884843798
0.00016548170999,23.641364362898123,0.641084462488961,0.4670000000000003,0.022585336269619057,0.05878017703936248,0.38423389324762763,0.012955672926028654,11.395447041860866,174.0844624889607,9.60959506308986
0.00027384196343,18.377969922490845,0.6386393274530737,0.46699999999999997,0.023536332509316357,0.05878017703936211,0.4004127529856752,0.014159546870282506,11.32312879842946,171.63932745307375,9.3989497381734
0.00045315836376,14.286391144618662,0.6356069819186004,0.4670000000000001,0.02478417666330988,0.05878017703936221,0.4216417491684846,0.015817138740494657,11.239818233081364,168.60698191860035,9.12849650458745
0.00074989420933,11.105740884156646,0.6318819855718617,0.4670000000000002,0.026391138127257432,0.05878017703936238,0.44898024226066047,0.018109721630591113,11.131217913233844,164.88198557186152,8.789907532085614
0.00124093776075,8.633214598228285,0.627353537311142,0.4670000000000001,0.02841713239623447,0.05878017703936221,0.4834475469035234,0.021297492778425783,10.974133574296504,160.35353731114188,8.378926303976705
0.00205352502646,6.711159127200259,0.6219111046357402,0.4670000000000001,0.030914031968865538,0.05878017703936221,0.5259261459550202,0.025758911897019593,10.737965644856668,154.9111046357401,7.897141050766791
0.00339820832894,5.217020417858855,0.6154562069514382,0.4670000000000001,0.03391471976009553,0.05878017703936221,0.5769754612577044,0.03204391584787081,10.38888892278121,148.45620695143813,7.352535791993937
0.0056234132519,4.055529234884892,0.6079223005233398,0.4670000000000001,0.037413016036062806,0.05878017703936221,0.6364903598539544,0.040934560865132016,9.896771081072602,140.92230052333977,6.758250763275292
0.0093057204093,3.1526266063090445,0.5993003900611119,0.4670000000000002,0.04133626935676375,0.05878017703936238,0.7032348563544264,0.053494533729190184,9.244669104055763,132.30039006111173,6.130375896553472
0.01,3.0412178890177213,0.5979829354430014,0.4670000000000001,0.04192317292208204,0.05878017703936221,0.7132195756063842,0.055663851785483845,9.138465030923543,130.98293544300134,6.038944611092431
0.01539926526059,2.4507416771457873,0.5896627443675948,0.4670000000000001,0.045522494256566785,0.05878017703936221,0.7744531668572995,0.07107295937630626,8.438901554545996,122.66274436759473,5.486561768917559
0.02548296747979,1.9051208779616884,0.5791748266137113,0.4670000000000001,0.0497216158568836,0.05878017703936221,0.845890882968717,0.095216910061303,7.514751165829163,112.17482661371125,4.844323044955986
0.04216965034286,1.480974348905079,0.5680890437713765,0.4670000000000001,0.05363488012927178,0.05878017703936221,0.9124654404044261,0.12745664367198448,6.532363915648107,101.0890437713764,4.220043094592153
0.06978305848599,1.1512576695194447,0.5567210171269856,0.4670000000000001,0.05698475031172119,0.05878017703936221,0.9694552344332221,0.1689689503761322,5.5622257786291645,89.72101712698554,3.628435059694671
0.11547819846895,0.8949474530786109,0.5454145269832322,0.4670000000000001,0.059584873646237727,0.05878017703936221,1.0136899316641501,0.22018969619454615,4.666736433707408,78.41452698323215,3.1227478215828226
0.19109529749704,0.6957008539245898,0.5345028277771244,0.46699999999999975,0.06137714509186095,0.058780177039361864,1.0441810178754658,0.2805057952830989,3.8869571242179117,67.50282777712468,2.755071776794428
0.31622776601684,0.5408135153482233,0.524273468037249,0.4670000000000001,0.062423364928271836,0.05878017703936221,1.0619798726783343,0.3481659927344471,3.239263091529869,57.27346803724886,2.3945785480023485
0.52329911468149,0.42040951471221355,0.5149427086616699,0.46699999999999997,0.06286417312669526,0.05878017703936211,1.0694791389382565,0.42048202499697845,2.7201772266815736,47.94270866166994,2.0447423021158984
0.86596432336007,0.3268116551169266,0.5066434888631925,0.46699999999999997,0.06286940214940209,0.05878017703936212,1.0695680978861568,0.4942713690740375,2.3144693129989182,39.64348886319258,1.7426215234412497
1.0,0.30412178890177216,0.5044708193583919,0.4670000000000001,0.0628139572664812,0.05878017703936221,1.0686248397043405,0.5151756634234231,2.216640127067887,37.47081935839181,1.660243161063733
1.43301257023696,0.254051952162355,0.49942728760044874,0.4670000000000001,0.06259902798959815,0.05878017703936221,1.0649683471977065,0.5663920167005684,2.0024250820844673,32.427287600448665,1.4628053945347248
2.37137370566166,0.1974911034749087,0.49327668766428817,0.46699999999999986,0.0621819097203675,0.058780177039362,1.0578721067602013,0.6341993609246357,1.7645766666016125,26.27668766428831,1.2093177137295044
3.92418975848454,0.15352267762466165,0.4881236297716768,0.4670000000000001,0.061710011316918056,0.05878017703936221,1.0498439172034797,0.6958152154588978,1.5840013641585735,21.1236297716767,0.9871589025077443
6.49381631576211,0.11934316093403305,0.48386856060990047,0.4670000000000001,0.061242075725714676,0.058780177039362225,1.0418831451409858,0.7501894564213996,1.446995127474798,16.868560609900385,0.7975458805899804
10.0,0.09617175390145177,0.4808495326722844,0.4670000000000002,0.06086974559057193,0.05878017703936238,1.0355488645400006,0.790774733403299,1.3560896746854412,13.849532672284226,0.6596647950744747
10.74607828321318,0.09277319990827564,0.4803971428287822,0.46699999999999986,0.06081118662666896,0.05878017703936202,1.0345526279369128,0.79700378834037,1.342903453696363,13.39714282878235,0.6387831831710566
17.78279410038923,0.0721186413520447,0.4775929253366583,0.4670000000000002,0.06043266232028709,0.058780177039362363,1.028112968761869,0.8364930676022039,1.263628256427922,10.592925336658121,0.5081600540715849
29.42727176209282,0.05606250981541165,0.47534575284221803,0.4670000000000001,0.06011061963405147,0.05878017703936221,1.0226342053001698,0.8692504305650083,1.2030833475357297,8.345752842217946,0.4021256957947783
48.69675251658631,0.04358103463791915,0.47355651901937146,0.4670000000000001,0.0598427738841434,0.05878017703936221,1.0180774692813466,0.8960577148204664,1.1567131399800592,6.556519019371376,0.3169280419753899
80.58421877614818,0.03387837230914315,0.47213919079274147,0.4670000000000002,0.05962364544621626,0.05878017703936238,1.0143495383875596,0.9177583641636511,1.1211066291488143,5.139190792741277,0.24900171713187663
133.3521432163324,0.026335861914537573,0.4710210206150574,0.46699999999999986,0.05944654572848415,0.058780177039362,1.0113366226963882,0.9351735055022087,1.0937026747551004,4.021020615057546,0.19516348503057623
220.673406908459,0.02047257809355872,0.47014169155822827,0.46699999999999986,0.059304714791833205,0.05878017703936202,1.0089237184862498,0.9490537067174089,1.0725705650540025,3.14169155822841,0.15268226181931105
365.1741272548377,0.015914666288764978,0.4694519312392531,0.4670000000000002,0.05919191043073411,0.058780177039362363,1.0070046299978992,0.9600566175348164,1.056248461096847,2.4519312392529136,0.11927683401263062
604.2963902381329,0.01237150504080581,0.46891194282618825,0.4670000000000002,0.05910266219187864,0.05878017703936238,1.0054862909361484,0.96874152068602,1.0436248049953183,1.9119428261880622,0.09307699826081056
1000.0,0.009617175390145177,0.4684898608398441,0.4670000000000001,0.059032334081575086,0.05878017703936221,1.0042898312817945,0.9755738238231074,1.0338510941808292,1.4898608398440372,0.07256984208944327
