L_support_nm,lambda_D_nm,L_support_over_lambda_D,support_charge_status,sigma_C_signed_mean_C_per_m2,sigma_C_mean_abs_C_per_m2,sigma_C_midpoint_C_per_m2,sigma_C_min_C_per_m2,sigma_C_max_C_per_m2,sigma_C_sign_change,L_GC_C_nm,L_GC_C_midpoint_nm,L_support_over_L_GC_C,E_mix_with_V,max_abs_phi_tilde
0.0,3.0412178890177213,0.0,not_applicable,,,,,,,,,,0.6006949941170235,5.985007073694957
2.0,3.0412178890177213,0.657631275688036,defined,0.015683203954199636,0.015683203954199636,0.014854084235891478,0.014825045391963443,0.018606648951826017,False,2.276040968390938,2.4030841719033,0.8787188050546879,0.5990536442533316,6.014838394036538
3.0,3.0412178890177213,0.986446913532054,defined,0.013999246676741175,0.013999246676741175,0.012886008611499824,0.012865129702384254,0.01786172922529752,False,2.5498239683636004,2.7701063837202,1.1765518079764972,0.5986769316818208,6.021659112726379
10.0,3.0412178890177213,3.28815637844018,defined,0.009598722002205275,0.009598722002205275,0.007942407274005853,0.007937357350864328,0.016727803063373164,False,3.7187882623528608,4.494306761655852,2.6890479625406383,0.5980255004918001,6.033459857051831
1000.0,3.0412178890177213,328.815637844018,defined,0.006843186335344981,0.006843186335344981,0.006814849278228099,0.006813884704105891,0.016667073864655896,False,5.2162272026733625,5.237916974837366,191.70944077886242,0.5979682539720167,6.034580464171503
