L_support_nm,case_label,E_V,I_Au_abs_A,I_Pd_abs_A,I_total_abs_A,I_Au_current_1e_minus_3_uA,I_Pd_current_1e_minus_3_uA,I_total_current_1e_minus_3_uA,E_mix_with_V,i_mix_abs_with_A,i_mix_current_1e_minus_3_uA,i_mix_avg_with_A_per_m2,E_mix_no_V,i_mix_abs_no_A,i_mix_current_no_1e_minus_3_uA,i_mix_avg_no_A_per_m2
0.0,0 nm,0.5628816403940777,1.3797437612541057e-11,-1.3572644864371686e-10,-1.2192901103117578e-10,0.013797437612541057,-0.13572644864371686,-0.12192901103117577,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5630440899843135,1.3861841685473918e-11,-1.350272997683918e-10,-1.2116545808291789e-10,0.013861841685473917,-0.13502729976839178,-0.12116545808291788,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5632065395745494,1.3926546411930776e-11,-1.343317524601241e-10,-1.2040520604819334e-10,0.013926546411930774,-0.13433175246012408,-0.12040520604819333,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5633689891647852,1.3991553195560769e-11,-1.3363978816525362e-10,-1.1964823496969287e-10,0.013991553195560768,-0.13363978816525363,-0.11964823496969286,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5635314387550209,1.4056863446566743e-11,-1.3295138842570407e-10,-1.1889452497913733e-10,0.014056863446566743,-0.13295138842570406,-0.11889452497913731,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5636938883452567,1.4122478581736138e-11,-1.3226653487848918e-10,-1.1814405629675304e-10,0.014122478581736138,-0.13226653487848916,-0.11814405629675304,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5638563379354925,1.4188400024471292e-11,-1.3158520925522505e-10,-1.1739680923075376e-10,0.014188400024471292,-0.13158520925522504,-0.11739680923075375,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5640187875257283,1.4254629204820643e-11,-1.3090739338164167e-10,-1.1665276417682102e-10,0.014254629204820643,-0.13090739338164167,-0.11665276417682101,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5641812371159641,1.4321167559509644e-11,-1.3023306917709785e-10,-1.1591190161758821e-10,0.014321167559509643,-0.13023306917709784,-0.11591190161758821,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5643436867061999,1.4388016531971996e-11,-1.2956221865409916e-10,-1.1517420212212715e-10,0.014388016531971996,-0.12956221865409914,-0.11517420212212715,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5645061362964356,1.4455177572380902e-11,-1.2889482391781805e-10,-1.1443964634543716e-10,0.014455177572380901,-0.12889482391781804,-0.11443964634543716,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5646685858866715,1.4522652137680739e-11,-1.2823086716561554e-10,-1.137082150279348e-10,0.014522652137680739,-0.12823086716561552,-0.1137082150279348,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5648310354769073,1.459044169161835e-11,-1.275703306865681e-10,-1.1297988899494975e-10,0.01459044169161835,-0.1275703306865681,-0.11297988899494975,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5649934850671431,1.4658547704775045e-11,-1.2691319686099388e-10,-1.1225464915621885e-10,0.014658547704775045,-0.12691319686099387,-0.11225464915621884,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5651559346573789,1.4726971654598435e-11,-1.2625944815998278e-10,-1.1153247650538434e-10,0.014726971654598435,-0.12625944815998277,-0.11153247650538434,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5653183842476147,1.4795715025434513e-11,-1.256090671449287e-10,-1.1081335211949417e-10,0.014795715025434511,-0.12560906714492867,-0.11081335211949417,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5654808338378504,1.4864779308559885e-11,-1.2496203646706522e-10,-1.1009725715850533e-10,0.014864779308559884,-0.1249620364670652,-0.11009725715850532,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5656432834280862,1.4934166002214144e-11,-1.243183388670007e-10,-1.0938417286478656e-10,0.014934166002214143,-0.1243183388670007,-0.10938417286478655,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.565805733018322,1.5003876611632274e-11,-1.2367795717426052e-10,-1.0867408056262826e-10,0.015003876611632274,-0.12367795717426051,-0.10867408056262826,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5659681826085579,1.5073912649077417e-11,-1.2304087430682708e-10,-1.0796696165774966e-10,0.015073912649077415,-0.12304087430682707,-0.10796696165774965,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5661306321987937,1.514427563387367e-11,-1.2240707327068447e-10,-1.0726279763681079e-10,0.015144275633873671,-0.12240707327068447,-0.10726279763681078,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5662930817890295,1.5214967092439113e-11,-1.2177653715936573e-10,-1.0656157006692661e-10,0.015214967092439113,-0.12177653715936572,-0.1065615700669266,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5664555313792653,1.5285988558318793e-11,-1.211492491535008e-10,-1.05863260595182e-10,0.015285988558318793,-0.1211492491535008,-0.10586326059518199,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.566617980969501,1.5357341572218088e-11,-1.2052519252036925e-10,-1.0516785094815116e-10,0.015357341572218087,-0.12052519252036925,-0.10516785094815115,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
0.0,0 nm,0.5667804305597368,1.542902768203624e-11,-1.1990435061345147e-10,-1.0447532293141523e-10,0.01542902768203624,-0.11990435061345146,-0.10447532293141522,0.600694994117024,4.07940366903543e-11,0.0407940366903543,0.0815880733807086,0.4670000000000001,5.878017703936221e-11,0.05878017703936221,0.11756035407872442
