L_support_nm,L_gap_m,N_modes,Nx,E_mix_with_V,E_mix_no_V,delta_E_mix_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,delta_i_mix_avg_A_per_m2,max_abs_phi_tilde_with_edl
0.0,0.0,960,5000,0.6006949941170235,0.4670000000000001,0.13369499411702346,0.0815880733807085,0.11756035407872442,-0.03597228069801592,5.985007073694957
7.142857142857143,7.142857142857144e-09,960,5000,0.5981090301813701,0.4670000000000001,0.13110903018137,0.08363316649117387,0.11756035407872442,-0.03392718758755055,6.03194232998049
14.285714285714286,1.4285714285714288e-08,960,5000,0.5979936121314373,0.4670000000000001,0.13099361213143723,0.08378102810824951,0.11756035407872442,-0.03377932597047491,6.034059296373929
21.42857142857143,2.1428571428571432e-08,960,5000,0.5979864894768443,0.4670000000000004,0.13098648947684388,0.08379017051998844,0.11756035407872527,-0.03377018355873683,6.034183104763597
28.571428571428573,2.8571428571428575e-08,960,5000,0.5979858707685652,0.4670000000000001,0.13098587076856516,0.08379110821577715,0.11756035407872442,-0.03376924586294727,6.034221566628661
35.714285714285715,3.571428571428572e-08,960,5000,0.5979856772091301,0.4670000000000001,0.13098567720913,0.08379154410181537,0.11756035407872442,-0.03376880997690905,6.034222050089619
42.85714285714286,4.2857142857142865e-08,960,5000,0.5979855166850448,0.46699999999999975,0.1309855166850451,0.08379193713280422,0.11756035407872369,-0.03376841694591946,6.034238254877867
50.0,5.0000000000000004e-08,960,5000,0.5979853402897327,0.46699999999999975,0.13098534028973297,0.0837923724300411,0.11756035407872369,-0.03376798164868258,6.03425637658391
57.142857142857146,5.714285714285715e-08,960,5000,0.5979851533767085,0.46699999999999975,0.1309851533767088,0.08379283437444571,0.11756035407872369,-0.03376751970427798,6.034275409728478
64.28571428571429,6.428571428571429e-08,960,5000,0.5979849558591266,0.4670000000000001,0.1309849558591265,0.08379332259698992,0.11756035407872442,-0.0337670314817345,6.034295669161775
71.42857142857143,7.142857142857144e-08,960,5000,0.5979847448991543,0.4670000000000001,0.13098474489915424,0.08379384616337075,0.11756035407872442,-0.03376650791535367,6.03433326078143
78.57142857142857,7.857142857142857e-08,960,5000,0.5979845176214168,0.4670000000000001,0.13098451762141672,0.08379441063362772,0.11756035407872442,-0.0337659434450967,6.034357612184403
85.71428571428572,8.571428571428573e-08,960,5000,0.5979842880024202,0.4670000000000001,0.13098428800242012,0.08379497681580504,0.11756035407872442,-0.03376537726291938,6.034398536373073
92.85714285714286,9.285714285714286e-08,960,5000,0.597984042695464,0.4670000000000005,0.1309840426954635,0.08379558272164031,0.11756035407872548,-0.033764771357085166,6.034389341391485
100.0,1.0000000000000001e-07,960,5000,0.5979837800690776,0.4670000000000001,0.13098378006907752,0.08379623395259266,0.11756035407872442,-0.033764120126131766,6.03441598808122
