L_support_nm,L_Au_nm,L_Pd_len_nm,L_total_nm,lambda_D_nm,E_mix_with_V,E_mix_no_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,max_abs_phi_tilde,phi_s_min_mV,phi_s_max_mV
0.0,25.0,25.0,50.0,3.0412178890177213,0.6006949941170235,0.4670000000000001,0.0815880733807085,0.11756035407872442,5.985007073694957,-153.684883096736,-0.7692950672844012
2.0,25.0,25.0,52.0,3.0412178890177213,0.5990536442533316,0.4670000000000004,0.08253330278766097,0.11756035407872527,6.014838394036538,-154.45090106845495,-0.7575561193384939
3.0,25.0,25.0,53.0,3.0412178890177213,0.5986769316818208,0.4670000000000001,0.08294070641533553,0.11756035407872442,6.021659112726379,-154.62604561575097,-0.7146573007685001
10.0,25.0,25.0,59.99999999999999,3.0412178890177213,0.5980255004918001,0.4670000000000001,0.08374023183949199,0.11756035407872442,6.033459857051831,-154.9290688185276,18.65192698315698
1000.0,25.0,24.999999999999773,1050.0,3.0412178890177213,0.5979682539720167,0.4670000000000001,0.08383301366598922,0.11756035407872442,6.034580464171503,-154.9578441185501,29.82940693095761
