L_support_nm,L_gap_m,N_modes,Nx,E_mix_with_V,E_mix_no_V,delta_E_mix_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,delta_i_mix_avg_A_per_m2,max_abs_phi_tilde_with_edl
0.0,0.0,960,5000,0.6006949941170235,0.4670000000000001,0.13369499411702346,0.0815880733807085,0.11756035407872442,-0.03597228069801592,5.985007073694957
71.42857142857143,7.142857142857144e-08,960,5000,0.5979847448991543,0.4670000000000001,0.13098474489915424,0.08379384616337075,0.11756035407872442,-0.03376650791535367,6.03433326078143
142.85714285714286,1.4285714285714287e-07,960,5000,0.5979820089707313,0.46699999999999975,0.13098200897073153,0.08380061915182238,0.11756035407872369,-0.033759734926901305,6.034329978725962
214.28571428571428,2.1428571428571428e-07,960,5000,0.5979782370965536,0.4669999999999993,0.13097823709655432,0.08380994952032182,0.11756035407872263,-0.03375040455840081,6.0350190153090875
285.7142857142857,2.8571428571428575e-07,960,5000,0.5979734845529412,0.4669999999999993,0.1309734845529419,0.08382167956627194,0.11756035407872263,-0.03373867451245069,6.034645389378992
357.14285714285717,3.571428571428572e-07,960,5000,0.5979676277589266,0.4669999999999985,0.13096762775892812,0.0838362291092776,0.11756035407872087,-0.03372412496944327,6.036231117105443
428.57142857142856,4.2857142857142857e-07,960,5000,0.5979609504459581,0.4670000000000001,0.130960950445958,0.08385270855078389,0.11756035407872442,-0.03370764552794053,6.036485525774644
500.0,5.000000000000001e-07,960,5000,0.5979539216690922,0.4670000000000001,0.13095392166909214,0.08387002636156175,0.11756035407872442,-0.03369032771716267,6.036497667487952
571.4285714285714,5.714285714285715e-07,960,5000,0.5979456635692065,0.4670000000000001,0.13094566356920645,0.08389046626277359,0.11756035407872442,-0.03366988781595083,6.036916336901083
642.8571428571429,6.428571428571429e-07,960,5000,0.5979371901970699,0.4670000000000001,0.13093719019706984,0.08391125674764692,0.11756035407872442,-0.0336490973310775,6.037742324847269
714.2857142857143,7.142857142857144e-07,960,5000,0.5979274085269767,0.4669999999999985,0.13092740852697815,0.08393514011324266,0.11756035407872087,-0.03362521396547821,6.036686525906413
785.7142857142858,7.857142857142858e-07,960,5000,0.5979177410964355,0.4669999999999971,0.1309177410964384,0.08395931211795156,0.11756035407871765,-0.03360104196076609,6.040575604147815
857.1428571428571,8.571428571428571e-07,960,5000,0.5979064676969782,0.4670000000000001,0.1309064676969781,0.08398664927950333,0.11756035407872442,-0.03357370479922109,6.0375340349656135
928.5714285714286,9.285714285714287e-07,960,5000,0.5978955734151481,0.4670000000000032,0.1308955734151449,0.0840134130755781,0.11756035407873162,-0.03354694100315353,6.038780997776758
1000.0,1.0000000000000002e-06,960,5000,0.5978816403940779,0.4670000000000001,0.1308816403940778,0.08404956614533075,0.11756035407872442,-0.03351078793339367,6.046654479678871
