N_modes,Nx,is_production,nominal_L_total_over_N_modes_nm,E_mix_V,i_mix_abs_A,i_mix_avg_A_per_m2,max_abs_phi_tilde,relative_balance_residual,delta_E_vs_production_uV,delta_i_vs_production_percent
960,5000,False,1.09375,0.5987365133993439,4.132674566814664e-11,0.08265349133629327,6.028160285467676,2.023329415802807e-11,-48.654184477525675,0.13533129294931445
960,10001,False,1.09375,0.598743256379741,4.131954745167807e-11,0.08263909490335614,6.028036178953171,2.0214375669520604e-11,-41.9112040803693,0.1178899053165594
1920,10001,False,0.546875,0.5987736210749701,4.128417798069645e-11,0.08256835596139289,6.021329623306205,2.019694357721796e-11,-11.546508851267845,0.03218914090503677
2880,10001,False,0.3645833333333333,0.5987794816206643,4.127728842513258e-11,0.08255457685026515,6.02007479473642,2.0192016981621754e-11,-5.685963157087137,0.015495643323859554
3840,10001,False,0.2734375,0.5987814719861264,4.1274925004045614e-11,0.08254985000809122,6.01977935827923,2.018965039698682e-11,-3.6955976949748504,0.009769038199203273
3840,20000,False,0.2734375,0.5987841470159301,4.12720955407217e-11,0.0825441910814434,6.019730740675451,2.0183988464736767e-11,-1.0205678913077776,0.0029132056689418206
4800,20000,True,0.21875,0.5987851675838214,4.127089323472036e-11,0.08254178646944071,6.019831589018242,2.018207112687705e-11,0.0,0.0
