potential_V,I_Au_with_EDL_A,I_Pd_with_EDL_A,I_total_with_EDL_A,I_Au_without_EDL_A,I_Pd_without_EDL_A,I_total_without_EDL_A,I_Au_with_EDL_1e-3_uA,I_Pd_with_EDL_1e-3_uA,I_Au_without_EDL_1e-3_uA,I_Pd_without_EDL_1e-3_uA
-0.02,1.2746052550003145e-18,-0.014062718214065306,-0.014062718214065304,4.476536574119543e-15,-7.718264233009895e-07,-7.718264188244529e-07,1.2746052550003146e-09,-14062718.214065306,4.476536574119543e-06,-771.8264233009895
-0.019133333333333332,1.305428375214232e-18,-0.013680663348999622,-0.01368066334899962,4.5527212044273116e-15,-7.589107827245854e-07,-7.589107781718642e-07,1.305428375214232e-09,-13680663.348999621,4.552721204427312e-06,-758.9107827245854
-0.018266666666666667,1.3369984975013607e-18,-0.013308988788166914,-0.013308988788166913,4.630202394653454e-15,-7.46211270757494e-07,-7.462112661272916e-07,1.3369984975013607e-09,-13308988.788166914,4.630202394653454e-06,-746.211270757494
-0.0174,1.3693337629646713e-18,-0.012947412484944295,-0.012947412484944293,4.709002210503546e-15,-7.337242707323534e-07,-7.337242660233512e-07,1.3693337629646712e-09,-12947412.484944295,4.709002210503546e-06,-733.7242707323534
-0.016533333333333334,1.4024527541296129e-18,-0.012595660056733246,-0.012595660056733245,4.78914309321179e-15,-7.214462265026241e-07,-7.21446221713481e-07,1.4024527541296129e-09,-12595660.056733247,4.78914309321179e-06,-721.4462265026241
-0.015666666666666666,1.436374505704952e-18,-0.01225346457669469,-0.012253464576694689,4.870647865932006e-15,-7.093736414298592e-07,-7.093736365592114e-07,1.436374505704952e-09,-12253464.576694692,4.870647865932006e-06,-709.3736414298592
-0.0148,1.4711185156064159e-18,-0.011920566371143153,-0.011920566371143151,4.953539740237388e-15,-6.975030773878841e-07,-6.975030724343443e-07,1.471118515606416e-09,-11920566.371143153,4.953539740237388e-06,-697.5030773878841
-0.013933333333333332,1.506704756249515e-18,-0.011596712822447579,-0.011596712822447577,5.037842322730876e-15,-6.858311537836769e-07,-6.858311487458346e-07,1.506704756249515e-09,-11596712.82244758,5.037842322730875e-06,-685.8311537836769
-0.013066666666666667,1.543153686118191e-18,-0.01128165817728799,-0.011281658177287988,5.123579621768038e-15,-6.743545465946066e-07,-6.74354541471027e-07,1.543153686118191e-09,-11281658.17728799,5.123579621768038e-06,-674.3545465946065
-0.012199999999999999,1.5804862616159735e-18,-0.01097516336012309,-0.010975163360123089,5.210776054294359e-15,-6.630699874217945e-07,-6.630699822110185e-07,1.5804862616159735e-09,-10975163.36012309,5.210776054294359e-06,-663.0699874217945
-0.011333333333333332,1.6187239492066148e-18,-0.01067699579172702,-0.010676995791727019,5.299456452798882e-15,-6.519742625593133e-07,-6.519742572598569e-07,1.6187239492066149e-09,-10676995.791727021,5.2994564527988815e-06,-651.9742625593133
-0.010466666666666666,1.6578887378512325e-18,-0.010386929212657431,-0.01038692921265743,5.3896460723862106e-15,-6.410642120789628e-07,-6.410642066893167e-07,1.6578887378512324e-09,-10386929.212657431,5.389646072386211e-06,-641.0642120789628
-0.0096,1.698003151749264e-18,-0.010104743511521009,-0.010104743511521007,5.481370597968854e-15,-6.303367289303623e-07,-6.303367234489917e-07,1.698003151749264e-09,-10104743.51152101,5.481370597968854e-06,-630.3367289303623
-0.008733333333333333,1.7390902633906153e-18,-0.00983022455790575,-0.009830224557905748,5.574656151581979e-15,-6.197887580560924e-07,-6.197887524814362e-07,1.7390902633906154e-09,-9830224.55790575,5.574656151581979e-06,-619.7887580560924
-0.007866666666666666,1.7811737069266622e-18,-0.009563164039853838,-0.009563164039853836,5.669529299822646e-15,-6.094172955216658e-07,-6.094172898521365e-07,1.7811737069266623e-09,-9563164.039853837,5.669529299822645e-06,-609.4172955216658
-0.006999999999999999,1.8242776918678743e-18,-0.009303359305750679,-0.009303359305750677,5.766017061415657e-15,-5.992193876600264e-07,-5.992193818940094e-07,1.8242776918678742e-09,-9303359.30575068,5.766017061415657e-06,-599.2193876600264
-0.006133333333333333,1.8684270171160787e-18,-0.009050613210511253,-0.009050613210511252,5.864146914908173e-15,-5.891921302303961e-07,-5.891921243662491e-07,1.8684270171160785e-09,-9050613.210511254,5.864146914908173e-06,-589.1921302303961
-0.005266666666666666,1.91364708533951e-18,-0.008804733965945994,-0.008804733965945992,5.963946806495252e-15,-5.793326675911725e-07,-5.793326616272257e-07,1.9136470853395097e-09,-8804733.965945994,5.963946806495252e-06,-579.3326675911725
-0.004399999999999999,1.9599639176991034e-18,-0.00856553499519322,-0.008565534995193217,6.065445157978601e-15,-5.696381918866797e-07,-5.696381858212345e-07,1.9599639176991033e-09,-8565534.995193219,6.065445157978601e-06,-569.6381918866797
-0.0035333333333333328,2.007404168934545e-18,-0.008332834791107366,-0.008332834791107364,6.168670874860751e-15,-5.601059422475248e-07,-5.60105936078854e-07,2.0074041689345447e-09,-8332834.791107366,6.168670874860751e-06,-560.1059422475248
-0.0026666666666666644,2.0559951428189546e-18,-0.008106456778495613,-0.008106456778495611,6.273653354577004e-15,-5.507332040043374e-07,-5.50733197730684e-07,2.0559951428189544e-09,-8106456.7784956135,6.273653354577004e-06,-550.7332040043374
-0.0017999999999999995,2.1057648079911722e-18,-0.007886229180098082,-0.00788622918009808,6.380422494867465e-15,-5.415173079146572e-07,-5.415173015342347e-07,2.105764807991172e-09,-7886229.180098082,6.380422494867465e-06,-541.5173079146572
-0.0009333333333333312,2.1567418141749173e-18,-0.007671984886210374,-0.007671984886210372,6.4890087022915505e-15,-5.324556294027773e-07,-5.324556229137686e-07,2.156741814174917e-09,-7671984.886210374,6.489008702291551e-06,-532.4556294027773
-6.666666666666626e-05,2.2089555087942727e-18,-0.0074635613278488415,-0.007463561327848839,6.599442900887419e-15,-5.235455878122913e-07,-5.235455812128484e-07,2.208955508794273e-09,-7463561.327848841,6.599442900887419e-06,-523.5455878122913
0.0008000000000000021,2.262435953995209e-18,-0.007260800353362665,-0.0072608003533626625,6.7117565409787475e-15,-5.147846456711477e-07,-5.147846389593912e-07,2.262435953995209e-09,-7260800.3533626655,6.711756540978748e-06,-514.7846456711477
0.001666666666666667,2.317213944083077e-18,-0.007063548108399202,-0.0070635481083991996,6.8259816081314254e-15,-5.0617030796902e-07,-5.061703011430383e-07,2.317213944083077e-09,-7063548.108399202,6.825981608131425e-06,-506.17030796902
0.0025333333333333354,2.3733210233862454e-18,-0.006871654919131048,-0.006871654919131045,6.942150632262634e-15,-4.977001214467504e-07,-4.977001145045998e-07,2.3733210233862452e-09,-6871654.919131048,6.9421506322626334e-06,-497.7001214467504
0.0034000000000000002,2.430789504556329e-18,-0.00668497517865654,-0.006684975178656538,7.060296696904985e-15,-4.893716738976946e-07,-4.893716668373979e-07,2.430789504556329e-09,-6684975.17865654,7.060296696904985e-06,-489.3716738976946
