result_schema_version,electrostatic_backend,d_Au_Pd_m,d_Au_Pd_nm,d_over_lambda_D,E_mix_with_EDL_V,E_mix_without_EDL_V,delta_E_total_EDL_V,i_mix_avg_with_EDL_A_per_m2,i_mix_avg_without_EDL_A_per_m2,delta_i_total_EDL_A_per_m2,I_Au_with_EDL_A,I_Pd_with_EDL_A,relative_balance_residual,max_abs_phi_tilde,N_modes,n_coefficients,Nx,E_mix_no_overlap_100nm_V,i_mix_avg_no_overlap_100nm_A_per_m2,delta_E_overlap_vs_100nm_V,delta_i_overlap_vs_100nm_A_per_m2,reference_100nm_plateau_validated
2,semi_infinite_cosine_fourier,0.0,0.0,0.0,0.600694994124757,0.46699999999999997,0.13369499412475705,0.0815880735947346,0.11756035407872421,-0.03597228048398961,4.0794036797367303e-11,-4.079403679858366e-11,1.4908504545479562e-11,5.985007073554398,960,961,5000,0.5987867356929933,0.08253824808408368,0.0019082584317636764,-0.0009501744893490732,True
2,semi_infinite_cosine_fourier,5e-10,0.5,0.164407818922009,0.6003451280188611,0.46699999999999997,0.13334512801886111,0.08153192523788871,0.11756035407872421,-0.0360284288408355,4.076596261894436e-11,-4.076596262019665e-11,1.535946588096442e-11,5.991366044339603,960,961,5000,0.5987867356929933,0.08253824808408368,0.0015583923258677412,-0.0010063228461949653,True
2,semi_infinite_cosine_fourier,1e-09,1.0,0.328815637844018,0.6000719080148094,0.46699999999999997,0.1330719080148094,0.08159113232749958,0.11756035407872421,-0.035969221751224634,4.0795566163749795e-11,-4.0795566165059403e-11,1.605086016152795e-11,5.996338414028644,960,961,5000,0.5987867356929933,0.08253824808408368,0.0012851723218160194,-0.0009471157565840993,True
2,semi_infinite_cosine_fourier,1.5000000000000002e-09,1.5000000000000002,0.4932234567660271,0.599849800076273,0.46699999999999997,0.132849800076273,0.08168633008696305,0.11756035407872421,-0.035874023991761164,4.084316504348153e-11,-4.084316504484565e-11,1.6699541112955966e-11,6.000349388268738,960,961,5000,0.5987867356929933,0.08253824808408368,0.0010630643832796327,-0.0008519179971206298,True
2,semi_infinite_cosine_fourier,2e-09,2.0,0.657631275688036,0.5996672633567894,0.46699999999999997,0.13266726335678947,0.0817905769552944,0.11756035407872421,-0.03576977712342981,4.08952884776472e-11,-4.089528847905983e-11,1.7271312519683416e-11,6.003685126800331,960,961,5000,0.5987867356929933,0.08253824808408368,0.0008805276637960935,-0.0007476711287892762,True
2,semi_infinite_cosine_fourier,2.5e-09,2.5,0.8220390946100451,0.5995166176256477,0.46699999999999997,0.1325166176256477,0.08189199223359513,0.11756035407872421,-0.03566836184512909,4.094599611679757e-11,-4.094599611825166e-11,1.7756229935341376e-11,6.006400626919236,960,961,5000,0.5987867356929933,0.08253824808408368,0.0007298819326543304,-0.0006462558504885529,True
2,semi_infinite_cosine_fourier,3.0000000000000004e-09,3.0000000000000004,0.9864469135320542,0.5993920655357766,0.46699999999999997,0.13239206553577665,0.08198528290444994,0.11756035407872421,-0.035575071174274275,4.099264145222497e-11,-4.0992641453713954e-11,1.8161592068183367e-11,6.00867057594219,960,961,5000,0.5987867356929933,0.08253824808408368,0.0006053298427832754,-0.0005529651796337409,True
2,semi_infinite_cosine_fourier,3.0412178890180004e-09,3.0412178890180006,1.0000000000000917,0.5993828141510273,0.46699999999999997,0.13238281415102737,0.08199253015989673,0.11756035407872421,-0.035567823918827485,4.0996265079948366e-11,-4.0996265081440025e-11,1.8192616730937795e-11,6.008847638879985,960,961,5000,0.5987867356929933,0.08253824808408368,0.0005960784580339995,-0.0005457179241869503,True
2,semi_infinite_cosine_fourier,3.5000000000000003e-09,3.5000000000000004,1.1508547324540632,0.5992890074621228,0.46699999999999997,0.1322890074621228,0.08206839565462593,0.11756035407872421,-0.03549195842409829,4.1034197827312967e-11,-4.103419782883126e-11,1.850030090392552e-11,6.010550523953249,960,961,5000,0.5987867356929933,0.08253824808408368,0.0005022717691294254,-0.00046985242945775385,True
2,semi_infinite_cosine_fourier,4e-09,4.0,1.315262551376072,0.5992036968959431,0.46699999999999997,0.13220369689594313,0.08214096811456112,0.11756035407872421,-0.035419385964163094,4.107048405728056e-11,-4.107048405882348e-11,1.8783781832584064e-11,6.012097159598698,960,961,5000,0.5987867356929933,0.08253824808408368,0.0004169612029497616,-0.00039727996952255984,True
2,semi_infinite_cosine_fourier,4.500000000000001e-09,4.500000000000001,1.4796703702980813,0.5991330554801538,0.46699999999999997,0.13213305548015386,0.08220349050126696,0.11756035407872421,-0.03535686357745725,4.110174525063348e-11,-4.1101745252196904e-11,1.9018937601678556e-11,6.0133755620213165,960,961,5000,0.5987867356929933,0.08253824808408368,0.0003463197871604873,-0.0003347575828167165,True
2,semi_infinite_cosine_fourier,5e-09,5.0,1.6440781892200902,0.5990745439536022,0.46699999999999997,0.13207454395360219,0.08225685128013553,0.11756035407872421,-0.03530350279858868,4.112842564006777e-11,-4.112842564164808e-11,1.9211885072340783e-11,6.014436829848929,960,961,5000,0.5987867356929933,0.08253824808408368,0.0002878082606088128,-0.00028139680394814737,True
2,semi_infinite_cosine_fourier,5.5000000000000004e-09,5.500000000000001,1.8084860081420993,0.59902606361074,0.46699999999999997,0.13202606361073999,0.08230208913705943,0.11756035407872421,-0.035258264941664785,4.1151044568529717e-11,-4.1151044570124056e-11,1.9371791756363612e-11,6.01531954933748,960,961,5000,0.5987867356929933,0.08253824808408368,0.00023932791774661233,-0.0002361589470242509,True
2,semi_infinite_cosine_fourier,6.000000000000001e-09,6.000000000000001,1.9728938270641083,0.5989858793135454,0.46699999999999997,0.13198587931354544,0.08234025572663385,0.11756035407872421,-0.03522009835209036,4.117012786331693e-11,-4.117012786492326e-11,1.9508477798409024e-11,6.0160513038592125,960,961,5000,0.5987867356929933,0.08253824808408368,0.0001991436205520669,-0.00019799235744982768,True
2,semi_infinite_cosine_fourier,6.082435778035001e-09,6.082435778035001,1.9999999999998548,0.5989799473449062,0.46699999999999997,0.13197994734490626,0.0823459395117476,0.11756035407872421,-0.03521441456697662,4.11729697558738e-11,-4.117296975748188e-11,1.9528398810508683e-11,6.016139574345308,960,961,5000,0.5987867356929933,0.08253824808408368,0.00019321165191288348,-0.00019230857233608345,True
2,semi_infinite_cosine_fourier,6.5e-09,6.5,2.1373016459861174,0.5989525573439884,0.46699999999999997,0.13195255734398847,0.08237234246981232,0.11756035407872421,-0.0351880116089119,4.118617123490616e-11,-4.118617123652232e-11,1.9620205452732843e-11,6.016649392146466,960,961,5000,0.5987867356929933,0.08253824808408368,0.0001658216509951016,-0.00016590561427136385,True
2,semi_infinite_cosine_fourier,7.000000000000001e-09,7.000000000000001,2.3017094649081264,0.5989249139728341,0.46699999999999997,0.13192491397283412,0.08239924594763527,0.11756035407872421,-0.03516110813108894,4.119962297381764e-11,-4.119962297544202e-11,1.9713558923218984e-11,6.017127433492076,960,961,5000,0.5987867356929933,0.08253824808408368,0.00013817827984075048,-0.0001390021364484073,True
2,semi_infinite_cosine_fourier,7.500000000000001e-09,7.500000000000001,2.4661172838301355,0.5989019687671986,0.46699999999999997,0.13190196876719862,0.08242176422728231,0.11756035407872421,-0.0351385898514419,4.121088211364116e-11,-4.121088211527234e-11,1.9790655977450515e-11,6.017568353323474,960,961,5000,0.5987867356929933,0.08253824808408368,0.00011523307420524542,-0.00011648385680136653,True
2,semi_infinite_cosine_fourier,8e-09,8.0,2.630525102752144,0.5988829114796129,0.46699999999999997,0.13188291147961295,0.08244059082399802,0.11756035407872421,-0.0351197632547262,4.1220295411999014e-11,-4.122029541363577e-11,1.985378526892136e-11,6.017912568666638,960,961,5000,0.5987867356929933,0.08253824808408368,9.617578661957893e-05,-9.765726008566233e-05,True
2,semi_infinite_cosine_fourier,8.5e-09,8.5,2.794932921674153,0.5988670782273406,0.46699999999999997,0.13186707822734067,0.08245630850769847,0.11756035407872421,-0.03510404557102574,4.122815425384924e-11,-4.122815425549067e-11,1.990666445491496e-11,6.018191030275167,960,961,5000,0.5987867356929933,0.08253824808408368,8.034253434729965e-05,-8.193957638520655e-05,True
2,semi_infinite_cosine_fourier,9.000000000000001e-09,9.000000000000002,2.9593407405961627,0.5988539121625946,0.46699999999999997,0.13185391216259468,0.08246943226211627,0.11756035407872421,-0.035090921816607945,4.123471613105814e-11,-4.123471613270366e-11,1.9953098828745778e-11,6.018440381789244,960,961,5000,0.5987867356929933,0.08253824808408368,6.717646960130441e-05,-6.881582196741065e-05,True
2,semi_infinite_cosine_fourier,9.123653667053e-09,9.123653667053,2.9999999999999463,0.5988510136933565,0.46699999999999997,0.1318510136933565,0.08247232674473456,0.11756035407872421,-0.03508802733398965,4.123616337236728e-11,-4.123616337401364e-11,1.9962585058160314e-11,6.018481092708482,960,961,5000,0.5987867356929933,0.08253824808408368,6.427800036312714e-05,-6.592133934911482e-05,True
2,semi_infinite_cosine_fourier,9.5e-09,9.5,3.1237485595181713,0.5988429618021132,0.46699999999999997,0.1318429618021132,0.08248037716227329,0.11756035407872421,-0.03507997691645093,4.124018858113665e-11,-4.124018858278532e-11,1.9988685977007217e-11,6.018636534868259,960,961,5000,0.5987867356929933,0.08253824808408368,5.622610911981685e-05,-5.787092181039344e-05,True
2,semi_infinite_cosine_fourier,1e-08,10.0,3.2881563784401804,0.5988338455785036,0.46699999999999997,0.13183384557850364,0.08248951169562958,0.11756035407872421,-0.03507084238309463,4.12447558478148e-11,-4.1244755849466154e-11,2.0018984220650293e-11,6.0187860170772005,960,961,5000,0.5987867356929933,0.08253824808408368,4.710988551026585e-05,-4.873638845409589e-05,True
2,semi_infinite_cosine_fourier,1.5000000000000002e-08,15.000000000000002,4.932234567660271,0.5987955328242827,0.46699999999999997,0.1317955328242827,0.08252804389100521,0.11756035407872421,-0.035032310187719004,4.1264021945502604e-11,-4.126402194716559e-11,2.015058617606205e-11,6.019482949831801,960,961,5000,0.5987867356929933,0.08253824808408368,8.797131289317583e-06,-1.0204193078469648e-05,True
