x_m,x_nm,phi_tilde,phi_s_V,c_Red1_over_c_bulk,c_Ox2_over_c_bulk,j_Au_A_per_m2,j_Pd_A_per_m2
0.0,0.0,-6.018765748739554,-0.154551748910568,0.0024326702691967327,411.0709176916935,0.15106998264324084,nan
3e-11,0.03,-6.018775286991048,-0.1545519938367724,0.002432647065886564,411.07483860818746,0.1510692621732151,nan
6e-11,0.06,-6.018786016315312,-0.15455226934771582,0.0024326209653673936,411.0792491870891,0.1510684517398388,nan
9e-11,0.09,-6.018777801145559,-0.15455205839601807,0.0024326409498436575,411.0758721151466,0.15106907226760094,nan
1.2e-10,0.12,-6.0187659940592955,-0.15455175520996503,0.0024326696724147646,411.0710185355171,0.15106996411301746,nan
1.5e-10,0.15,-6.018772662564338,-0.1545519264459227,0.0024326534501988768,411.07375977381696,0.15106946040844849,nan
1.8e-10,0.18,-6.018785229717299,-0.15455224914920607,0.0024326228788629648,411.0789258330955,0.15106851115492248,nan
2.0999999999999997e-10,0.20999999999999996,-6.018780044712228,-0.15455211600702456,0.0024326354920576262,411.0767943923064,0.15106890280092833,nan
2.4e-10,0.24,-6.0187667097808735,-0.1545517735884875,0.002432667931301211,411.07131274802043,0.1510699100510106,nan
2.7e-10,0.27,-6.018770085346363,-0.15455186026731366,0.0024326597196851546,411.0727003484994,0.15106965507803832,nan
3e-10,0.3,-6.018783696037596,-0.1545522097668991,0.0024326266097301585,411.0782953701744,0.15106862700032153,nan
3.2999999999999995e-10,0.32999999999999996,-6.018781864550046,-0.15455216273738911,0.002432631065059588,411.07754248608376,0.15106876534053965,nan
3.6e-10,0.36,-6.0187678364417465,-0.15455180251923772,0.0024326651905109795,411.07177588624546,0.15106982494875618,nan
3.9e-10,0.39,-6.018767700129512,-0.15455179901896954,0.00243266552211303,411.071719852137,0.1510698352450892,nan
4.1999999999999995e-10,0.41999999999999993,-6.018781491825791,-0.15455215316645915,0.0024326319717603586,411.07738926754155,0.15106879349403876,nan
4.4999999999999995e-10,0.44999999999999996,-6.018783124235089,-0.15455219508397552,0.0024326280007125516,411.0780603146415,0.15106867019103756,nan
4.8e-10,0.48,-6.018769279028563,-0.15455183956243307,0.0024326616811827786,411.0723688933976,0.15106971598312657,nan
5.1e-10,0.51,-6.018765629931581,-0.15455174585977974,0.0024326705582173743,411.0708688531938,0.15106999161740034,nan
5.4e-10,0.54,-6.018778725852716,-0.1545520821409376,0.0024326387003642006,411.0762522401234,0.15106900242029092,nan
5.7e-10,0.57,-6.018783712543296,-0.15455221019073762,0.002432626569577954,411.0783021553094,0.1510686257535748,nan
6e-10,0.6,-6.018770912846501,-0.15455188151612095,0.002432657706659734,411.0730405113563,0.15106959257297106,nan
6.3e-10,0.63,-6.018763968242215,-0.1545517031904006,0.0024326746005635296,411.07018578167003,0.15107011713315177,nan
6.599999999999999e-10,0.6599999999999999,-6.018775532267444,-0.1545520001350564,0.0024326464692157306,411.07493943515493,0.1510692436463541,nan
6.9e-10,0.69,-6.018783550345553,-0.15455220602577327,0.0024326269641445257,411.0782354793419,0.1510686380050704,nan
7.2e-10,0.72,-6.0187725912203796,-0.15455192461393022,0.0024326536237540093,411.07373044618885,0.15106946579739522,nan
7.5e-10,0.75,-6.018762773084443,-0.15455167250076562,0.002432677507995222,411.06969448823634,0.15107020740949104,nan
7.8e-10,0.78,-6.018772062147686,-0.15455191102823618,0.002432654910804954,411.0735129583607,0.15106950576076505,nan
8.1e-10,0.8099999999999999,-6.018782595485531,-0.15455218150657904,0.0024326292869638715,411.07784295735627,0.15106871012978912,nan
8.399999999999999e-10,0.8399999999999999,-6.0187741545495825,-0.15455196475758634,0.002432649820718531,411.0743730902586,0.15106934771178757,nan
8.7e-10,0.87,-6.018762063261301,-0.154551654273705,0.0024326792347666285,411.0694027015575,0.15107026102606522,nan
8.999999999999999e-10,0.8999999999999999,-6.018768473967519,-0.15455181888982386,0.002432663639624719,411.0720379551805,0.1510697767933104,nan
9.3e-10,0.93,-6.018780845335678,-0.15455213656568387,0.002432633544433385,411.0771235101596,0.15106884232628734,nan
