gap_nm,x_nm,phi_tilde,phi_s_mV,c_Red1_over_c_bulk,c_Ox2_over_c_bulk
5.0,0.0,-4.351618222011254,-111.74221341705827,0.012885943382318996,77.6039417783036
5.0,0.003125,-4.343109951109075,-111.5237353763716,0.012996048216109881,76.94646737001187
5.0,0.00625,-4.334642295946674,-111.30630027935112,0.013106561504760403,76.29766202499354
5.0,0.009375,-4.326214913938054,-111.08989932896651,0.013217482234589791,75.65737424507576
5.0,0.0125,-4.317827466993046,-110.87452384363266,0.013328809388228474,75.02545582827256
5.0,0.015625,-4.309479621439114,-110.66016525520183,0.013440541944627576,74.40176178310412
5.0,0.01875,-4.301171047944869,-110.44681510699968,0.013552678879068273,73.78615024550398
5.0,0.021875000000000002,-4.292901421445214,-110.23446505190302,0.013665219163171403,73.17848239822314
5.0,0.025,-4.284670421068119,-110.02310685045947,0.01377816176490686,72.57862239264831
5.0,0.028125,-4.276477730063761,-109.81273236906807,0.013891505648591766,71.9864372730089
5.0,0.03125,-4.268323035736697,-109.60333357823744,0.014005249774867126,71.40179690293938
5.0,0.034375,-4.260206029374568,-109.3949025507551,0.014119393100742826,70.82457389385877
5.0,0.0375,-4.252126406180091,-109.18743145994114,0.014233934579618315,70.2546435355905
5.0,0.040625,-4.244083865205264,-108.98091257795859,0.014348873161292356,69.69188372907279
5.0,0.043750000000000004,-4.236078109286951,-108.77533827415961,0.014464207791972735,69.13617492103332
5.0,0.046875,-4.228108844983806,-108.5707010134655,0.014579937414286124,68.58740004056203
5.0,0.05,-4.220175782514508,-108.36699335478087,0.014696060967287875,68.04544443752044
5.0,0.053125000000000006,-4.212278635697994,-108.164207949459,0.014812577386461143,67.51019582277496
5.0,0.05625,-4.2044171218962445,-107.96233753983233,0.014929485603696143,66.98154421023231
5.0,0.059375000000000004,-4.1965909619539605,-107.76137495766388,0.01504678454733286,66.45938186024313
5.0,0.0625,-4.188799880141009,-107.56131312266902,0.015164473142181525,65.94360322472386
5.0,0.065625,-4.181043604096755,-107.36214504108622,0.015282550309532404,65.43410489388383
5.0,0.06875,-4.173321864775493,-107.16386380427575,0.01540101496716597,64.93078554445532
5.0,0.071875,-4.165634396392996,-106.96646258734712,0.015519866029362976,64.4335458893807
5.0,0.075,-4.1579809363741305,-106.76993464781394,0.015639102406914566,63.94228862890921
5.0,0.078125,-4.150361225302163,-106.57427332429218,0.015758723007122343,63.45691840309891
5.0,0.08125,-4.14277500687022,-106.37947203525383,0.015878726733779967,62.977341745709836
5.0,0.084375,-4.135222027829975,-106.18552427770915,0.015999112487213963,62.50346703913555
5.0,0.08750000000000001,-4.127702037942689,-105.99242362594957,0.01611987916430366,62.03520447066562
5.0,0.090625,-4.120214789931828,-105.80016373033092,0.016241025658491497,61.57246598998861
5.0,0.09375,-4.1127600394366155,-105.60873831608077,0.016362550859793292,61.11516526785806
5.0,0.096875,-4.105337544966486,-105.41814118212889,0.016484453654808585,60.663217655884864
5.0,0.1,-4.097947067856416,-105.22836619996016,0.016606732926731205,60.216540147420524
5.0,0.10312500000000001,-4.090588372223708,-105.03940731250492,0.016729387555350046,59.775051339533384
5.0,0.10625000000000001,-4.0832612249266,-104.8512585330761,0.016852416417032896,59.338671396067014
5.0,0.10937500000000001,-4.075965395520386,-104.66391394424247,0.016975818384765435,58.90732201149297
5.0,0.1125,-4.068700656215549,-104.4773676967536,0.01709959232817097,58.480926375802284
5.0,0.115625,-4.061466781837255,-104.29161400849968,0.01722373711352071,58.05940914036568
5.0,0.11875000000000001,-4.054263549785581,-104.10664716349031,0.017348251603744695,57.64269638469767
5.0,0.12187500000000001,-4.047090739996532,-103.92246151085338,0.017473134658442215,57.230715584100764
5.0,0.125,-4.0399481349037725,-103.7390514638525,0.017598385133892495,56.823395578160934
5.0,0.12812500000000002,-4.03283551940158,-103.5564114989357,0.0177240018830566,56.4206665400977
5.0,0.13125,-4.025752680809397,-103.3745361548251,0.017849983755562984,56.02245994696483
5.0,0.13437500000000002,-4.0186994088341175,-103.19342003154856,0.01797632959774511,55.62870855046164
5.0,0.1375,-4.01167549553413,-103.01305778951635,0.01810303825266061,55.23934634856277
5.0,0.140625,-4.00468073528449,-102.83344414862687,0.018230108560102227,54.85430855790759
5.0,0.14375,-3.9977149247427506,-102.65457388738919,0.018357539356608565,54.473531586901274
5.0,0.146875,-3.990777862815408,-102.47644184206142,0.018485329475475043,54.096953009505484
5.0,0.15,-3.983869350624967,-102.29904290580507,0.018613477746764792,53.724511539699236
5.0,0.153125,-3.9769891914780513,-102.12237202786608,0.018741982997311304,53.356147006613895
5.0,0.15625,-3.9701371908348935,-101.94642421279151,0.01887084405070576,52.99180033034084
5.0,0.15937500000000002,-3.9633131562767834,-101.77119451959355,0.019000059727333228,52.631413498211984
5.0,0.1625,-3.9565168974750335,-101.59667806095263,0.019129628844391622,52.274929541729065
5.0,0.16562500000000002,-3.9497482261609225,-101.42287000244565,0.019259550215902834,51.92229251409456
5.0,0.16875,-3.943006956096181,-101.24976556178812,0.019389822652723807,51.57344746830492
5.0,0.17187500000000003,-3.936292903044005,-101.07736000808977,0.01952044496255762,51.22834043578981
5.0,0.17500000000000002,-3.92960588474058,-100.90564866112337,0.019651415949964716,50.88691840558163
5.0,0.178125,-3.9229457208675074,-100.7346268906167,0.019782734416366316,50.54912930402063
5.0,0.18125,-3.916312233025438,-100.56429011557547,0.019914399160033285,50.21492197499614
5.0,0.18437499999999998,-3.9097052447058522,-100.39463380355878,0.020046408976121078,49.88424616055584
5.0,0.1875,-3.903124581264158,-100.22565346998812,0.020178762656688578,49.55705248203282
5.0,0.190625,-3.896570069893648,-100.05734467747882,0.020311458990709314,49.23329242165278
5.0,0.19375,-3.890041539599896,-99.8897030351826,0.020444496764082876,48.912918304588025
5.0,0.196875,-3.8835388211756126,-99.72272419814172,0.020577874759646217,48.595883281446916
5.0,0.2,-3.877061747175923,-99.55640386665436,0.0207115917571851,48.282141311185704
5.0,0.203125,-3.8706101518944296,-99.3907377856598,0.020845646533438185,47.97164714444885
5.0,0.20625000000000002,-3.8641838713403325,-99.225721744151,0.020980037862087415,47.66435630733913
5.0,0.209375,-3.85778274321386,-99.0613515745437,0.021114764513791892,47.360225085475754
5.0,0.21250000000000002,-3.8514066068828714,-98.89762315207555,0.02124982525620633,47.05921050846924
5.0,0.215625,-3.845055303360182,-98.7345323942239,0.021385218853992697,46.761270334780626
5.0,0.21875000000000003,-3.8387286752812817,-98.57207526013366,0.021520944068831732,46.466363036939256
5.0,0.221875,-3.8324265668824253,-98.41024775005467,0.02165699965943454,46.174447787109116
5.0,0.225,-3.8261488239790924,-98.2490459047886,0.021793384381554246,45.8854844429942
5.0,0.228125,-3.8198952939451263,-98.08846580515328,0.02193009698799067,45.599433534088725
5.0,0.23125,-3.8136658256927976,-97.92850357147076,0.022067136228582227,45.316256248273866
5.0,0.23437500000000003,-3.8074602696513438,-97.76915536301621,0.022204500850238607,45.035914418641575
5.0,0.23750000000000002,-3.8012784777465254,-97.61041737749302,0.022342189596959217,44.7583705106549
5.0,0.24062499999999998,-3.7951203033808283,-97.45228585052439,0.02248020120984487,44.48358760961912
5.0,0.24375000000000002,-3.788985601413984,-97.29475705515311,0.02261853442710967,44.21152940844125
5.0,0.24687499999999998,-3.782874228143821,-97.13782730134987,0.022757187984092733,43.94216019567091
5.0,0.25,-3.776786041287419,-96.98149293552939,0.02289616061327009,43.67544484381469
5.0,0.253125,-3.770720899962865,-96.82575034008183,0.023035451044259962,43.41134879792956
5.0,0.25625000000000003,-3.76467866467182,-96.67059593292524,0.02317505800381596,43.1498380644977
5.0,0.259375,-3.7586591972807035,-96.5160261670223,0.02331498021585879,42.89087920048084
5.0,0.2625,-3.752662361002771,-96.36203752992027,0.023455216401494523,42.63443930264834
5.0,0.265625,-3.7466880203807587,-96.20862654330514,0.023595765279026577,42.38048599715746
5.0,0.26875000000000004,-3.740736041269802,-96.05578976256315,0.023736625563967707,42.12898742936755
5.0,0.271875,-3.734806290820634,-95.90352377634927,0.02387779596905198,41.87991225388224
5.0,0.275,-3.728898637463044,-95.75182520616251,0.024019275204246935,41.633229624813424
5.0,0.278125,-3.7230129508898653,-95.60069070593465,0.024161061976759324,41.388909186272784
5.0,0.28125,-3.717149102041677,-95.45011696163758,0.024303154991029603,41.1469210630926
5.0,0.284375,-3.7113069630902515,-95.30010069085806,0.024445552948762696,40.90723585168953
5.0,0.2875,-3.705486407422793,-95.15063864239316,0.02458825454894613,40.66982461115202
5.0,0.290625,-3.6996873096266647,-95.00172759585796,0.02473125848786229,40.434658854533595
5.0,0.29375,-3.6939095454743667,-94.85336436129987,0.024874563459100513,40.20171054033689
5.0,0.296875,-3.6881529919087375,-94.70554577881862,0.025018168153569408,39.9709520641833
5.0,0.3,-3.6824175270283956,-94.55826871819242,0.025162071259508978,39.74235625066402
5.0,0.30312500000000003,-3.676703030073631,-94.41153007851568,0.02530627146249714,39.515896345376646
5.0,0.30625,-3.6710093814129463,-94.26532678785341,0.025450767445445107,39.29154600715071
5.0,0.309375,-3.6653364625284395,-94.11965580286584,0.025595557888627544,39.06927930038648
5.0,0.3125,-3.6596841560018962,-93.97451410845137,0.025740641469700516,38.84907068757811
5.0,0.31562500000000004,-3.6540523455013183,-93.82989871740055,0.02588601686371387,38.63089502200571
5.0,0.31875000000000003,-3.648440915767658,-93.68580667005554,0.02603168274312358,38.414727540583435
5.0,0.32187499999999997,-3.642849752601754,-93.54223503397453,0.026177637777804217,38.2005438568598
5.0,0.325,-3.6372787428514655,-93.3991809036015,0.026323880635061324,37.988319954166606
5.0,0.328125,-3.6317277743992116,-93.25664139994615,0.02647040997963839,37.7780321789206
5.0,0.33125000000000004,-3.626196736150088,-93.11461367027876,0.026617224473713282,37.569657234081
5.0,0.334375,-3.6206855180189246,-92.97309488779793,0.026764322776927616,37.36317217269765
5.0,0.3375,-3.615194010917972,-92.83208225131432,0.02691170354640469,37.158554391611396
5.0,0.340625,-3.6097221067449823,-92.6915729849446,0.02705936543676196,36.95578162529388
5.0,0.34375000000000006,-3.6042696983714624,-92.55156433780982,0.027207307100123583,36.75483193981582
5.0,0.346875,-3.598836679631099,-92.4120535837382,0.02735552718613314,36.555683726940295
5.0,0.35000000000000003,-3.5934229453083626,-92.27303802097249,0.027504024341966134,36.35831569833881
5.0,0.353125,-3.5880283911274677,-92.13451497188643,0.027652797212337356,36.16270687993357
5.0,0.35625,-3.582652913741845,-91.99648178271451,0.027801844439498458,35.9688366063687
5.0,0.359375,-3.5772964107226506,-91.85893582325687,0.027951164663266484,35.7766845155545
5.0,0.3625,-3.571958780547836,-91.72187448659858,0.028100756521041804,35.58623054333792
5.0,0.36562500000000003,-3.566639922591568,-91.58529518883803,0.028250618647820663,35.39745491828877
5.0,0.36874999999999997,-3.5613397371137925,-91.44919536881892,0.02840074967620808,35.210338156591746
5.0,0.371875,-3.556058125249961,-91.31357248786647,0.028551148236430502,35.024861057042415
5.0,0.375,-3.550794989000898,-91.1784240295272,0.02870181295634865,34.841004696144346
5.0,0.37812500000000004,-3.5455502312229927,-91.04374749931712,0.028852742461465287,34.65875042331123
5.0,0.38125,-3.540323755618853,-90.90954042448166,0.029003935374923604,34.47807985617655
5.0,0.384375,-3.535115466727069,-90.77580035373288,0.029155390317535265,34.29897487596173
5.0,0.3875,-3.529925269912484,-90.64252485699967,0.029307105907798097,34.12141762294986
5.0,0.39062500000000006,-3.5247530713567765,-90.50971152518579,0.029459080761908972,33.9453904920555
5.0,0.39375,-3.5195987780491707,-90.37735796993148,0.029611313493776704,33.770876128482655
5.0,0.39687500000000003,-3.51446229777728,-90.24546182337826,0.029763802715035016,33.597857423468795
5.0,0.4,-3.5093435391180856,-90.11402073793722,0.029916547035055398,33.426317510113286
5.0,0.403125,-3.504242411429192,-89.98303238606465,0.03006954506095539,33.256239759293095
5.0,0.40625,-3.499158824840507,-89.85249446004815,0.030222795397597813,33.08760777566865
5.0,0.409375,-3.494092690245102,-89.72240467177217,0.030376296647618144,32.920405393736885
5.0,0.41250000000000003,-3.4890439192905296,-89.59276075249497,0.030530047411442197,32.75461667397264
5.0,0.415625,-3.4840124243704125,-89.46356045263255,0.03068404628729919,32.590225899050424
5.0,0.41875,-3.4789981186161576,-89.33480154154606,0.03083829187123467,32.42721757013979
5.0,0.421875,-3.4740009158887744,-89.20648180733153,0.030992782757123756,32.265576403272405
5.0,0.42500000000000004,-3.469020730770814,-89.07859905661303,0.031147517536684145,32.10528732577949
5.0,0.42812500000000003,-3.464057478558566,-88.95115111434217,0.03130249479948463,31.94633547280276
5.0,0.43125,-3.459111075254623,-88.82413582360726,0.0314577131329453,31.788706183880596
5.0,0.434375,-3.4541814375597015,-88.69755104542328,0.0316131711223643,31.632384999572658
5.0,0.43750000000000006,-3.449268482864874,-88.57139465853233,0.0317688673509354,31.477357658158876
5.0,0.440625,-3.4443721292440412,-88.44566455921043,0.031924800399761276,31.323610092405705
5.0,0.44375,-3.439492295446517,-88.32035866107704,0.03208096884786658,31.171128426394183
5.0,0.446875,-3.4346289008897046,-88.19547489490706,0.032237371272211206,31.01989897240801
5.0,0.45,-3.4297818656518766,-88.07101120844537,0.032394006247703604,30.869908227880565
5.0,0.453125,-3.424951110465187,-87.94696556622743,0.03255087234720955,30.72114287240372
5.0,0.45625,-3.420136556709018,-87.82333594940846,0.0327079681415531,30.573589764800232
5.0,0.45937500000000003,-3.415338126402641,-87.7001203555749,0.03286529219954288,30.427235940227206
5.0,0.4625,-3.4105557421982464,-87.57731679856552,0.03302284308798958,30.282068607342303
5.0,0.465625,-3.4057893273741944,-87.45492330829806,0.033180619371719317,30.13807514552683
5.0,0.46875000000000006,-3.4010388058283607,-87.33293793059836,0.033338619613586896,29.99524310216065
5.0,0.471875,-3.3963041020715656,-87.21135872703171,0.03349684237448921,29.853560189947576
5.0,0.47500000000000003,-3.3915851412210927,-87.09018377473623,0.03365528621337859,29.713014284290402
5.0,0.478125,-3.3868818489944132,-86.96941116626198,0.03381394968727213,29.57359342071798
5.0,0.48124999999999996,-3.382194151703225,-86.84903900941765,0.03397283135125308,29.435285792366418
5.0,0.484375,-3.377521976246843,-86.72906542710105,0.03413192975849681,29.29807974748512
5.0,0.48750000000000004,-3.37286525010594,-86.60948855713814,0.0342912434602882,29.16196378699635
5.0,0.49062500000000003,-3.368223901336474,-86.49030655212738,0.03445077100603514,29.026926562102727
5.0,0.49374999999999997,-3.363597858563707,-86.37151757928591,0.034610510943281894,28.89295687193852
5.0,0.496875,-3.358987050976294,-86.25311982029784,0.03477046181772269,28.760043661263502
5.0,0.5,-3.354391408320452,-86.13511147116462,0.03493062217321507,28.628176018198833
5.0,0.503125,-3.349810860894314,-86.01749074205988,0.03509099055178965,28.497343172006858
5.0,0.50625,-3.3452453395425708,-85.90025585719196,0.0352515654936521,28.36753449091713
5.0,0.509375,-3.3406947756505123,-85.78340505465088,0.0354123455372087,28.23873947997241
5.0,0.5125000000000001,-3.3361591011383847,-85.66693658626346,0.03557332921908364,28.110947778920302
5.0,0.5156250000000001,-3.3316382484559264,-85.55084871745292,0.03573451507413255,27.984149160145694
5.0,0.51875,-3.327132150576967,-85.43513972710036,0.03589590163545626,27.858333526639928
5.0,0.521875,-3.32264074099411,-85.31980790740798,0.03605748743441412,27.733490910006566
5.0,0.525,-3.3181639537134666,-85.20485156376412,0.03621927100063784,27.609611468502212
5.0,0.528125,-3.3137017232495722,-85.09026901461253,0.03638125086204122,27.48668548511511
5.0,0.53125,-3.309253984620554,-84.97605859132834,0.036543425544822955,27.36470336568292
5.0,0.534375,-3.3048206733427503,-84.86221863807995,0.03670579357349168,27.243655637026837
5.0,0.5375000000000001,-3.3004017254256137,-84.74874751169807,0.03686835347088323,27.123532945124598
5.0,0.540625,-3.295997077366777,-84.63564358154906,0.03703110375817434,27.004326053318284
5.0,0.54375,-3.291606666147181,-84.52290522940977,0.037194042954896304,26.88602584055353
5.0,0.546875,-3.287230429226262,-84.41053084934413,0.03735716957894871,26.768623299649395
5.0,0.55,-3.282868304537204,-84.29851884758097,0.03752048214661309,26.652109535598502
5.0,0.553125,-3.278520230482337,-84.18686764239607,0.037683979172563116,26.536475763899112
5.0,0.55625,-3.27418614592878,-84.0755756640002,0.037847659169867896,26.421713308920882
5.0,0.5593750000000001,-3.269865990203565,-83.96464135441393,0.038011520650016714,26.307813602283765
5.0,0.5625,-3.2655597030890338,-83.85406316734937,0.038175562122936005,26.19476818127052
5.0,0.565625,-3.261267224818363,-83.74383956809538,0.03833978209700342,26.08256868726853
5.0,0.56875,-3.2569884960711635,-83.63396903340441,0.038504179079061444,25.971206864238784
5.0,0.571875,-3.2527234579691204,-83.52445005138074,0.03866875157443124,25.860674557210825
5.0,0.575,-3.248472052071696,-83.4152811213699,0.038833498086926384,25.75096371080354
5.0,0.578125,-3.2442342203719634,-83.30646075385195,0.038998417118863385,25.642066367773264
5.0,0.58125,-3.2400099052926663,-83.19798747034007,0.03916350717106544,25.533974667590915
5.0,0.5843750000000001,-3.2357990496817957,-83.08985980326709,0.0393287667428868,25.426680845029676
5.0,0.5875,-3.231601596808415,-82.98207629587831,0.03949419433222974,25.32017722878163
5.0,0.5906250000000001,-3.2274174903586053,-82.87463550212728,0.03965978843555873,25.214456240099505
5.0,0.59375,-3.223246674431476,-82.76753598657346,0.039825547547913946,25.109510391461768
5.0,0.596875,-3.2190890935352097,-82.66077632428063,0.039991470162925466,25.005332285259698
5.0,0.6,-3.2149446925831615,-82.55435510071668,0.04015755477282701,24.901914612506726
5.0,0.603125,-3.2108134168900873,-82.4482709116568,0.04032379986846654,24.79925015157131
5.0,0.6062500000000001,-3.2066952121685643,-82.34252236309162,0.04049020393931077,24.69733176693459
5.0,0.609375,-3.2025900245249805,-82.23710807112407,0.04065676547346888,24.596152407956886
5.0,0.6125,-3.198497800455732,-82.13202666187189,0.04082348295770977,24.49570510766877
5.0,0.615625,-3.1944184868435506,-82.02727677137327,0.040990354877475925,24.39598298158421
5.0,0.61875,-3.1903520309538713,-81.92285704549354,0.041157379716897424,24.296979226533306
5.0,0.621875,-3.1862983804312464,-81.81876613983317,0.041324555958805805,24.198687119514254
5.0,0.625,-3.1822574832957944,-81.7150027196365,0.0414918820847482,24.101100016564086
5.0,0.628125,-3.178229287939777,-81.61156545970388,0.04165935657499799,24.004211351649957
5.0,0.6312500000000001,-3.1742137431243473,-81.5084530443082,0.041826977908559805,23.908014635581694
5.0,0.634375,-3.170210797975899,-81.40566416710104,0.04199474456319291,23.812503454931573
5.0,0.6375000000000001,-3.166220401982605,-81.30319753102395,0.042162655015428444,23.717671470975283
5.0,0.640625,-3.1622425049910783,-81.20105184822259,0.04233070774058323,23.62351241865209
5.0,0.6437499999999999,-3.1582770572030627,-81.09922583996172,0.042498901212774054,23.530020105541606
5.0,0.646875,-3.154324009172173,-80.99771823654163,0.04266723390493139,23.437188410857402
5.0,0.65,-3.1503833118006614,-80.896527777215,0.0428357042888137,23.34501128445656
5.0,0.6531250000000001,-3.146454916336298,-80.7956532101068,0.04300431083501833,23.253482745867
5.0,0.65625,-3.142538774369418,-80.69509329213855,0.04317305201298685,23.1625968833334
5.0,0.659375,-3.138634837829588,-80.59484678894262,0.04334192629102825,23.07234785286872
5.0,0.6625000000000001,-3.1347430589824548,-80.49491247478136,0.04351093213633591,22.982729877324363
5.0,0.665625,-3.1308633904266974,-80.3952891324688,0.043680068015001704,22.8937372454767
5.0,0.66875,-3.126995785091015,-80.29597555329342,0.04384933239203014,22.805364311128155
5.0,0.671875,-3.1231401962311502,-80.19697053694152,0.04401872373135233,22.717605492222624
5.0,0.675,-3.119296577426945,-80.0982728914218,0.04418824049584012,22.630455269974824
5.0,0.6781250000000001,-3.1154648825794924,-79.99988143299205,0.044357881147317466,22.543908188014854
5.0,0.68125,-3.1116450659084482,-79.90179498609034,0.04452764414656591,22.457958851549137
5.0,0.6843750000000001,-3.107837081948986,-79.8040123832566,0.04469752795334757,22.372601926525697
5.0,0.6875000000000001,-3.104040885548916,-79.70653246505881,0.044867531026422096,22.287832138815677
5.0,0.6906249999999999,-3.1002564318659074,-79.60935408002155,0.04503765182356079,22.203644273409136
5.0,0.69375,-3.0964836763647368,-79.51247608455546,0.04520788880156066,22.12003317362341
5.0,0.696875,-3.092722574814566,-79.41589734288722,0.04537824041625874,22.036993740323748
5.0,0.7000000000000001,-3.0889730832862563,-79.31961672699069,0.04554870512254604,21.95452093115623
5.0,0.703125,-3.0852351581497675,-79.22363311652003,0.04571928137437906,21.87260975979375
5.0,0.70625,-3.081508756071703,-79.12794539874676,0.045889967624785845,21.791255295196272
5.0,0.7093750000000001,-3.0777938340125233,-79.03255246848812,0.04606076232588851,21.71045266087463
5.0,0.7125,-3.0740903492239124,-78.93745322803947,0.04623166392892021,21.630197034168397
5.0,0.715625,-3.0703982592462378,-78.84264658710909,0.04640267088423919,21.5504836455363
5.0,0.71875,-3.06671752190603,-78.74813146275346,0.046573781641343126,21.47130777785734
5.0,0.721875,-3.063048095313501,-78.65390677931349,0.046744994648883126,21.392664765742847
5.0,0.725,-3.059389937860078,-78.55997146835124,0.04691630835467807,21.314549994858858
5.0,0.728125,-3.0557430082160284,-78.46632446858892,0.047087721205726144,21.236958901260106
5.0,0.7312500000000001,-3.0521072653282184,-78.37296472585133,0.0472592316482111,21.159886970736498
