gap_nm,gap_over_lambda_D,overlap_factor_exp_minus_d_over_lambda,E_mix_V,I_Au_A,I_Pd_A,i_mix_avg_A_per_m2,phi_RP_Au_V,phi_RP_Pd_V,max_abs_phi_tilde,sigma_Au_C_per_m2,sigma_Pd_C_per_m2,nonlinear_pb_solver_method,nonlinear_pb_max_rms_residual
1.0,0.328815637844018,0.7197757039160507,0.5867425176112065,5.4942426990420704e-11,-5.4942426990458955e-11,0.1098848539808414,-0.123210056248498,-0.11627497897395088,4.798214654159931,-0.0440094852280591,-0.03079300136593704,scipy_solve_bvp_full_nonlinear_poisson_boltzmann,8.352810067111894e-11
2.0,0.657631275688036,0.5180770639478463,0.5797208960537704,5.4485757238741725e-11,-5.448575723874333e-11,0.10897151447748345,-0.11661708392213237,-0.10882470818541003,4.541462101697525,-0.046732404004819456,-0.03658175830432783,scipy_solve_bvp_full_nonlinear_poisson_boltzmann,5.723387148584442e-10
3.0,0.9864469135320542,0.37289928338582184,0.576929358660115,5.4380916268897446e-11,-5.4380916268897685e-11,0.10876183253779488,-0.11392446164922043,-0.10593425567100978,4.436602319619786,-0.04782923593813293,-0.038854554267550113,scipy_solve_bvp_full_nonlinear_poisson_boltzmann,1.838472975558708e-09
5.0,1.6440781892200902,0.19319056588478248,0.5747082034780083,5.43397337665906e-11,-5.4339733766590315e-11,0.1086794675331812,-0.11174221341705827,-0.10367419353895822,4.351618222011254,-0.0487099166209867,-0.04064704119321339,scipy_solve_bvp_full_nonlinear_poisson_boltzmann,8.13650449496366e-09
10.0,3.2881563784401804,0.03732259474688248,0.5733646165458715,5.4335691788092364e-11,-5.4335691788092364e-11,0.10867138357618472,-0.11040244671151947,-0.10232678638022347,4.299443193158849,-0.04924658734852183,-0.041723438829562046,scipy_solve_bvp_full_nonlinear_poisson_boltzmann,9.989668655916909e-09
1000.0,328.81563784401806,1.5746459512180734e-143,0.5730516745396045,5.433719215072305e-11,-5.4337192150722865e-11,0.1086743843014461,-0.11008808662267713,-0.10201526245653175,4.287200952298865,-0.04937204776754369,-0.04197322520154552,analytic_independent_gouy_chapman_asinh_stern_limit,0.0
