Cdl_C_F_per_m2,C_H_support_uF_per_cm2,E_mix_with_EDL_V,x_nm,material,is_support_mask,phi_tilde,phi_RP_V,phi_RP_mV,i_Au_local_A_per_m2,i_Pd_local_A_per_m2,local_current_density_A_per_m2,support_compact_voltage_V,support_sigma_C_per_m2
0.0,0.0,0.5988338459487471,0.0,Au,False,-6.018765742010562,-0.15455174873777883,-154.55174873777884,0.1510699842406187,0.0,0.1510699842406187,,
0.0,0.0,0.5988338459487471,0.012002400480095652,Au,False,-6.018767538756078,-0.15455179487517204,-154.55179487517205,0.1510698485235212,0.0,0.1510698485235212,,
0.0,0.0,0.5988338459487471,0.024004800960191305,Au,False,-6.018772294437319,-0.154551916993042,-154.551916993042,0.15106948930392597,0.0,0.15106948930392597,,
0.0,0.0,0.5988338459487471,0.03600720144028696,Au,False,-6.018778329397948,-0.15455207196064813,-154.55207196064814,0.15106903345540362,0.0,0.15106903345540362,,
0.0,0.0,0.5988338459487471,0.04800960192038261,Au,False,-6.018783511830907,-0.15455220503678213,-154.55220503678214,0.15106864200334175,0.0,0.15106864200334175,,
0.0,0.0,0.5988338459487471,0.0600120024004813,Au,False,-6.01878601034821,-0.1545522691944907,-154.5522691944907,0.15106845327965168,0.0,0.15106845327965168,,
0.0,0.0,0.5988338459487471,0.07201440288057695,Au,False,-6.018784940501151,-0.15455224172262338,-154.5522417226234,0.15106853408974352,0.0,0.15106853408974352,,
0.0,0.0,0.5988338459487471,0.0840168033606726,Au,False,-6.018780677016313,-0.15455213224352657,-154.55213224352656,0.15106885612928908,0.0,0.15106885612928908,,
0.0,0.0,0.5988338459487471,0.09601920384076826,Au,False,-6.01877472152071,-0.15455197931644826,-154.55197931644827,0.151069305974913,0.0,0.151069305974913,,
0.0,0.0,0.5988338459487471,0.10802160432086391,Au,False,-6.018769172446746,-0.15455183682559184,-154.55183682559183,0.15106972512287078,0.0,0.15106972512287078,,
0.0,0.0,0.5988338459487471,0.12002400480095955,Au,False,-6.018765984246645,-0.15455175495799273,-154.55175495799273,0.15106996594331915,0.0,0.15106996594331915,,
0.0,0.0,0.5988338459487471,0.13202640528105522,Au,False,-6.0187662774248984,-0.1545517624863156,-154.5517624863156,0.1510699437981064,0.0,0.1510699437981064,,
0.0,0.0,0.5988338459487471,0.14402880576115087,Au,False,-6.018769942961386,-0.1545518566111077,-154.5518566111077,0.15106966692216453,0.0,0.15106966692216453,,
0.0,0.0,0.5988338459487471,0.15603120624124955,Au,False,-6.018775680776255,-0.15455200394851207,-154.55200394851207,0.1510692335178957,0.0,0.1510692335178957,,
0.0,0.0,0.5988338459487471,0.1680336067213452,Au,False,-6.0187814586654245,-0.15455215231495686,-154.55215231495686,0.151068797087882,0.0,0.151068797087882,,
0.0,0.0,0.5988338459487471,0.18003600720144086,Au,False,-6.018785229701077,-0.1545522491487895,-154.5522491487895,0.15106851224524062,0.0,0.15106851224524062,,
0.0,0.0,0.5988338459487471,0.19203840768153652,Au,False,-6.0187856548455745,-0.15455226006578288,-154.5522600657829,0.1510684801322707,0.0,0.1510684801322707,,
0.0,0.0,0.5988338459487471,0.20404080816163217,Au,False,-6.018782575681152,-0.154552180998036,-154.552180998036,0.15106871271479438,0.0,0.15106871271479438,,
0.0,0.0,0.5988338459487471,0.21604320864172782,Au,False,-6.018777070365582,-0.15455203963082131,-154.55203963082133,0.1510691285558349,0.0,0.1510691285558349,,
0.0,0.0,0.5988338459487471,0.22804560912182345,Au,False,-6.018771073049768,-0.15455188562987054,-154.55188562987055,0.1510695815611509,0.0,0.1510695815611509,,
0.0,0.0,0.5988338459487471,0.2400480096019191,Au,False,-6.0187666910988025,-0.15455177310876345,-154.55177310876346,0.15106991255126292,0.0,0.15106991255126292,,
0.0,0.0,0.5988338459487471,0.25205041008201784,Au,False,-6.018765461143806,-0.15455174152559448,-154.55174152559448,0.1510700054558884,0.0,0.1510700054558884,,
0.0,0.0,0.5988338459487471,0.2640528105621135,Au,False,-6.018767806592836,-0.15455180175276806,-154.55180175276806,0.1510698282924934,0.0,0.1510698282924934,,
0.0,0.0,0.5988338459487471,0.27605521104220915,Au,False,-6.018772888118535,-0.15455193223777391,-154.5519322377739,0.15106944446037354,0.0,0.15106944446037354,,
0.0,0.0,0.5988338459487471,0.2880576115223048,Au,False,-6.018778899917114,-0.15455208661061767,-154.55208661061766,0.15106899036152027,0.0,0.15106899036152027,,
0.0,0.0,0.5988338459487471,0.3000600120024004,Au,False,-6.0187837071683585,-0.1545522100527183,-154.5522100527183,0.15106862724866074,0.0,0.15106862724866074,,
0.0,0.0,0.5988338459487471,0.3120624124824961,Au,False,-6.018785599671329,-0.15455225864900132,-154.55225864900132,0.15106848429981548,0.0,0.15106848429981548,,
0.0,0.0,0.5988338459487471,0.32406481296259176,Au,False,-6.018783895608836,-0.1545522148915518,-154.55221489155178,0.15106861301493926,0.0,0.15106861301493926,,
0.0,0.0,0.5988338459487471,0.33606721344268736,Au,False,-6.0187791822911425,-0.15455209386150626,-154.55209386150625,0.1510689690325421,0.0,0.1510689690325421,,
0.0,0.0,0.5988338459487471,0.34806961392278607,Au,False,-6.018773108874997,-0.15455193790642738,-154.55193790642738,0.15106942778559643,0.0,0.15106942778559643,,
0.0,0.0,0.5988338459487471,0.3600720144028817,Au,False,-6.018767804213704,-0.15455180169167596,-154.55180169167596,0.1510698284722009,0.0,0.1510698284722009,,
0.0,0.0,0.5988338459487471,0.3720744148829774,Au,False,-6.018765125333941,-0.15455173290256374,-154.55173290256374,0.15107003082128959,0.0,0.15107003082128959,,
0.0,0.0,0.5988338459487471,0.38407681536307303,Au,False,-6.018766001838589,-0.15455175540972418,-154.5517554097242,0.15106996461451197,0.0,0.15106996461451197,,
0.0,0.0,0.5988338459487471,0.3960792158431687,Au,False,-6.018770107682316,-0.15455186084086325,-154.55186084086324,0.151069654479997,0.0,0.151069654479997,,
0.0,0.0,0.5988338459487471,0.40808161632326434,Au,False,-6.0187759762086355,-0.15455201153471712,-154.5520115347171,0.1510692112025257,0.0,0.1510692112025257,,
0.0,0.0,0.5988338459487471,0.42008401680336,Au,False,-6.018781517860662,-0.15455215383499069,-154.5521538349907,0.15106879261660544,0.0,0.15106879261660544,,
