scan_index,is_baseline,is_representative,Cdl_C_F_per_m2,C_H_support_uF_per_cm2,g_C,C_D_F_per_m2,E_mix_with_EDL_V,E_mix_without_EDL_V,EDL_shift_E_mix_mV,delta_E_mix_from_C_H_zero_mV,i_mix_avg_with_EDL_A_per_m2,i_mix_avg_without_EDL_A_per_m2,ratio_i_mix_with_to_without,pct_i_mix_with_vs_without,pct_i_mix_from_C_H_zero,i_mix_abs_with_EDL_A,i_mix_abs_without_EDL_A,I_Au_abs_A,I_Pd_abs_A,current_balance_residual_abs_A,mean_phi_RP_Au_V,mean_phi_RP_Au_mV,mean_phi_RP_support_V,mean_phi_RP_support_mV,mean_phi_RP_Pd_V,mean_phi_RP_Pd_mV,mean_support_compact_voltage_V,mean_support_sigma_C_per_m2,mean_support_sigma_uC_per_cm2,max_abs_phi_tilde,debye_huckel_ok,N_modes,Nx
10,False,False,0.25,25.0,1.093878681437467,0.2285445399406402,0.5972092866776441,0.4670000000000001,130.20928667764397,-1.6245592711030543,0.08520324597427088,0.11756035407872442,0.7247617331708139,-27.523826682918607,3.289794346023278,4.260162298713544e-11,5.878017703936221e-11,4.260162298713544e-11,-4.2601622987145956e-11,-1.0514203403923154e-23,-0.1496989986025048,-149.6989986025048,0.02727548605806146,27.27548605806146,-0.11299408693619026,-112.99408693619026,0.0699338006195826,0.01748345015489565,1.748345015489565,6.0482808795940795,False,960,5000
11,False,False,0.275,27.500000000000004,1.2032665495812138,0.2285445399406402,0.5971006113316198,0.4670000000000001,130.10061133161977,-1.7332346171272661,0.0854115393368916,0.11756035407872442,0.7265335325521023,-27.346646744789773,3.5423032539026122,4.2705769668445804e-11,5.878017703936221e-11,4.2705769668445804e-11,-4.270576966846307e-11,-1.727381651074851e-23,-0.14962906991912908,-149.62906991912908,0.030167768212499467,30.167768212499467,-0.11297873517409537,-112.97873517409538,0.06693284311912039,0.018406531857758104,1.8406531857758104,6.050254576978185,False,960,5000
12,False,False,0.30000000000000004,30.000000000000004,1.3126544177249606,0.2285445399406402,0.5969976435911378,0.4670000000000001,129.99764359113775,-1.8362023576092845,0.08561163187771764,0.11756035407872442,0.7282355735368721,-27.176442646312793,3.7848705077175193,4.280581593885882e-11,5.878017703936221e-11,4.280581593885882e-11,-4.280581593888574e-11,-2.6916900942863e-23,-0.1495647758880113,-149.5647758880113,0.03281324768779013,32.813247687790124,-0.11296547838808724,-112.96547838808723,0.0641843959033477,0.019255318771004316,1.9255318771004317,6.05212469263418,False,960,5000
13,False,False,0.325,32.5,1.4220422858687072,0.2285445399406402,0.5968998465357196,0.4670000000000001,129.89984653571952,-1.9339994130275207,0.08580409735130334,0.11756035407872442,0.7298727366357245,-27.01272633642755,4.0181916559679065,4.290204867565167e-11,5.878017703936221e-11,4.290204867565167e-11,-4.290204867569254e-11,-4.086831021229476e-23,-0.14950545598502904,-149.50545598502904,0.03524228232104948,35.24228232104948,-0.11295403251352316,-112.95403251352316,0.061657564214670106,0.020038708369767788,2.0038708369767786,6.053900967189895,False,960,5000
14,False,False,0.35000000000000003,35.0,1.531430154012454,0.2285445399406402,0.5968067553403898,0.4670000000000001,129.80675534038977,-2.0270906083572626,0.08598945398288835,0.11756035407872442,0.7314494300119699,-26.855056998803008,4.242894930334562,4.2994726991444174e-11,5.878017703936221e-11,4.2994726991444174e-11,-4.2994726991505055e-11,-6.087703512290766e-23,-0.14945055074122002,-149.45055074122,0.0374804339159987,37.4804339159987,-0.1129441600185455,-112.9441600185455,0.05932632142439116,0.020764212498536907,2.0764212498536905,6.055591833674743,False,960,5000
15,False,False,0.375,37.5,1.6408180221562005,0.2285445399406402,0.5967179649165397,0.4670000000000001,129.71796491653964,-2.1158810322073895,0.08616817085866245,0.11756035407872442,0.7329696438389411,-26.703035616105886,4.459548992439721,4.3084085429331225e-11,5.878017703936221e-11,4.3084085429331225e-11,-4.3084085429420075e-11,-8.886088798473011e-23,-0.14939958290099056,-149.39958290099057,0.039549381140628816,39.54938114062882,-0.11293566087814999,-112.93566087814999,0.057168583775910914,0.021438218915966593,2.143821891596659,6.057204641636542,False,960,5000
16,False,False,0.4,40.0,1.7502058902999473,0.2285445399406402,0.596633120091188,0.4670000000000001,129.6331200911879,-2.2007258575591493,0.08634067356782084,0.11756035407872442,0.7344369982928318,-26.556300170716817,4.668669773571477,4.3170336783910424e-11,5.878017703936221e-11,4.3170336783910424e-11,-4.3170336784037015e-11,-1.2658911818236575e-22,-0.14935214267658042,-149.35214267658043,0.04146763130288779,41.46763130288779,-0.11292836556121323,-112.92836556121323,0.055165488788300174,0.022066195515320068,2.2066195515320066,6.058745835233861,False,960,5000
17,False,False,0.42500000000000004,42.50000000000001,1.8595937584436941,0.2285445399406402,0.5965519077243823,0.4670000000000001,129.55190772438218,-2.2819382243648434,0.08650734915344746,0.11756035407872442,0.7358547856662435,-26.414521433375647,4.870726476517695,4.325367457672373e-11,5.878017703936221e-11,4.325367457672373e-11,-4.3253674576901176e-11,-1.7743815583910393e-22,-0.1493078760911993,-149.3078760911993,0.04325108090751098,43.25108090751098,-0.112922129526635,-112.92212952663499,0.05330082681687128,0.022652851397170302,2.2652851397170304,6.06022109618657,False,960,5000
18,False,False,0.45,45.0,1.9689816265874407,0.2285445399406402,0.596474050323593,0.4670000000000001,129.47405032359293,-2.359795625154093,0.08666855044311472,0.11756035407872442,0.7372260072054311,-26.277399279456894,5.0661468254451725,4.333427522155736e-11,5.878017703936221e-11,4.333427522155736e-11,-4.333427522180157e-11,-2.4420368509702828e-22,-0.1492664756777023,-149.2664756777023,0.04491346122360584,44.913461223605836,-0.11291682886367375,-112.91682886367376,0.051560589099987196,0.023202265094994234,2.3202265094994234,6.0616354595820585,False,960,5000
19,False,False,0.47500000000000003,47.5,2.0783694947311875,0.2285445399406402,0.5963993008266757,0.4670000000000001,129.3993008266756,-2.4345451220714187,0.08682459983212534,0.11756035407872442,0.7385534052915761,-26.14465947084239,5.255321652230505,4.341229991606267e-11,5.878017703936221e-11,4.341229991606267e-11,-4.341229991639388e-11,-3.312142893741958e-22,-0.1492276729926614,-149.2276729926614,0.04646669549572317,46.46669549572317,-0.11291235680888705,-112.91235680888704,0.04993260533095251,0.023717987532202445,2.3717987532202445,6.062993408492154,False,960,5000
20,False,False,0.5,50.0,2.187757362874934,0.2285445399406402,0.5963274383059861,0.4670000000000001,129.32743830598602,-2.5064076427609994,0.08697579258859046,0.11756035407872442,0.7398394915546701,-26.01605084453299,5.438608903124753,4.348789629429523e-11,5.878017703936221e-11,4.348789629429523e-11,-4.34878962947379e-11,-4.426702477439785e-22,-0.14919123254322428,-149.1912325432243,0.04792118760344261,47.92118760344261,-0.11290862094119533,-112.90862094119534,0.04840625070254351,0.024203125351271754,2.4203125351271755,6.064298951886343,False,960,5000
21,False,False,0.525,52.5,2.297145231018681,0.2285445399406402,0.5962582644051996,0.4670000000000001,129.2582644051995,-2.5755815435475338,0.08712239974321222,0.11756035407872442,0.7410865714547832,-25.89134285452168,5.616337141965655,4.356119987160611e-11,5.878017703936221e-11,4.356119987160611e-11,-4.3561199872189684e-11,-5.835821825093378e-22,-0.1491569468234285,-149.1569468234285,0.049286057055559614,49.28605705555962,-0.11290554090626755,-112.90554090626755,0.04697220734963996,0.02466040885856098,2.4660408858560983,6.065555689258115,False,960,5000
22,False,False,0.55,55.00000000000001,2.4065330991624276,0.2285445399406402,0.5961916003638456,0.4670000000000001,129.19160036384548,-2.642245584901559,0.08726467061953096,0.11756035407872442,0.742296765805027,-25.7703234194973,5.788808617533969,4.3632335309765484e-11,5.878017703936221e-11,4.3632335309765484e-11,-4.363233531052501e-11,-7.595279562339479e-22,-0.14912463222913275,-149.12463222913274,0.050569331619569675,50.569331619569674,-0.11290304655756038,-112.90304655756037,0.045622268744275885,0.025092247809351736,2.5092247809351735,6.066766864593333,False,960,5000
23,False,False,0.5750000000000001,57.50000000000001,2.5159209673061746,0.2285445399406402,0.5961272845169486,0.4670000000000001,129.12728451694855,-2.706561431798482,0.08740283505333948,0.11756035407872442,0.7434720296504899,-25.652797034951014,5.9563019540944895,4.3701417526669746e-11,5.878017703936221e-11,4.3701417526669746e-11,-4.370141752764651e-11,-9.767607175061405e-22,-0.1490941256742493,-149.09412567424928,0.05177810624526389,51.77810624526389,-0.11290107642790466,-112.90107642790466,0.04434917827168474,0.025500777506218732,2.550077750621873,6.067935411722694,False,960,5000
24,False,False,0.6000000000000001,60.00000000000001,2.625308835449921,0.2285445399406402,0.5960651701815431,0.4670000000000001,129.06517018154307,-2.7686757672039652,0.08753710534342779,0.11756035407872442,0.7446141688617957,-25.538583113820433,6.119074516235945,4.3768552671713896e-11,5.878017703936221e-11,4.3768552671713896e-11,-4.3768552672955933e-11,-1.2420333265724945e-21,-0.14906528177087863,-149.06528177087864,0.05291867497475388,52.918674974753884,-0.11289957646525699,-112.89957646525698,0.04314649520678927,0.025887897124073564,2.5887897124073564,6.069063992658034,False,960,5000
25,False,False,0.625,62.5,2.7346967035936673,0.2285445399406402,0.596005123860366,0.4670000000000001,129.0051238603659,-2.8287220883811415,0.08766767796995698,0.11756035407872442,0.7457248547520554,-25.42751452479446,6.277364492013304,4.383383898497849e-11,5.878017703936221e-11,4.383383898497849e-11,-4.383383898654101e-11,-1.5625173210148766e-21,-0.14903797046600042,-149.03797046600042,0.053996641053534154,53.996641053534155,-0.1128984989810266,-112.89849898102659,0.04200848280683182,0.026255301754269884,2.6255301754269884,6.07015503017603,False,960,5000
26,False,False,0.65,65.0,2.8440845717374144,0.2285445399406402,0.5959470237072435,0.4670000000000001,128.94702370724343,-2.886822241503606,0.08779473511161365,0.11756035407872442,0.7468056369821905,-25.31943630178095,6.431392732156582,4.3897367555806826e-11,5.878017703936221e-11,4.3897367555806826e-11,-4.3897367557752846e-11,-1.946019007278332e-21,-0.14901207505021632,-149.01207505021634,0.05501700933687465,55.01700933687465,-0.11289780177056467,-112.89780177056467,0.040930014370368833,0.026604509340739747,2.6604509340739746,6.071210735656024,False,960,5000
27,False,False,0.675,67.5,2.9534724398811614,0.2285445399406402,0.5958907582096983,0.4670000000000001,128.8907582096982,-2.943087739048833,0.08791844598825072,0.11756035407872442,0.7478579549817962,-25.21420450182038,6.5813643777212105,4.395922299412536e-11,5.878017703936221e-11,4.395922299412536e-11,-4.39592229965261e-11,-2.4007363577022074e-21,-0.14898749047153173,-148.98749047153174,0.055984264229333426,55.98426422933343,-0.11289744737395047,-112.89744737395047,0.03990649398036485,0.02693688343674628,2.693688343674628,6.072233132977965,False,960,5000
28,False,False,0.7000000000000001,70.0,3.062860308024908,0.2285445399406402,0.595836225052864,0.4670000000000001,128.83622505286397,-2.9976208958830686,0.0880389680518812,0.11756035407872442,0.7488831480800561,-25.111685191994393,6.727470303900485,4.4019484025940603e-11,5.878017703936221e-11,4.4019484025940603e-11,-4.401948402887633e-11,-2.935731710737411e-21,-0.14896412190067365,-148.96412190067366,0.05690243573521685,56.90243573521685,-0.11289740245174794,-112.89740245174794,0.03893378931764719,0.02725365252235304,2.725365252235304,6.073224079131974,False,960,5000
29,False,False,0.7250000000000001,72.50000000000001,3.172248176168655,0.2285445399406402,0.5957833301355479,0.4670000000000001,128.78333013554777,-3.0505158131992616,0.08815644804563985,0.11756035407872442,0.7498824645135536,-25.011753548644645,6.869888403778601,4.407822402281993e-11,5.878017703936221e-11,4.407822402281993e-11,-4.407822402637938e-11,-3.5594461416921664e-21,-0.14894188350495371,-148.94188350495372,0.0577751556855131,57.7751556855131,-0.11289763725550189,-112.89763725550189,0.03800817445003476,0.0275559264762752,2.75559264762752,6.074185282068111,False,960,5000
30,False,False,0.75,75.0,3.281636044312401,0.2285445399406402,0.595731986714604,0.4670000000000001,128.73198671460395,-3.1018592341430784,0.08827102294752733,0.11756035407872442,0.7508570694540145,-24.914293054598545,7.008784732408446,4.4135511473763666e-11,5.878017703936221e-11,4.4135511473763666e-11,-4.4135511478045437e-11,-4.2817658379674655e-21,-0.14892069739592553,-148.92069739592554,0.05860570580632916,58.605705806329155,-0.11289812517670146,-112.89812517670146,0.037126280908274883,0.027844710681206156,2.7844710681206157,6.075118316219063,False,960,5000
31,False,False,0.775,77.5,3.391023912456148,0.2285445399406402,0.5956821146580313,0.4670000000000001,128.68211465803125,-3.1517312907157757,0.08838282081339864,0.11756035407872442,0.7518080521789938,-24.819194782100617,7.1443145287457765,4.419141040669932e-11,5.878017703936221e-11,4.419141040669932e-11,-4.419141041181097e-11,-5.111651845110517e-21,-0.14890049272257339,-148.90049272257338,0.059397058978725596,59.397058978725596,-0.11289884236104275,-112.89884236104275,0.03628505567930573,0.028120918151461945,2.8120918151461947,6.076024636050443,False,960,5000
32,False,False,0.8,80.0,3.5004117805998947,0.2285445399406402,0.5956336397906098,0.4670000000000001,128.63363979060972,-3.20020615813732,0.08849196153162824,0.11756035407872442,0.7527364324912589,-24.72635675087411,7.276623130510984,4.424598076581412e-11,5.878017703936221e-11,4.424598076581412e-11,-4.424598077187323e-11,-6.059111902006752e-21,-0.14888120488693798,-148.88120488693798,0.06015191479027655,60.15191479027656,-0.11289976737729304,-112.89976737729305,0.03548172500033324,0.02838538000026659,2.838538000026659,6.076905587932673,False,960,5000
33,False,False,0.8250000000000001,82.5,3.6097996487436417,0.2285445399406402,0.5955864933186364,0.4670000000000001,128.58649331863637,-3.247352630110667,0.08859855750018317,0.11756035407872442,0.7536431664781568,-24.635683352184323,7.405846794988258,4.429927875009159e-11,5.878017703936221e-11,4.429927875009159e-11,-4.4299278757225394e-11,-7.13380259880878e-21,-0.14886277486319105,-148.86277486319105,0.06087273027988939,60.87273027988939,-0.11290088093200018,-112.90088093200018,0.03471376303874706,0.028638854506966325,2.8638854506966327,6.077762420577962,False,960,5000
34,False,False,0.8500000000000001,85.00000000000001,3.7191875168873882,0.2285445399406402,0.5955406113225438,0.4670000000000001,128.5406113225437,-3.293234626203345,0.08870271423537443,0.11756035407872442,0.7545291516898168,-24.547084831018317,7.532113436999843,4.435135711768722e-11,5.878017703936221e-11,4.435135711768722e-11,-4.435135712603342e-11,-8.346204374619285e-21,-0.14884514860448414,-148.84514860448414,0.061561746618163,61.561746618163,-0.11290216562286616,-112.90216562286616,0.033978864704380767,0.028882034998723657,2.8882034998723656,6.078596294246013,False,960,5000
35,False,False,0.875,87.5,3.828575385031135,0.2285445399406402,0.595495934308,0.4670000000000001,128.49593430799987,-3.3379116407471487,0.08880453092030831,0.11756035407872442,0.7553952318044249,-24.46047681955751,7.655543293780065,4.4402265460154156e-11,5.878017703936221e-11,4.4402265460154156e-11,-4.4402265469859686e-11,-9.7055416365351e-21,-0.14882827652456862,-148.82827652456862,0.062221012337282146,62.22101233728215,-0.1129036057248459,-112.90360572484589,0.03327492197071782,0.029115556724378093,2.9115556724378093,6.079408288888603,False,960,5000
36,False,False,0.9,90.0,3.9379632531748814,0.2285445399406402,0.5954524068075733,0.4670000000000001,128.4524068075732,-3.3814391411738365,0.08890410090000249,0.11756035407872442,0.7562422008398151,-24.37577991601849,7.77624952519238,4.4452050450001246e-11,5.878017703936221e-11,4.4452050450001246e-11,-4.4452050461223275e-11,-1.1222031462109296e-20,-0.14881211304334602,-148.81211304334602,0.06285240362059966,62.85240362059966,-0.11290518700405956,-112.90518700405956,0.032600003186973626,0.029340002868276267,2.9340002868276267,6.080199411377208,False,960,5000
37,False,False,0.925,92.5,4.047351121318628,0.2285445399406402,0.5954099770262694,0.4670000000000001,128.40997702626933,-3.423868922477702,0.08900151212922794,0.11756035407872442,0.7570708069629323,-24.29291930370677,7.894338756637009,4.450075606461397e-11,5.878017703936221e-11,4.450075606461397e-11,-4.450075607751941e-11,-1.2905438487258426e-20,-0.14879661618727835,-148.79661618727835,0.06345764207757491,63.45764207757491,-0.11290689655542091,-112.90689655542091,0.0319523349486945,0.029555909827542408,2.9555909827542406,6.080970601934437,False,960,5000
38,False,False,0.9500000000000001,95.0,4.156738989462375,0.2285445399406402,0.595368596525262,0.4670000000000001,128.3685965252619,-3.4652494234851394,0.08909684757835203,0.11756035407872442,0.7578817559420433,-24.211824405795667,8.009911571044647,4.454842378917602e-11,5.878017703936221e-11,4.454842378917602e-11,-4.4548423803941566e-11,-1.4765547606479783e-20,-0.1487817472370392,-148.7817472370392,0.06403831036067298,64.03831036067298,-0.11290872266056347,-112.90872266056347,0.03133028616458899,0.02976377185635954,2.976377185635954,6.081722739872751,False,960,5000
39,False,False,0.9750000000000001,97.50000000000001,4.266126857606122,0.2285445399406402,0.5953282199389734,0.4670000000000001,128.32821993897338,-3.505626009773666,0.08919018560179326,0.11756035407872442,0.7586757142809127,-24.132428571908726,8.123062955544945,4.4595092800896635e-11,5.878017703936221e-11,4.4595092800896635e-11,-4.459509281770835e-11,-1.6811718284075125e-20,-0.14876747041597535,-148.76747041597534,0.06459586592414963,64.59586592414963,-0.11291065466318732,-112.91065466318733,0.030732354014823805,0.029964045164453217,2.9964045164453217,6.082456648728108,False,960,5000
40,False,True,1.0,100.0,4.375514725749868,0.2285445399406402,0.5952888047213708,0.4670000000000001,128.28880472137072,-3.545041227376311,0.08928160027313006,0.11756035407872442,0.7594533120693269,-24.054668793067314,8.233882707710727,4.4640800136565035e-11,5.878017703936221e-11,4.4640800136565035e-11,-4.4640800155618164e-11,-1.90531344099798e-20,-0.14875375261393287,-148.75375261393287,0.06513165317788186,65.13165317788186,-0.11291268285941551,-112.91268285941551,0.030157151543488945,0.030157151543488945,3.0157151543488947,6.08317310086349,False,960,5000
