scan_index,is_baseline,is_representative,Cdl_C_F_per_m2,C_H_support_uF_per_cm2,g_C,C_D_F_per_m2,E_mix_with_EDL_V,E_mix_without_EDL_V,EDL_shift_E_mix_mV,delta_E_mix_from_C_H_zero_mV,i_mix_avg_with_EDL_A_per_m2,i_mix_avg_without_EDL_A_per_m2,ratio_i_mix_with_to_without,pct_i_mix_with_vs_without,pct_i_mix_from_C_H_zero,i_mix_abs_with_EDL_A,i_mix_abs_without_EDL_A,I_Au_abs_A,I_Pd_abs_A,current_balance_residual_abs_A,mean_phi_RP_Au_V,mean_phi_RP_Au_mV,mean_phi_RP_support_V,mean_phi_RP_support_mV,mean_phi_RP_Pd_V,mean_phi_RP_Pd_mV,mean_support_compact_voltage_V,mean_support_sigma_C_per_m2,mean_support_sigma_uC_per_cm2,max_abs_phi_tilde,debye_huckel_ok,N_modes,Nx
0,False,True,0.0,0.0,0.0,0.2285445399406402,0.5988338459487471,0.4670000000000001,131.83384594874704,0.0,0.08248951071471589,0.11756035407872442,0.701677970955044,-29.832202904495595,0.0,4.1244755357357944e-11,5.878017703936221e-11,4.1244755357357944e-11,-4.1244755364201345e-11,-6.843395843904658e-21,-0.1510128164330668,-151.0128164330668,-0.029602104817848755,-29.602104817848755,-0.11340132761877895,-113.40132761877895,0.1284359507665959,0.0,0.0,6.01878601034821,False,960,5000
1,False,False,0.025,2.5,0.10938786814374671,0.2285445399406402,0.5986006937363594,0.4670000000000001,131.6006937363593,-0.23315221238773276,0.08282805669399156,0.11756035407872442,0.704557734136507,-29.544226586349296,0.41041094357621155,4.141402834699578e-11,5.878017703936221e-11,4.141402834699578e-11,-4.1414028365627506e-11,-1.8631728919152297e-20,-0.15079237559158643,-150.79237559158642,-0.01976584111464529,-19.76584111464529,-0.11332162541352635,-113.32162541352635,0.11836653485100466,0.0029591633712751173,0.29591633712751175,6.023017982773737,False,960,5000
2,False,False,0.05,5.0,0.21877573628749342,0.2285445399406402,0.5983908172585772,0.4670000000000001,131.39081725857716,-0.44302869016987767,0.0831485783128371,0.11756035407872442,0.707284177258913,-29.2715822741087,0.7989713994068337,4.1574289156418554e-11,5.878017703936221e-11,4.1574289156418554e-11,-4.157428919840778e-11,-4.1989224237484616e-20,-0.15060318814181872,-150.60318814181872,-0.011407504120233478,-11.407504120233478,-0.11325607882771406,-113.25607882771406,0.10979832137881071,0.0054899160689405365,0.5489916068940537,6.026827767166546,False,960,5000
3,False,False,0.07500000000000001,7.500000000000001,0.32816360443124015,0.2285445399406402,0.5982001213208549,0.4670000000000001,131.20012132085478,-0.6337246278922404,0.08345221973674978,0.11756035407872442,0.7098670329018055,-29.013296709819446,1.1670684111139362,4.1726109868374896e-11,5.878017703936221e-11,4.1726109868374896e-11,-4.17261098259632e-11,4.241169668023107e-20,-0.15043888309070433,-150.43888309070434,-0.0042159116060686225,-4.215911606068622,-0.11320159672185656,-113.20159672185656,0.1024160329269235,0.007681202469519264,0.7681202469519264,6.030289620881593,False,960,5000
4,True,True,0.1,10.0,0.43755147257498683,0.2285445399406402,0.5980255004918001,0.4670000000000001,131.02550049180007,-0.8083454569469684,0.08374023183949199,0.11756035407872442,0.7123169413339403,-28.76830586660597,1.5162183821184616,4.1870115919745996e-11,5.878017703936221e-11,4.1870115919745996e-11,-4.187011591974641e-11,-4.1192447504130534e-25,-0.15029473581191363,-150.29473581191363,0.0020382804697473647,2.038280469747365,-0.1131559107203372,-113.1559107203372,0.09598722002205279,0.00959872200220528,0.959872200220528,6.033459857051831,False,960,5000
5,False,False,0.125,12.5,0.5469393407187335,0.2285445399406402,0.5978645449078669,0.4670000000000001,130.86454490786682,-0.9693010408802216,0.08401384769985806,0.11756035407872442,0.7146443914552868,-28.53556085447132,1.8479161434403313,4.2006923849929036e-11,5.878017703936221e-11,4.2006923849929036e-11,-4.200692384992968e-11,-6.4152172342498375e-25,-0.15016716501091917,-150.16716501091918,0.007527854052540557,7.527854052540556,-0.11311732046777069,-113.1173204677707,0.09033669085532633,0.011292086356915792,1.1292086356915791,6.0363821778891715,False,960,5000
6,False,False,0.15000000000000002,15.000000000000002,0.6563272088624803,0.2285445399406402,0.5977153472804769,0.4670000000000001,130.71534728047683,-1.1184986682701847,0.0842742269839471,0.11756035407872442,0.7168592476976785,-28.31407523023215,2.163567529699062,4.213711349197355e-11,5.878017703936221e-11,4.213711349197355e-11,-4.213711349197477e-11,-1.2290205648773372e-24,-0.1500534041059415,-150.0534041059415,0.012385476123087717,12.385476123087717,-0.11308452769409313,-113.08452769409314,0.0853298711573892,0.012799480673608383,1.2799480673608383,6.039091173394711,False,960,5000
7,False,False,0.17500000000000002,17.5,0.765715077006227,0.2285445399406402,0.5975763725779543,0.4670000000000001,130.57637257795417,-1.2574733707928498,0.08452243538564572,0.11756035407872442,0.718970575140027,-28.102942485997296,2.4644644553179162,4.2261217692822864e-11,5.878017703936221e-11,4.2261217692822864e-11,-4.226121769282474e-11,-1.870542288302321e-24,-0.1499512800547803,-149.9512800547803,0.016714718334446012,16.71471833444601,-0.11305652481453952,-113.05652481453953,0.08086165424350825,0.014150789492613943,1.4150789492613942,6.041614683887634,False,960,5000
8,False,False,0.2,20.0,0.8751029451499737,0.2285445399406402,0.597446367228611,0.4670000000000001,130.4463672286109,-1.387478720136115,0.0847594404559446,0.11756035407872442,0.7209866040313672,-27.901339596863284,2.7517798585072306,4.237972022797231e-11,5.878017703936221e-11,4.237972022797231e-11,-4.2379720227975966e-11,-3.653297393399118e-24,-0.14985906083337572,-149.8590608333757,0.020597630521652144,20.597630521652142,-0.11303251849338888,-113.03251849338888,0.07684873670695885,0.015369747341391774,1.5369747341391773,6.043975446102214,False,960,5000
9,False,False,0.225,22.5,0.9844908132937203,0.2285445399406402,0.5973242943710636,0.4670000000000001,130.32429437106353,-1.50955157768351,0.08498611534709012,0.11756035407872442,0.7229147616396177,-27.708523836038236,3.0265722402070816,4.249305767354506e-11,5.878017703936221e-11,4.249305767354506e-11,-4.2493057673551453e-11,-6.394958653510102e-24,-0.14977534785917118,-149.77534785917118,0.024100063660803403,24.100063660803404,-0.11301187601569952,-113.01187601569953,0.0732242307102602,0.016475451909808547,1.6475451909808547,6.046192267097457,False,960,5000
