L_support_nm,L_gap_m,N_modes,gl_order,include_2d,lambda_D_nm,L_support_over_lambda_D,E_mix_with_V,E_mix_no_V,delta_E_mix_V,i_mix_avg_with_A_per_m2,i_mix_avg_no_A_per_m2,delta_i_mix_avg_A_per_m2,relative_balance_with,relative_balance_no,max_abs_phi_tilde_with_edl,support_charge_status,sigma_C_signed_mean_C_per_m2,sigma_C_mean_abs_C_per_m2,sigma_C_midpoint_C_per_m2,sigma_C_min_C_per_m2,sigma_C_max_C_per_m2,sigma_C_sign_change,L_GC_C_nm,L_GC_C_midpoint_nm,L_support_over_L_GC_C,overlap_reference_L_support_nm,overlap_delta_E_mix_vs_1000_V,overlap_abs_delta_E_mix_vs_1000_mV,overlap_delta_i_mix_avg_vs_1000_A_per_m2,overlap_delta_i_mix_avg_vs_1000_percent,overlap_abs_delta_i_mix_avg_vs_1000_percent,phi_RP_Au_mean_mV,phi_RP_Pd_mean_mV,overlap_delta_phi_RP_Au_mean_vs_1000_mV,overlap_delta_phi_RP_Pd_mean_vs_1000_mV,overlap_delta_phi_RP_active_rms_vs_1000_mV,overlap_delta_phi_RP_active_max_material_mean_vs_1000_mV,overlap_fraction_E_mix,overlap_fraction_phi_RP_active_rms,overlap_fraction_i_mix_avg
0.0,0.0,960,128,False,3.0412178890177213,0.0,0.5918979952021434,0.4670000000000001,0.12489799520214329,0.039101202577877775,0.11756035407872445,-0.07845915150084667,2.0225036336523547e-13,1.7950514385510672e-15,7.847215144114539,not_applicable,,,,,,,,,,1000.0,0.022067987473048833,22.067987473048834,0.014054401465556206,56.11256065207568,56.11256065207568,-185.15136095508916,-64.64462944917676,2.6262130643529815,-41.50793799073587,29.40923249000348,41.50793799073587,1.0,1.0,1.0
0.25,2.5e-10,960,128,False,3.0412178890177213,0.0822039094610045,0.5880246632277002,0.46699999999999986,0.12102466322770034,0.03520143060543747,0.117560354078724,-0.08235892347328654,1.4987095629075796e-16,1.705298866623514e-15,7.922449088142372,defined,0.03824751388391718,0.03824751388391718,0.037926598090242264,0.035446366436819636,0.042735722264361425,False,0.9332793452595853,0.9411762855834117,0.26787263777970377,1000.0,0.01819465549860566,18.194655498605663,0.0101546294931159,40.54262038324892,40.54262038324892,-186.8041090779166,-57.69897264694939,0.973464941525549,-34.56228118850849,24.448915261682952,34.56228118850849,0.8244818663607821,0.8313346929401645,0.7225230841741882
0.5,5e-10,960,128,False,3.0412178890177213,0.164407818922009,0.5852215596163242,0.4670000000000002,0.11822155961632397,0.033008367025332774,0.11756035407872475,-0.08455198705339198,8.790557966635922e-16,4.308123452522561e-15,7.965399295279299,defined,0.035033003751155575,0.035033003751155575,0.03440484465175053,0.03136821891682514,0.04204614710455118,False,1.0189139066961022,1.0375171019286356,0.4907185942934905,1000.0,0.015391551887229626,15.391551887229626,0.007961565913011205,31.78675742785604,31.78675742785604,-187.50182256866077,-52.38310349519049,0.275751450781371,-29.246412036749593,20.681255473084068,29.246412036749593,0.6974606046893493,0.7032232303278861,0.566482032872264
0.75,7.500000000000001e-10,960,128,False,3.0412178890177213,0.2466117283830135,0.5829896092865525,0.4670000000000001,0.11598960928655244,0.0315126014054799,0.11756035407872445,-0.08604775267324455,1.3393174367946013e-15,1.7950514385510672e-15,7.9937922586304015,defined,0.03248570350262472,0.03248570350262472,0.0315714759021821,0.028476620854872473,0.04142518537159288,False,1.098809964589656,1.1306286353537873,0.6825566059369356,1000.0,0.01315960155745799,13.15960155745799,0.006465800293158332,25.81487457884406,25.81487457884406,-187.8407679155544,-48.11741371581848,-0.06319389611226711,-24.980722257377582,17.664094626795137,24.980722257377582,0.5963208730986245,0.6006309288349961,0.4600551869109743
1.0,1e-09,960,128,False,3.0412178890177213,0.328815637844018,0.5811563626802385,0.4670000000000001,0.11415636268023843,0.030410792632363518,0.11756035407872445,-0.08714956144636093,1.9082828075410797e-15,1.7950514385510672e-15,8.013723253986674,defined,0.030362585179756665,0.030362585179756665,0.029184416659002878,0.02622464239146237,0.04088380716438435,False,1.1756447780733803,1.223105300765971,0.8505970669463416,1000.0,0.01132635495114398,11.32635495114398,0.005363991520041949,21.41587461004422,21.41587461004422,-188.0045553738571,-44.61638923985796,-0.22698135441495992,-21.479697781417062,15.189287957574988,21.479697781417062,0.513248204666448,0.5164802571008269,0.38165919290036926
1.5,1.5000000000000002e-09,960,128,False,3.0412178890177213,0.493223456766027,0.5783353000209613,0.4670000000000001,0.11133530002096126,0.02888701932810528,0.11756035407872445,-0.08867333475061917,1.4610498944781813e-15,1.7950514385510672e-15,8.039146841371219,defined,0.02697303154460355,0.02697303154460355,0.025334074092631387,0.022768562281364788,0.040015810351837745,False,1.3233816397820024,1.4089962232237838,1.1334598840642005,1000.0,0.008505292291866806,8.505292291866805,0.0038402182157837098,15.332170358052412,15.332170358052412,-188.09760221575,-39.24840759676019,-0.3200281963078453,-16.11171613831929,11.39495096453272,16.11171613831929,0.3854131375710693,0.38746169144012815,0.27323954173325105
2.0,2e-09,960,128,False,3.0412178890177213,0.657631275688036,0.5763013565379312,0.4670000000000002,0.10930135653793105,0.027887943333132784,0.11756035407872475,-0.08967241074559197,2.364674227057377e-15,4.308123452522561e-15,8.05402930398583,defined,0.02436998383674785,0.02436998383674785,0.022350863799776854,0.020155444811103554,0.0393758507937915,False,1.46473690563402,1.5970575023478737,1.365432926764611,1000.0,0.006471348808836708,6.471348808836708,0.0028411422208112144,11.343333657939807,11.343333657939807,-188.0729166647346,-35.39354745276191,-0.29534264529246457,-12.256855994321011,8.66942172649512,12.256855994321011,0.2932459888669064,0.29478571837745005,0.2021531993215177
2.5,2.5e-09,960,128,False,3.0412178890177213,0.822039094610045,0.574803432382722,0.4670000000000001,0.10780343238272194,0.02719240536596191,0.11756035407872445,-0.09036794871276255,1.0670698668069735e-15,1.7950514385510672e-15,8.063425480960582,defined,0.02230872133680597,0.02230872133680597,0.019980320802943752,0.0180960334969545,0.03890276572513419,False,1.6000744362025285,1.7865386180451117,1.5624273117776153,1000.0,0.0049734246536274895,4.9734246536274895,0.0021456042536403402,8.566380369367119,8.566380369367119,-188.01951971492332,-32.55893907162217,-0.24194569548117784,-9.422247613181273,6.664731345060432,9.422247613181273,0.22536829240552306,0.22662037669041,0.15266422116222272
3.0,3.0000000000000004e-09,960,128,False,3.0412178890177213,0.986446913532054,0.5736838554765842,0.46699999999999964,0.10668385547658454,0.02668980083633757,0.1175603540787235,-0.09087055324238594,1.2848304357884258e-15,6.0134223191460756e-15,8.069704802497517,defined,0.020641797630034906,0.020641797630034906,0.01806484777585814,0.01643898007637621,0.03855068695894784,False,1.7292880860071083,1.9759709662814176,1.7348179428720523,1000.0,0.003853847747489647,3.853847747489647,0.001642999724015999,6.559718810589903,6.559718810589903,-187.96620894041516,-30.439469364518192,-0.1886349209730156,-7.302777906077296,5.165566197373779,7.302777906077296,0.1746352154765481,0.17564437287268928,0.11690285979396398
3.5,3.5000000000000003e-09,960,128,False,3.0412178890177213,1.150854732454063,0.5728374731735694,0.4670000000000002,0.10583747317356917,0.026317358808767746,0.11756035407872475,-0.09124299526995701,2.606026591713547e-15,4.308123452522561e-15,8.074086455570082,defined,0.01927168808136498,0.01927168808136498,0.016497290123402873,0.015087423253790264,0.03828663252458282,False,1.8522308250674464,2.163725948224171,1.889613299072783,1000.0,0.0030074654444748328,3.0074654444748328,0.001270557696446177,5.072734401285027,5.072734401285027,-187.92136309054587,-28.834538498559862,-0.14378907110372552,-5.697847040118965,4.030268985412842,5.697847040118965,0.13628181763959157,0.13704094409069584,0.09040283213482933
4.0,4e-09,960,128,False,3.0412178890177213,1.315262551376072,0.5721916318377446,0.46699999999999964,0.10519163183774494,0.026036381585665704,0.1175603540787235,-0.0915239724930578,2.2288962294202155e-15,6.0134223191460756e-15,8.077250668807617,defined,0.01813033691820406,0.01813033691820406,0.015201561447687448,0.013973753032267586,0.038087129378871966,False,1.968833501353655,2.3481544865129202,2.03165986217211,1000.0,0.00236162410865004,2.36162410865004,0.000989580473344135,3.9509255848936293,3.9509255848936293,-187.88614993788397,-27.606989095820225,-0.10857591844182934,-4.470297637379328,3.1619100000493923,4.470297637379328,0.10701583511111928,0.10751419647296678,0.07041071622789111
4.5,4.500000000000001e-09,960,128,False,3.0412178890177213,1.4796703702980811,0.5716949227984881,0.46699999999999964,0.10469492279848847,0.025821562493338435,0.1175603540787235,-0.09173879158538507,1.1237196191943822e-15,6.0134223191460756e-15,8.07959569830384,defined,0.01716855075256704,0.01716855075256704,0.014121462927332677,0.013048534053942192,0.03793526394784286,False,2.079128007356819,2.527756146730293,2.164368900845513,1000.0,0.001864915069393569,1.864915069393569,0.0007747613810168662,3.0932548134289637,3.0932548134289637,-187.85942006233404,-26.660340160422546,-0.08184604289189679,-3.5236487019816494,2.492267938014894,3.5236487019816494,0.08450770926307395,0.08474440599094327,0.055125889417319614
