d_Au_Pd_m,d_Au_Pd_nm,d_over_lambda_D,E_mix_with_EDL_V,E_mix_without_EDL_V,delta_E_total_EDL_V,i_mix_avg_with_EDL_A_per_m2,i_mix_avg_without_EDL_A_per_m2,delta_i_total_EDL_A_per_m2,I_Au_with_EDL_A,I_Pd_with_EDL_A,relative_balance_residual,max_abs_phi_tilde,n_nodes,n_elements,E_mix_no_overlap_100nm_V,i_mix_avg_no_overlap_100nm_A_per_m2,delta_E_overlap_vs_100nm_V,delta_i_overlap_vs_100nm_A_per_m2,reference_100nm_plateau_validated
0.0,0.0,0.0,0.6006820511512232,0.46699999999999997,0.13368205115122322,0.08160527647541833,0.11756035407872421,-0.03595507760330588,4.080263823770917e-11,-4.0802638238944324e-11,1.513572640496472e-11,5.984230304518736,7590,7410,0.5987695032594279,0.08255941585582315,0.001912547891795291,-0.0009541393804048115,True
5e-10,0.5,0.164407818922009,0.6003305311645017,0.46699999999999997,0.13333053116450178,0.08154751006404076,0.11756035407872421,-0.03601284401468345,4.077375503202038e-11,-4.077375503328897e-11,1.5556389961025902e-11,5.9906133678359925,7854,7670,0.5987695032594279,0.08255941585582315,0.0015610279050738418,-0.0010119057917823832,True
1e-09,1.0,0.328815637844018,0.6000567472776847,0.46699999999999997,0.13305674727768468,0.08160753664437546,0.11756035407872421,-0.03595281743434875,4.0803768322187735e-11,-4.0803768323513505e-11,1.6245683224990924e-11,5.995583336862598,8118,7930,0.5987695032594279,0.08255941585582315,0.0012872440182567502,-0.0009518792114476815,True
1.5000000000000002e-09,1.5000000000000002,0.4932234567660271,0.5998339064563079,0.46699999999999997,0.13283390645630788,0.08170408024686121,0.11756035407872421,-0.035856273831863,4.0852040123430606e-11,-4.085204012481146e-11,1.690068897219872e-11,5.999627679091224,8250,8060,0.5987695032594279,0.08255941585582315,0.0010644031968799483,-0.0008553356089619352,True
2e-09,2.0,0.657631275688036,0.599651095272607,0.46699999999999997,0.132651095272607,0.08180903241816823,0.11756035407872421,-0.03575132166055599,4.0904516209084115e-11,-4.090451621051339e-11,1.747090245831764e-11,6.002944932927743,8514,8320,0.5987695032594279,0.08255941585582315,0.0008815920131790556,-0.0007503834376549195,True
2.5e-09,2.5,0.8220390946100451,0.5995002005780794,0.46699999999999997,0.13250020057807943,0.08191109477847351,0.11756035407872421,-0.0356492593002507,4.095554738923676e-11,-4.095554739070774e-11,1.7958240756810542e-11,6.005682628252943,8778,8580,0.5987695032594279,0.08255941585582315,0.0007306973186514965,-0.000648321077349634,True
3.0000000000000004e-09,3.0000000000000004,0.9864469135320542,0.5993752356517109,0.46699999999999997,0.13237523565171094,0.0820053035867076,0.11756035407872421,-0.03555505049201661,4.1002651793353804e-11,-4.100265179485991e-11,1.8365988801338926e-11,6.00794958564777,8910,8710,0.5987695032594279,0.08255941585582315,0.0006057323922830093,-0.0005541122691155448,True
3.0412178890180004e-09,3.0412178890180006,1.0000000000000917,0.5993661375548913,0.46699999999999997,0.13236613755489135,0.08201229055378673,0.11756035407872421,-0.03554806352493749,4.1006145276893366e-11,-4.100614527840208e-11,1.8396179445739806e-11,6.0081146144038176,9042,8840,0.5987695032594279,0.08255941585582315,0.0005966342954634163,-0.0005471253020364192,True
3.5000000000000003e-09,3.5000000000000004,1.1508547324540632,0.599272027501763,0.46699999999999997,0.13227202750176303,0.08208884857910856,0.11756035407872421,-0.035471505499615655,4.104442428955428e-11,-4.1044424291089985e-11,1.870785216503267e-11,6.0098216298779725,9174,8970,0.5987695032594279,0.08255941585582315,0.0005025242423351006,-0.00047056727671458687,True
4e-09,4.0,1.315262551376072,0.5991865852225826,0.46699999999999997,0.13218658522258264,0.0821617938221168,0.11756035407872421,-0.03539856025660741,4.10808969110584e-11,-4.108089691261835e-11,1.8986273794716453e-11,6.011371259011375,9438,9230,0.5987695032594279,0.08255941585582315,0.00041708196315470847,-0.0003976220337063435,True
