run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,out_of_plane_width,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,pH,pH_ref,E1_eq_pH_slope_V_per_pH,E2_eq_pH_slope_V_per_pH,it0_1_pH_order,it0_2_pH_order,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,dh_warn_threshold,dh_violation_action,do_ofat,do_heatmaps,do_sensitivities,ofat_n,ofat_L_gap_n,heatmap_nx,heatmap_ny,scan_mode,heatmap_mode,sensitivity_mode,ofat_pH_min,ofat_pH_max,ofat_C_tot_min,ofat_C_tot_max,heatmap_C_tot_min,heatmap_C_tot_max,heatmap_Cdl_C_min,heatmap_Cdl_C_max,heatmap_pzc_C_offsets,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,i_mix_norm_A_per_m2,i_mix_phys_A_per_m,i_mix_abs_A,residual,residual_norm_A_per_m2,residual_phys_A_per_m,residual_abs_A,converged,method,iterations,out_of_plane_width_m,a1,b1,a2,b2,max_abs_phi_tilde,debye_huckel_ok,delta_pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,use_edl_case,C_tot_M,phi2_1_meanV,phi2_2_meanV,scan_param,scan_value,scan_value_M,delta_pzc,L_gap_nm
baseline:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.468483872739088,0.20829148909999431,0.20829148909999431,6.334598027810424e-10,6.334598027810424e-10,2.0202728379103974e-12,2.0202728379103974e-12,6.1440898953497e-21,6.1440898953497e-21,True,brentq,14,1.0,0.8288301379199748,-0.4242035593079519,0.6185514524709429,-0.2294678670658163,2.366391032014395,False,0.0,0.1,0.834,8.85e-05,0.0003878,with_edl_FULL,0.01,-0.03591000645232972,0.06031351287615894,,,,,
baseline:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,7.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.4915721295774951,0.6555361211259985,0.6555361211259985,1.9936281784656743e-09,1.9936281784656743e-09,7.088740705540886e-11,7.088740705540886e-11,2.1558405044299045e-19,2.1558405044299045e-19,True,brentq,12,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.1,0.834,8.85e-05,0.0003878,without_edl,0.01,,,,,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,0.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.807375975942692,36368.20857260655,36368.20857260655,0.00011060364650253868,0.00011060364650253868,1.8037098925560713e-08,1.8037098925560713e-08,5.485474791839756e-17,5.485474791839756e-17,True,brentq,20,1.0,0.8288301379199748,-0.4242035593079519,0.6185514524709429,-0.2294678670658163,10.582376720625442,False,-7.0,0.1,1.2478855001102358,8.85e-05,3878.0000000000023,with_edl_FULL,0.01,,,pH,0.0,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,0.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,1.1433228596329514,212858.4424085791,212858.4424085791,0.0006473489028814191,0.0006473489028814191,4.918547347187996e-09,4.918547347187996e-09,1.495837418024879e-17,1.495837418024879e-17,True,brentq,17,1.0,0.0,0.0,0.0,0.0,0.0,True,-7.0,0.1,1.2478855001102358,8.85e-05,3878.0000000000023,without_edl,0.01,,,pH,0.0,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,1.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.7589618212183505,6474.489925022784,6474.489925022784,1.9690334582244295e-05,1.9690334582244295e-05,3.064997144974768e-10,3.064997144974768e-10,9.321324147085507e-19,9.321324147085507e-19,True,brentq,21,1.0,0.8288301379199748,-0.4242035593079519,0.6185514524709429,-0.2294678670658163,9.407911553640995,False,-6.0,0.1,1.1887590000944879,8.85e-05,387.80000000000047,with_edl_FULL,0.01,,,pH,1.0,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,1.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,1.0502156124817221,34732.381130261245,34732.381130261245,0.00010562873882153204,0.00010562873882153204,7.887138053774834e-09,7.887138053774834e-09,2.3986505342292438e-17,2.3986505342292438e-17,True,brentq,17,1.0,0.0,0.0,0.0,0.0,0.0,True,-6.0,0.1,1.1887590000944879,8.85e-05,387.80000000000047,without_edl,0.01,,,pH,1.0,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,2.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.7105503359355828,1153.2200241768944,1153.2200241768944,3.5071933675002202e-06,3.5071933675002202e-06,1.7934924017026788e-06,1.7934924017026788e-06,5.4544011758755435e-15,5.4544011758755435e-15,True,brentq,13,1.0,0.8288301379199748,-0.4242035593079519,0.6185514524709429,-0.2294678670658163,8.233591856957808,False,-5.0,0.1,1.12963250007874,8.85e-05,38.78000000000008,with_edl_FULL,0.01,,,pH,2.0,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,2.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.9571083653305382,5667.326535553816,5667.326535553816,1.723557484283109e-05,1.723557484283109e-05,1.1160409485455602e-08,1.1160409485455602e-08,3.394123697593064e-17,3.394123697593064e-17,True,brentq,17,1.0,0.0,0.0,0.0,0.0,0.0,True,-5.0,0.1,1.12963250007874,8.85e-05,38.78000000000008,without_edl,0.01,,,pH,2.0,,,
ofat_compare:pH:with_edl_FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,3.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.6621401079217526,205.5116024467107,205.5116024467107,6.250055617616347e-07,6.250055617616347e-07,2.528595643980225e-07,2.528595643980225e-07,7.690010306564945e-16,7.690010306564945e-16,True,brentq,18,1.0,0.8288301379199748,-0.4242035593079519,0.6185514524709429,-0.2294678670658163,7.0595286827328945,False,-4.0,0.1,1.0705060000629918,8.85e-05,3.8780000000000037,with_edl_FULL,0.01,,,pH,3.0,,,
ofat_compare:pH:without_edl,8.314,96485.0,298.0,8.8541878128e-12,78.5,,10.0,3.0412178890177212e-09,1.1e-08,1e-08,3.7e-08,1.0,1.2,0.1,0.377,5.2506176708998415,0.43755147257498683,1.6495690516077002,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,3.0,7.0,0.0,-0.059126500015747985,0.0,1.0,80,1200,1e-10,12,True,True,True,False,False,1.0,warn,True,True,False,15,41,25,25,BOTH,BOTH,BOTH,0.0,14.0,0.1,10000.0,0.1,10000.0,0.1,10.0,"[-0.1, 0.0, 0.1]",0.0,1e-06,FULL,0.8640011181790249,924.7448350842384,924.7448350842384,2.812350535234928e-06,2.812350535234928e-06,-6.885443326609675e-09,-6.885443326609675e-09,-2.094013341870303e-17,-2.094013341870303e-17,True,brentq,16,1.0,0.0,0.0,0.0,0.0,0.0,True,-4.0,0.1,1.0705060000629918,8.85e-05,3.8780000000000037,without_edl,0.01,,,pH,3.0,,,
