C_H_F_per_m2,c_ion_M,g,lambda_D_nm,phi_RP_V
0.020000000000000004,0.0001,0.8751029451499736,30.41217889017721,-0.09333918944700728
0.020521220175880605,0.0001,0.8979090106992088,30.41217889017721,-0.09462087019318274
0.02105602387534845,0.0001,0.9213094253232794,30.41217889017721,-0.09590432578742591
0.021604765098731212,0.0001,0.9453196783586522,30.41217889017721,-0.09718913440039406
0.02216780707196219,0.0001,0.9699556628095263,30.41217889017721,-0.09847487241679209
0.02274552248700896,0.0001,0.9952336858678246,30.41217889017721,-0.09976111499289855
0.023338293748567704,0.0001,1.0211704797073407,30.41217889017721,-0.10104743661753886
0.023946513227186786,0.0001,1.0477832125591977,30.41217889017721,-0.10233341167493412
0.024570583518986847,0.0001,1.0750895000759395,30.41217889017721,-0.10361861500784382
0.025210917712149616,0.0001,1.103107416991788,30.41217889017721,-0.10490262247941992
0.025867939660351516,0.0001,1.1318555090867708,30.41217889017721,-0.10618501153219591
0.026542084263323367,0.0001,1.1613528054626523,30.41217889017721,-0.10746536174264772
0.027233797754721727,0.0001,1.1916188311387859,30.41217889017721,-0.1087432553697861
0.027943537997502352,0.0001,1.2226736199762251,30.41217889017721,-0.11001827789626648
0.028671774786991577,0.0001,1.2545377279386543,30.41217889017721,-0.11129001856054012
0.029418990161855802,0.0001,1.2872322466989055,30.41217889017721,-0.11255807087861143
0.030185678723175412,0.0001,1.3207788176000848,30.41217889017721,-0.11382203315401686
0.030972347961833843,0.0001,1.3551996459805287,30.41217889017721,-0.11508150897469457
0.031779518594438956,0.0001,1.3905175158720937,30.41217889017721,-0.11633610769547643
0.032607724907998674,0.0001,1.4267558050814895,30.41217889017721,-0.11758544490499978
0.03345751511357933,0.0001,1.463938500664651,30.41217889017721,-0.11882914287590793
0.03432945170918072,0.0001,1.502090214804392,30.41217889017721,-0.12006683099728455
0.03522411185206789,0.0001,1.541236201101835,30.41217889017721,-0.12129814618834579
0.03614208774080653,0.0001,1.5814023712924272,30.41217889017721,-0.12252273329249856
0.03708398700725428,0.0001,1.6226153123975786,30.41217889017721,-0.12374024545095738
0.03805043311876804,0.0001,1.6649023043233002,30.41217889017721,-0.12495034445520276
0.03904206579089289,0.0001,1.7082913379174698,30.41217889017721,-0.12615270107765092
0.04005954141080645,0.0001,1.7528111334977023,30.41217889017721,-0.12734699537999852
0.04110353347179829,0.0001,1.7984911598620599,30.41217889017721,-0.12853291699879507
0.04217473301907252,0.0001,1.8453616537952098,30.41217889017721,-0.12971016540788924
0.043273849107168444,0.0001,1.893453640082933,30.41217889017721,-0.1308784501574846
0.044401609269301874,0.0001,1.9427989520482216,30.41217889017721,-0.13203749108963161
0.045558759998938235,0.0001,1.9934302526225827,30.41217889017721,-0.13318701853007014
0.046746067243915654,0.0001,2.0453810559664647,30.41217889017721,-0.1343267734564241
0.047964316913445666,0.0001,2.0986857496531495,30.41217889017721,-0.13545650764283307
0.049214315398326595,0.0001,2.1533796174307644,30.41217889017721,-0.136575983781188
