C_H_F_per_m2,c_ion_M,g,lambda_D_nm,phi_RP_V,sigma_C_per_m2,sigma_mC_per_m2,x_over_lambda_D,x_nm,phi_V,phi_mV
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.0,0.0,-0.17948934509994327,-179.48934509994328
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.011933174224343675,0.36291382923839155,-0.17736019649005963,-177.36019649005962
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.02386634844868735,0.7258276584767831,-0.17525630438663012,-175.25630438663012
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.03579952267303103,1.0887414877151746,-0.17317736919050267,-173.17736919050267
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.0477326968973747,1.4516553169535662,-0.171123094856447,-171.123094856447
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.059665871121718374,1.8145691461919575,-0.1690931888509974,-169.0931888509974
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.07159904534606205,2.1774829754303493,-0.16708736211079492,-167.0873621107949
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.08353221957040573,2.540396804668741,-0.16510532900142436,-165.10532900142437
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.0954653937947494,2.9033106339071324,-0.1631468072767391,-163.1468072767391
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.10739856801909307,3.266224463145524,-0.1612115180386687,-161.21151803866871
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.11933174224343675,3.629138292383915,-0.15929918569750304,-159.29918569750305
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.13126491646778043,3.992052121622307,-0.1574095379326478,-157.40953793264782
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.1431980906921241,4.354965950860699,-0.15554230565384536,-155.54230565384535
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.15513126491646778,4.71787978009909,-0.15369722296285565,-153.69722296285565
0.2,0.0001,8.751029451499736,30.41217889017721,-0.17948934509994327,-0.0041021309800113375,-4.102130980011338,0.16706443914081145,5.080793609337482,-0.1518740271155917,-151.8740271155917
