C_H_F_per_m2,c_ion_M,g,lambda_D_nm,phi_RP_V,phi_RP_min_V,phi_RP_max_V,phi_RP_formula_V
0.02,0.01,0.08751029451499735,3.0412178890177213,-0.016093694920658163,-0.016093694920658187,-0.016093694920658125,-0.016093694920658156
0.05,0.01,0.2187757362874934,3.0412178890177213,-0.03590090117053118,-0.03590090117053122,-0.03590090117053113,-0.03590090117053118
0.1,0.01,0.4375514725749868,3.0412178890177213,-0.06087454688369952,-0.060874546883699615,-0.060874546883699435,-0.06087454688369954
0.2,0.01,0.8751029451499736,3.0412178890177213,-0.09333918944700724,-0.09333918944700732,-0.09333918944700714,-0.09333918944700728
0.4,0.01,1.750205890299947,3.0412178890177213,-0.12727817189781832,-0.12727817189781845,-0.12727817189781818,-0.1272781718978184
1.0,0.01,4.375514725749868,3.0412178890177213,-0.16279426060504354,-0.16279426060504354,-0.16279426060504354,-0.1627942606050436
2.0,0.01,8.751029451499736,3.0412178890177213,-0.17948934509994335,-0.17948934509994333,-0.17948934509994333,-0.17948934509994327
